study_id,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,excluded_trials,repetition,correct_object,position_of_correct_object,opening_correct_side,giving_object_to_e
kirchhofer2012dogs,2008,03,17,fraukje,31.0,31,f,chimpanzee,1,1.0,excluded,a1,scraper,right,,
kirchhofer2012dogs,2008,03,17,fraukje,31.0,31,f,chimpanzee,,2.0,excluded,a2,scraper,right,,
kirchhofer2012dogs,2008,03,17,fraukje,31.0,31,f,chimpanzee,,3.0,,,pvc,left,yes,yes
kirchhofer2012dogs,2008,03,17,fraukje,31.0,31,f,chimpanzee,,4.0,excluded,b1,green_hose,left,,
kirchhofer2012dogs,2008,03,17,fraukje,31.0,31,f,chimpanzee,,5.0,,,black_hose,right,yes,yes
kirchhofer2012dogs,2008,03,19,fraukje,31.0,31,f,chimpanzee,2,6.0,,c1,rope,left,,
kirchhofer2012dogs,2008,03,19,fraukje,31.0,31,f,chimpanzee,,7.0,,c2,rope,left,,
kirchhofer2012dogs,2008,03,19,fraukje,31.0,31,f,chimpanzee,,8.0,,,spoon,right,yes,yes
kirchhofer2012dogs,2008,03,19,fraukje,31.0,31,f,chimpanzee,,9.0,,,black_hose,left,no,
kirchhofer2012dogs,2008,03,19,fraukje,31.0,31,f,chimpanzee,,10.0,,,pvc,right,yes,yes
kirchhofer2012dogs,2008,03,19,fraukje,31.0,31,f,chimpanzee,,11.0,,a3,scraper,right,,
kirchhofer2012dogs,2008,03,19,fraukje,31.0,31,f,chimpanzee,,12.0,,a4_f,scraper,right,yes,yes
kirchhofer2012dogs,2008,03,19,fraukje,31.0,31,f,chimpanzee,,13.0,,b2_f,green_hose,left,no,
kirchhofer2012dogs,2008,03,25,fraukje,31.0,31,f,chimpanzee,3,14.0,,,cup,left,no,
kirchhofer2012dogs,2008,03,25,fraukje,31.0,31,f,chimpanzee,,15.0,excluded,d1,tube,right,,
kirchhofer2012dogs,2008,03,25,fraukje,31.0,31,f,chimpanzee,,16.0,,d2_f,tube,right,no,
kirchhofer2012dogs,2008,03,25,fraukje,31.0,31,f,chimpanzee,,17.0,,,rope,right,no,
kirchhofer2012dogs,2008,03,25,fraukje,31.0,31,f,chimpanzee,,18.0,excluded,e1,spoon,left,yes,yes
kirchhofer2012dogs,2008,03,25,fraukje,31.0,31,f,chimpanzee,,19.0,,c3_f,rope,left,no,
kirchhofer2012dogs,2008,03,27,fraukje,31.0,31,f,chimpanzee,4,20.0,,,tube,left,no,
kirchhofer2012dogs,2008,03,27,fraukje,31.0,31,f,chimpanzee,,21.0,,,cup,right,yes,yes
kirchhofer2012dogs,2008,03,27,fraukje,31.0,31,f,chimpanzee,,22.0,,,scraper,left,no,
kirchhofer2012dogs,2008,03,27,fraukje,31.0,31,f,chimpanzee,,23.0,,,green_hose,right,yes,yes
