study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,lc_or_lt_trial,pointed_at_both_1st_choice,changed_in_1st_choice,pointed_at_both_2nd_choice,changed_in_2nd_choice,hesitated_in_1st_choice,hesitated_in_2nd_choice,amount_of_chosen_liquid_2nd_choice
suda2006what,1.0,2002.0,7.0,15.0,bimbo,22.0,m,orangutan,8.0,79.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,15.0,bimbo,22.0,m,orangutan,8.0,80.0,opaque_same,0.0,false,false,true,true,false,true,
suda2006what,1.0,2002.0,7.0,17.0,bimbo,22.0,m,orangutan,9.0,81.0,opaque_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,17.0,bimbo,22.0,m,orangutan,9.0,82.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,17.0,bimbo,22.0,m,orangutan,9.0,83.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,17.0,bimbo,22.0,m,orangutan,9.0,84.0,clear_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,17.0,bimbo,22.0,m,orangutan,9.0,85.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,17.0,bimbo,22.0,m,orangutan,9.0,86.0,opaque_different,lc_trial,false,false,false,true,false,true,
suda2006what,1.0,2002.0,7.0,17.0,bimbo,22.0,m,orangutan,9.0,87.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,17.0,bimbo,22.0,m,orangutan,9.0,88.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,17.0,bimbo,22.0,m,orangutan,9.0,89.0,clear_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,17.0,bimbo,22.0,m,orangutan,9.0,90.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,19.0,bimbo,22.0,m,orangutan,10.0,91.0,clear_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,19.0,bimbo,22.0,m,orangutan,10.0,92.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,19.0,bimbo,22.0,m,orangutan,10.0,93.0,opaque_same,0.0,false,false,false,true,false,true,
suda2006what,1.0,2002.0,7.0,19.0,bimbo,22.0,m,orangutan,10.0,94.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,19.0,bimbo,22.0,m,orangutan,10.0,95.0,opaque_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,19.0,bimbo,22.0,m,orangutan,10.0,96.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,19.0,bimbo,22.0,m,orangutan,10.0,97.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,19.0,bimbo,22.0,m,orangutan,10.0,98.0,clear_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,19.0,bimbo,22.0,m,orangutan,10.0,99.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,19.0,bimbo,22.0,m,orangutan,10.0,100.0,opaque_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,22.0,bimbo,22.0,m,orangutan,11.0,101.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,22.0,bimbo,22.0,m,orangutan,11.0,102.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,22.0,bimbo,22.0,m,orangutan,11.0,103.0,opaque_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,22.0,bimbo,22.0,m,orangutan,11.0,104.0,clear_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,22.0,bimbo,22.0,m,orangutan,11.0,105.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,22.0,bimbo,22.0,m,orangutan,11.0,106.0,opaque_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,22.0,bimbo,22.0,m,orangutan,11.0,107.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,22.0,bimbo,22.0,m,orangutan,11.0,108.0,opaque_same,0.0,false,false,false,true,false,true,
suda2006what,1.0,2002.0,7.0,22.0,bimbo,22.0,m,orangutan,11.0,109.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,22.0,bimbo,22.0,m,orangutan,11.0,110.0,clear_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,23.0,bimbo,22.0,m,orangutan,12.0,111.0,opaque_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,23.0,bimbo,22.0,m,orangutan,12.0,112.0,opaque_different,lc_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,23.0,bimbo,22.0,m,orangutan,12.0,113.0,clear_different,lt_trial,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,23.0,bimbo,22.0,m,orangutan,12.0,114.0,clear_same,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,23.0,bimbo,22.0,m,orangutan,12.0,115.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,23.0,bimbo,22.0,m,orangutan,12.0,116.0,no_testing_trial,0.0,false,false,false,false,false,false,
suda2006what,1.0,2002.0,7.0,23.0,bimbo,22.0,m,orangutan,12.0,117.0,opaque_different,lt_trial,false,false,false,false,false,false,
