study_id,participant,age_in_years,sex,species,session,trial,trial_type,safe_choice,side
heilbronner2008fruit,frodo,12,m,chimpanzee,6,5,c,0.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,6,6,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,6,7,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,8,c,0.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,6,9,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,10,c,1.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,11,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,6,12,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,13,n,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,6,14,f,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,6,15,f,,r
heilbronner2008fruit,frodo,12,m,chimpanzee,6,16,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,17,n,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,18,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,19,c,0.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,6,20,c,0.0,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,21,f,,l
heilbronner2008fruit,frodo,12,m,chimpanzee,6,22,c,0.0,r
heilbronner2008fruit,frodo,12,m,chimpanzee,1,1,c,0.0,
heilbronner2008fruit,frodo,12,m,chimpanzee,1,2,c,1.0,
heilbronner2008fruit,frodo,12,m,chimpanzee,1,3,c,1.0,
heilbronner2008fruit,frodo,12,m,chimpanzee,1,4,c,0.0,
heilbronner2008fruit,frodo,12,m,chimpanzee,1,5,c,1.0,
heilbronner2008fruit,frodo,12,m,chimpanzee,1,6,c,1.0,
heilbronner2008fruit,frodo,12,m,chimpanzee,1,7,c,1.0,
heilbronner2008fruit,frodo,12,m,chimpanzee,1,8,c,0.0,
heilbronner2008fruit,frodo,12,m,chimpanzee,1,9,c,1.0,
heilbronner2008fruit,frodo,12,m,chimpanzee,1,10,c,0.0,
