study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,session,action,is_it_taking,rankrelationship_standardized,relationship_s,success,transfer_what,transfer_how_much
liebal2017give,bimbo,30,m,initiator,raja,7.0,f,recipient,orangutan,bimbo_raja,1,dropping,no,0.571429,unrelated,yes,foodball,parts
liebal2017give,bimbo,30,m,initiator,raja,7.0,f,recipient,orangutan,bimbo_raja,1,dropping,no,0.571429,unrelated,yes,leaves,parts
liebal2017give,bimbo,30,m,initiator,raja,7.0,f,recipient,orangutan,bimbo_raja,1,dropping,no,0.571429,unrelated,no,foodball,parts
liebal2017give,bimbo,30,m,initiator,raja,7.0,f,recipient,orangutan,bimbo_raja,1,offer,no,0.571429,unrelated,yes,leaves,parts
liebal2017give,bimbo,30,m,initiator,raja,7.0,f,recipient,orangutan,bimbo_raja,1,offer,no,0.571429,unrelated,yes,foodball,parts
liebal2017give,bimbo,30,m,initiator,raja,7.0,f,recipient,orangutan,bimbo_raja,1,offer,no,0.571429,unrelated,yes,foodball,parts
liebal2017give,corry,34,f,initiator,fraukje,34.0,f,recipient,chimpanzee,corrie_fraukje,4,taking,yes,0.375,unrelated,yes,leaves,parts
liebal2017give,corry,34,f,initiator,fraukje,34.0,f,recipient,chimpanzee,corrie_fraukje,4,taking,yes,0.375,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,fraukje,34.0,f,recipient,chimpanzee,corrie_fraukje,4,taking,yes,0.375,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,fraukje,34.0,f,recipient,chimpanzee,corrie_fraukje,4,taking,yes,0.375,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,frodo,17.0,m,recipient,chimpanzee,corrie_frodo,4,taking,yes,-0.375,unrelated,yes,part of bag,parts
liebal2017give,corry,34,f,initiator,frodo,17.0,m,recipient,chimpanzee,corrie_frodo,4,taking,yes,-0.375,unrelated,yes,part of bag,parts
liebal2017give,corry,34,f,initiator,frodo,17.0,m,recipient,chimpanzee,corrie_frodo,4,taking,yes,-0.375,unrelated,yes,part of bag,parts
liebal2017give,corry,34,f,initiator,frodo,17.0,m,recipient,chimpanzee,corrie_frodo,4,taking,yes,-0.375,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,kara,5.0,f,recipient,chimpanzee,corrie_kara,3,dropping,no,0.625,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,kara,5.0,f,recipient,chimpanzee,corrie_kara,3,taking,yes,0.625,unrelated,yes,leaves,parts
liebal2017give,corry,34,f,initiator,kara,5.0,f,recipient,chimpanzee,corrie_kara,4,taking,yes,0.625,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,kara,5.0,f,recipient,chimpanzee,corrie_kara,8,taking,yes,0.625,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,lobo,6.0,m,recipient,chimpanzee,corrie_lobo,5,dropping,no,0.5,related,yes,branch,whole
liebal2017give,corry,34,f,initiator,lobo,6.0,m,recipient,chimpanzee,corrie_lobo,7,taking,yes,0.5,related,no,,
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,leaves,parts
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,leaves,parts
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,leaves,parts
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,branch,whole
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,unknown,unknown
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,unknown,unknown
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,unknown,unknown
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,unknown,unknown
liebal2017give,corry,34,f,initiator,swela,15.0,f,recipient,chimpanzee,corrie_swela,3,taking,yes,0.1875,unrelated,yes,unknown,unknown
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,request,no,-0.285714,unrelated,yes,unknown,unknown
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,request,no,-0.285714,unrelated,yes,unknown,unknown
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,request,no,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,request,no,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,request,no,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,request,no,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,request,no,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,foodball,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,foodball,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,leaves,parts
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,no,,
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
liebal2017give,dokana,21,f,initiator,bimbo,30.0,m,recipient,orangutan,dokana_bimbo,1,taking,yes,-0.285714,unrelated,yes,branch,whole
