study_id,experiment,experiment_name,participant,sex,role,participant_2,sex_2,role_2,species,species_subgroup,dyad,session,trial,ses_nr_overall,ses_nr_species,order_on_day,condition,who_moves_food,total_nr_trial,food_type,food_time,stooge_present,stooge_reaches,open_door,touches_rope,pull_attempt,pull
hepach2021chimpanzees,1,cpd_all,brigitta,f,focal_participant,jahaga,f,stooge,chimpanzee,b,brigitta_jahaga,2,6.0,3.0,3.0,2.0,social,chimp,6.0,grape,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,brigitta,f,focal_participant,jahaga,f,stooge,chimpanzee,b,brigitta_jahaga,3,1.0,5.0,5.0,2.0,social,chimp,4.0,banana,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,brigitta,f,focal_participant,jahaga,f,stooge,chimpanzee,b,brigitta_jahaga,3,2.0,5.0,5.0,2.0,social,chimp,4.0,grape,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,brigitta,f,focal_participant,jahaga,f,stooge,chimpanzee,b,brigitta_jahaga,3,3.0,5.0,5.0,2.0,social,chimp,4.0,banana,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,brigitta,f,focal_participant,jahaga,f,stooge,chimpanzee,b,brigitta_jahaga,3,4.0,5.0,5.0,2.0,social,chimp,4.0,grape,7.0,0.0,0.0,1.0,1.0,1.0,1.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,1,1.0,31.0,12.0,1.0,non-social,chimp,3.0,banana,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,1,2.0,31.0,12.0,1.0,non-social,chimp,3.0,grape,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,1,3.0,31.0,12.0,1.0,non-social,chimp,3.0,banana,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,2,1.0,32.0,13.0,2.0,non-social,experimenter,4.0,grape,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,2,2.0,32.0,13.0,2.0,non-social,experimenter,4.0,banana,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,2,3.0,32.0,13.0,2.0,non-social,experimenter,4.0,grape,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,2,4.0,32.0,13.0,2.0,non-social,experimenter,4.0,banana,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,3,1.0,38.0,14.0,1.0,non-social,chimp,4.0,grape,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,3,2.0,38.0,14.0,1.0,non-social,chimp,4.0,banana,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,3,3.0,38.0,14.0,1.0,non-social,chimp,4.0,grape,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,3,4.0,38.0,14.0,1.0,non-social,chimp,4.0,banana,7.0,0.0,0.0,1.0,1.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,4,1.0,39.0,15.0,1.0,non-social,chimp,2.0,banana,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,4,2.0,39.0,15.0,1.0,non-social,chimp,2.0,grape,15.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,5,1.0,44.0,19.0,3.0,social,chimp,2.0,banana,7.0,0.0,0.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,5,2.0,44.0,19.0,3.0,social,chimp,2.0,grape,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,6,0.0,46.0,20.0,3.0,social,experimenter,0.0,grape,15.0,,,,,,
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,7,0.0,47.0,21.0,2.0,social,experimenter,0.0,grape,15.0,,,,,,
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,8,0.0,49.0,22.0,1.0,social,experimenter,0.0,grape,15.0,,,,,,
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,9,1.0,51.0,23.0,2.0,social,experimenter,4.0,grape,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,9,2.0,51.0,23.0,2.0,social,experimenter,4.0,banana,15.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,9,3.0,51.0,23.0,2.0,social,experimenter,4.0,grape,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,9,4.0,51.0,23.0,2.0,social,experimenter,4.0,banana,7.0,1.0,1.0,1.0,1.0,1.0,1.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,10,1.0,52.0,24.0,2.0,social,chimp,1.0,banana,7.0,1.0,1.0,0.0,0.0,0.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,11,0.0,53.0,25.0,1.0,social,experimenter,0.0,grape,7.0,,,,,,
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,12,1.0,54.0,26.0,2.0,social,experimenter,1.0,grape,7.0,1.0,1.0,1.0,1.0,1.0,0.0
hepach2021chimpanzees,1,cpd_all,corry,f,focal_participant,robert,m,stooge,chimpanzee,a,corry_robert,13,0.0,55.0,27.0,1.0,social,chimp,0.0,grape,15.0,,,,,,
