study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,tooltype,suitability,modify,getsjuice,technic,modifiable,success,modif_lid,modif_bar
manrique2011spontaneous,2,2009,6,7,alex,8,m,chimpanzee,5.0,2.0,dowel,nofunctional,straw,yes,strawlike,,empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,6,7,alex,8,m,chimpanzee,5.0,3.0,dowel,nofunctional,straw,yes,strawlike,,empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,6,8,alex,8,m,chimpanzee,6.0,1.0,dowel,nofunctional,straw,yes,strawlike,,empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,6,8,alex,8,m,chimpanzee,6.0,2.0,dowel,nofunctional,straw,yes,strawlike,,empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,6,8,alex,8,m,chimpanzee,6.0,3.0,dowel,nofunctional,straw,yes,strawlike,,empties_the_apparatus,two_lids_off,
manrique2011spontaneous,2,2009,6,9,alex,8,m,chimpanzee,22.0,1.0,metalbar,functional,no,yes,strawlike,,empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,9,alex,8,m,chimpanzee,22.0,2.0,metalbar,functional,no,yes,strawlike,,empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,9,alex,8,m,chimpanzee,22.0,3.0,metalbar,functional,no,yes,strawlike,,empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,10,alex,8,m,chimpanzee,23.0,1.0,metalbar,functional,no,yes,strawlike,,empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,10,alex,8,m,chimpanzee,23.0,2.0,metalbar,functional,no,yes,strawlike,,empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,10,alex,8,m,chimpanzee,23.0,3.0,metalbar,functional,no,yes,strawlike,,empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,11,alex,8,m,chimpanzee,24.0,1.0,metalbar,functional,no,yes,strawlike,,empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,11,alex,8,m,chimpanzee,24.0,2.0,metalbar,functional,no,yes,strawlike,,empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,11,alex,8,m,chimpanzee,24.0,3.0,metalbar,functional,no,yes,strawlike,,empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,12,alex,8,m,chimpanzee,25.0,1.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,12,alex,8,m,chimpanzee,25.0,2.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,12,alex,8,m,chimpanzee,25.0,3.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,13,alex,8,m,chimpanzee,26.0,1.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,13,alex,8,m,chimpanzee,26.0,2.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
manrique2011spontaneous,2,2009,6,13,alex,8,m,chimpanzee,26.0,3.0,metalbar,nofunctional,no,yes,dipplick,,not_empties_the_apparatus,,no modify
