study_id,participant,sex,role,participant_2,sex_2,role_2,species,dyad,condition,point,latency,away,scratch,rock_lip_bang,eat,touch,ignore,time,latency_percentage,scratch_yes,point_yes
brauer2006apes,jahaga,f,focal_participant,riet,f,competitor,chimpanzee,jahaga_riet,soc-sam,7.0,20.0,1.0,0.0,1.0,7.0,1.0,0.0,71.0,0.28169014084507044,0.0,1.0
brauer2006apes,riet,f,focal_participant,jahaga,f,competitor,chimpanzee,riet_jahaga,soc-dif,4.0,41.0,1.0,0.0,1.0,6.0,1.0,1.0,83.0,0.4939759036144578,0.0,1.0
brauer2006apes,dorien,f,focal_participant,frodo,m,competitor,chimpanzee,dorien_frodo,soc-dif,2.0,9.0,1.0,1.0,1.0,0.0,4.0,4.0,72.0,0.125,1.0,1.0
brauer2006apes,frodo,m,focal_participant,dorien,f,competitor,chimpanzee,frodo_dorien,soc-sam,11.0,0.0,0.0,1.0,1.0,7.0,1.0,0.0,84.0,0.0,1.0,1.0
brauer2006apes,frodo,m,focal_participant,dorien,f,competitor,chimpanzee,frodo_dorien,soc-dif,10.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,78.0,0.0,0.0,1.0
brauer2006apes,dorien,f,focal_participant,frodo,m,competitor,chimpanzee,dorien_frodo,soc-sam,4.0,9.0,1.0,1.0,1.0,0.0,6.0,2.0,70.0,0.12857142857142856,1.0,1.0
brauer2006apes,frodo,m,focal_participant,dorien,f,competitor,chimpanzee,frodo_dorien,nosoc-sam,7.0,24.0,1.0,0.0,1.0,7.0,1.0,0.0,86.0,0.27906976744186046,0.0,1.0
brauer2006apes,frodo,m,focal_participant,dorien,f,competitor,chimpanzee,frodo_dorien,nosoc-dif,12.0,3.0,1.0,1.0,1.0,8.0,0.0,0.0,76.0,0.039473684210526314,1.0,1.0
brauer2006apes,dorien,f,focal_participant,frodo,m,competitor,chimpanzee,dorien_frodo,nosoc-dif,1.0,72.0,1.0,0.0,1.0,0.0,4.0,4.0,84.0,0.8571428571428571,0.0,1.0
brauer2006apes,dorien,f,focal_participant,frodo,m,competitor,chimpanzee,dorien_frodo,nosoc-sam,0.0,61.0,1.0,2.0,1.0,0.0,0.0,8.0,75.0,0.8133333333333334,1.0,0.0
brauer2006apes,jahaga,f,focal_participant,patrick,m,competitor,chimpanzee,jahaga_patrick,nosoc-dif,7.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,73.0,0.0,0.0,1.0
brauer2006apes,jahaga,f,focal_participant,patrick,m,competitor,chimpanzee,jahaga_patrick,nosoc-sam,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,71.0,0.0,0.0,1.0
brauer2006apes,patrick,m,focal_participant,jahaga,f,competitor,chimpanzee,patrick_jahaga,nosoc-dif,0.0,34.0,1.0,0.0,0.0,6.0,2.0,0.0,94.0,0.3617021276595745,0.0,0.0
