study_id,participant,age_in_years,sex,species,session,trial,trial_subset,subset,early_item,late_item,coord_early_x,coord_early_y,coord_late_x,coord_late_y,magnitude,symbolic_distance,accuracy,latency,wavering,wavering_coder2
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,47,10,pair_23,2,3,480,128,480,896,2,1,1,1206,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,49,12,pair_15,1,5,800,128,1120,128,1,4,1,900,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,54,12,pair_25,2,5,1120,640,800,128,2,3,1,926,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,58,11,pair_13,1,3,480,896,1120,384,1,2,1,699,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,65,11,pair_34,3,4,160,640,480,640,3,1,1,1286,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,68,12,pair_13,1,3,800,128,800,640,1,2,1,909,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,70,11,pair_12,1,2,480,384,480,896,1,1,1,827,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,76,11,pair_23,2,3,480,128,800,896,2,1,1,1084,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,80,10,pair_35,3,5,160,128,800,384,3,2,1,841,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,85,12,pair_23,2,3,1120,384,480,640,2,1,1,1417,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,86,12,pair_14,1,4,1120,384,480,640,1,3,1,768,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,90,12,pair_34,3,4,160,640,800,640,3,1,1,938,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,91,12,pair_24,2,4,800,128,800,384,2,2,1,1066,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,93,11,pair_35,3,5,160,896,800,896,3,2,1,1616,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,96,12,pair_35,3,5,1120,384,1120,640,3,2,1,1352,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,4,97,12,pair_12,1,2,1120,896,800,896,1,1,1,712,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,1,13,pair_35,3,5,800,128,800,896,3,2,1,948,1.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,5,13,pair_15,1,5,480,640,800,128,1,4,1,555,0.0,
allritz2021chimpanzees,alex,13.0,m,chimpanzee,5,13,13,pair_14,1,4,160,640,480,384,1,3,1,646,0.0,
