study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,food,location,choice,trade,tested_fully,give_empty_tubes_back,comments
kanngiesser2011limits,1,food,2008,3,24,natascha,28,f,chimpanzee,identical_trial_p,,,,trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,24,swela,12,f,chimpanzee,identical_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,26,frodo,14,m,chimpanzee,identical_trial_p,,,,trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,26,natascha,28,f,chimpanzee,endowment_trial_p,,,,trade,yes,yes,doesn't_want_to_eat_banana
kanngiesser2011limits,1,food,2008,3,27,frodo,14,m,chimpanzee,endowment_trial_p,,,,no_trade,yes,no,
kanngiesser2011limits,1,food,2008,3,27,natascha,28,f,chimpanzee,identical_trial_b,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,27,swela,12,f,chimpanzee,endowment_trial_p,,,,no_trade,yes,yes,
kanngiesser2011limits,1,food,2008,3,27,yasa,10,f,bonobo,initial_choice,banana,right,pellet,,yes,,
kanngiesser2011limits,1,food,2008,3,27,yasa,10,f,bonobo,trading_control_1,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,27,yasa,10,f,bonobo,trading_control_2,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,27,limbuko,12,m,bonobo,initial_choice,banana,left,pellet,,yes,,
kanngiesser2011limits,1,food,2008,3,27,limbuko,12,m,bonobo,trading_control_1,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,27,limbuko,12,m,bonobo,trading_control_2,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,28,frodo,14,m,chimpanzee,trading_control_3,pellet,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,28,frodo,14,m,chimpanzee,trading_control_4,banana,,,trade,yes,,
kanngiesser2011limits,1,food,2008,3,28,frodo,14,m,chimpanzee,choice_trial_1,banana,left,pellet,,yes,,side_bias!
