study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,tool,location,choice,trade,tested_fully,comments
kanngiesser2011limits,2,tool,2008,4,15,limbuko,12,m,bonobo,familiarization_trial_2,wooden_tool,left,,,no,gives_a_back
kanngiesser2011limits,2,tool,2008,4,15,limbuko,12,m,bonobo,initial_choice,wooden_tool,right,,,no,
kanngiesser2011limits,2,tool,2008,4,15,limbuko,12,m,bonobo,trading_control_1,wooden_tool,,,trade,no,
kanngiesser2011limits,2,tool,2008,4,15,limbuko,12,m,bonobo,trading_control_2,plastic_tool,,,no_trade,no,
kanngiesser2011limits,2,tool,2008,4,15,bimbo,27,m,orangutan,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,bimbo,27,m,orangutan,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,bimbo,27,m,orangutan,choice_trial_1,wooden_tool,right,,,yes,doesn't_give_tool_back
kanngiesser2011limits,2,tool,2008,4,15,bimbo,27,m,orangutan,choice_trial_2,wooden_tool,left,,,yes,doesn't_give_tool_back
kanngiesser2011limits,2,tool,2008,4,15,bimbo,27,m,orangutan,choice_trial_3,wooden_tool,right,,,yes,doesn't_do_anything
kanngiesser2011limits,2,tool,2008,4,15,bimbo,27,m,orangutan,choice_trial_4,wooden_tool,left,,,yes,doesn't_do_anything
kanngiesser2011limits,2,tool,2008,4,15,pini,19,f,orangutan,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,pini,19,f,orangutan,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,15,pini,19,f,orangutan,choice_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,pini,19,f,orangutan,choice_trial_2,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,pini,19,f,orangutan,choice_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,15,pini,19,f,orangutan,choice_trial_4,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,18,dokana,19,f,orangutan,functional_for_nonfunctional_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,18,dokana,19,f,orangutan,functional_for_nonfunctional_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,18,padana,10,f,orangutan,functional_for_nonfunctional_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,18,padana,10,f,orangutan,functional_for_nonfunctional_2,wooden_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,4,18,yasa,10,f,bonobo,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,18,bimbo,27,m,orangutan,functional_for_nonfunctional_1,wooden_tool,,,,yes,
kanngiesser2011limits,2,tool,2008,4,18,bimbo,27,m,orangutan,functional_for_nonfunctional_2,plastic_tool,,,,yes,
kanngiesser2011limits,2,tool,2008,4,18,pini,19,f,orangutan,functional_for_nonfunctional_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,18,pini,19,f,orangutan,functional_for_nonfunctional_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,18,dunja,35,f,orangutan,familiarization_trial_1,plastic_tool,right,short,,yes,
kanngiesser2011limits,2,tool,2008,4,18,dunja,35,f,orangutan,familiarization_trial_2,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,18,dunja,35,f,orangutan,familiarization_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,18,dunja,35,f,orangutan,familiarization_trial_4,plastic_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,18,dunja,35,f,orangutan,initial_choice,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,18,dunja,35,f,orangutan,trading_control_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,18,dunja,35,f,orangutan,trading_control_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,19,yasa,10,f,bonobo,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,21,yasa,10,f,bonobo,identical_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,22,yasa,10,f,bonobo,endowment_trial_tool_b,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,4,23,dunja,35,f,orangutan,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,24,dunja,35,f,orangutan,identical_trial_tool_a,,,,no_trade,yes,kila_got_tool
kanngiesser2011limits,2,tool,2008,4,25,yasa,10,f,bonobo,trading_control_3,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,25,yasa,10,f,bonobo,trading_control_4,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,25,yasa,10,f,bonobo,choice_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,25,yasa,10,f,bonobo,choice_trial_2,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,25,yasa,10,f,bonobo,choice_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,25,yasa,10,f,bonobo,choice_trial_4,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,28,yasa,10,f,bonobo,functional_for_nonfunctional_1,wooden_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,4,28,yasa,10,f,bonobo,functional_for_nonfunctional_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,28,dunja,35,f,orangutan,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,28,annett,8,f,chimpanzee,familiarization_trial_1,wooden_tool,right,short,,no,
kanngiesser2011limits,2,tool,2008,4,28,annett,8,f,chimpanzee,familiarization_trial_2,plastic_tool,left,,,no,
kanngiesser2011limits,2,tool,2008,4,28,annett,8,f,chimpanzee,familiarization_trial_3,plastic_tool,right,,,no,
kanngiesser2011limits,2,tool,2008,4,28,annett,8,f,chimpanzee,familiarization_trial_4,wooden_tool,left,,,no,no_food
kanngiesser2011limits,2,tool,2008,4,28,annett,8,f,chimpanzee,familiarization_trial_5,plastic_tool,right,,,no,
kanngiesser2011limits,2,tool,2008,4,28,annett,8,f,chimpanzee,familiarization_trial_6,wooden_tool,left,,,no,afraid_of_tool_a!_test_stopped
kanngiesser2011limits,2,tool,2008,4,28,gertrudia,14,f,chimpanzee,familiarization_trial_1,wooden_tool,right,short,,yes,
kanngiesser2011limits,2,tool,2008,4,28,gertrudia,14,f,chimpanzee,familiarization_trial_2,plastic_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,28,gertrudia,14,f,chimpanzee,familiarization_trial_3,plastic_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,28,gertrudia,14,f,chimpanzee,familiarization_trial_4,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,28,gertrudia,14,f,chimpanzee,initial_choice,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,28,gertrudia,14,f,chimpanzee,trading_control_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,28,gertrudia,14,f,chimpanzee,trading_control_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,28,jahaga,15,f,chimpanzee,familiarization_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,28,jahaga,15,f,chimpanzee,familiarization_trial_2,plastic_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,28,jahaga,15,f,chimpanzee,initial_choice,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,28,jahaga,15,f,chimpanzee,trading_control_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,28,jahaga,15,f,chimpanzee,trading_control_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,29,dunja,35,f,orangutan,endowment_trial_tool_b,,,,trade,yes,kila_got_tool
kanngiesser2011limits,2,tool,2008,4,30,dunja,35,f,orangutan,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,30,dunja,35,f,orangutan,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,4,30,dunja,35,f,orangutan,choice_trial_1,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,4,30,dunja,35,f,orangutan,choice_trial_2,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,30,dunja,35,f,orangutan,choice_trial_3,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,4,30,dunja,35,f,orangutan,choice_trial_4,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,3,gertrudia,14,f,chimpanzee,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,3,jahaga,15,f,chimpanzee,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,6,gertrudia,14,f,chimpanzee,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,7,unyoro,11,m,chimpanzee,familiarization_trial_1,plastic_tool,right,short,,yes,
kanngiesser2011limits,2,tool,2008,5,7,unyoro,11,m,chimpanzee,familiarization_trial_2,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,7,unyoro,11,m,chimpanzee,familiarization_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,7,unyoro,11,m,chimpanzee,familiarization_trial_4,plastic_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,7,unyoro,11,m,chimpanzee,initial_choice,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,7,unyoro,11,m,chimpanzee,trading_control_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,7,unyoro,11,m,chimpanzee,trading_control_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,7,fifi,14,f,chimpanzee,familiarization_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,7,fifi,14,f,chimpanzee,familiarization_trial_2,plastic_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,7,fifi,14,f,chimpanzee,initial_choice,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,7,fifi,14,f,chimpanzee,trading_control_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,7,fifi,14,f,chimpanzee,trading_control_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,8,gertrudia,14,f,chimpanzee,identical_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,8,jahaga,15,f,chimpanzee,identical_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,9,unyoro,11,m,chimpanzee,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,9,fifi,15,f,chimpanzee,endowment_trial_tool_a,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,5,10,dunja,35,f,orangutan,functional_for_nonfunctional_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,10,dunja,35,f,orangutan,functional_for_nonfunctional_2,plastic_tool,,,no_trade,yes,kila_got_tool_and_broke_it
kanngiesser2011limits,2,tool,2008,5,10,unyoro,11,m,chimpanzee,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,10,fifi,15,f,chimpanzee,identical_trial_tool_a,,,,trade,yes,"1/2_pellet_as_reward,_tool_traded_for_reward"
kanngiesser2011limits,2,tool,2008,5,12,unyoro,11,m,chimpanzee,identical_trial_tool_b,,,,trade,yes,fifi_gets_tool
kanngiesser2011limits,2,tool,2008,5,12,fifi,15,f,chimpanzee,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,12,gertrudia,14,f,chimpanzee,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,12,jahaga,15,f,chimpanzee,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,13,unyoro,11,m,chimpanzee,identical_trial_tool_a,,,,no_trade,yes,no_food_loses_tool
kanngiesser2011limits,2,tool,2008,5,13,fifi,15,f,chimpanzee,identical_trial_tool_b,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,5,14,unyoro,11,m,chimpanzee,trading_control_3,wooden_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,5,14,unyoro,11,m,chimpanzee,trading_control_4,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,14,unyoro,11,m,chimpanzee,choice_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,unyoro,11,m,chimpanzee,choice_trial_2,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,unyoro,11,m,chimpanzee,choice_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,unyoro,11,m,chimpanzee,choice_trial_4,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,fifi,15,f,chimpanzee,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,14,fifi,15,f,chimpanzee,trading_control_4,wooden_tool,,,trade,yes,"1/2_pellet_as_reward,_doesn't_give_tool_back"
kanngiesser2011limits,2,tool,2008,5,14,fifi,15,f,chimpanzee,choice_trial_1,wooden_tool,right,,,yes,1/2_pellet_as_reward
kanngiesser2011limits,2,tool,2008,5,14,fifi,15,f,chimpanzee,choice_trial_2,wooden_tool,right,,,yes,1/2_pellet_as_reward
kanngiesser2011limits,2,tool,2008,5,14,fifi,15,f,chimpanzee,choice_trial_3,wooden_tool,left,,,yes,1/2_pellet_as_reward
kanngiesser2011limits,2,tool,2008,5,14,fifi,15,f,chimpanzee,choice_trial_4,wooden_tool,left,,,yes,1/2_pellet_as_reward
kanngiesser2011limits,2,tool,2008,5,14,gertrudia,14,f,chimpanzee,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,14,gertrudia,14,f,chimpanzee,trading_control_4,wooden_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,5,14,gertrudia,14,f,chimpanzee,choice_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,gertrudia,14,f,chimpanzee,choice_trial_2,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,gertrudia,14,f,chimpanzee,choice_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,gertrudia,14,f,chimpanzee,choice_trial_4,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,jahaga,15,f,chimpanzee,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,14,alexandra,8,f,chimpanzee,familiarization_trial_1,plastic_tool,left,short,,yes,
kanngiesser2011limits,2,tool,2008,5,14,alexandra,8,f,chimpanzee,familiarization_trial_2,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,alexandra,8,f,chimpanzee,familiarization_trial_3,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,alexandra,8,f,chimpanzee,familiarization_trial_4,plastic_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,alexandra,8,f,chimpanzee,initial_choice,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,14,alexandra,8,f,chimpanzee,trading_control_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,14,alexandra,8,f,chimpanzee,trading_control_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,15,unyoro,11,m,chimpanzee,functional_for_nonfunctional_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,15,unyoro,11,m,chimpanzee,functional_for_nonfunctional_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,15,fifi,15,f,chimpanzee,functional_for_nonfunctional_1,wooden_tool,,,trade,yes,"1/2_pellet_as_reward,_gives_tube_back"
kanngiesser2011limits,2,tool,2008,5,15,fifi,15,f,chimpanzee,functional_for_nonfunctional_2,plastic_tool,,,trade,yes,1/2_pellet_as_reward
kanngiesser2011limits,2,tool,2008,5,15,gertrudia,14,f,chimpanzee,functional_for_nonfunctional_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,15,gertrudia,14,f,chimpanzee,functional_for_nonfunctional_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,15,jahaga,15,f,chimpanzee,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,15,jahaga,15,f,chimpanzee,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,15,jahaga,15,f,chimpanzee,choice_trial_1,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,15,jahaga,15,f,chimpanzee,choice_trial_2,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,15,jahaga,15,f,chimpanzee,choice_trial_3,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,15,jahaga,15,f,chimpanzee,choice_trial_4,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,15,alexandra,8,f,chimpanzee,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,15,alex,7,m,chimpanzee,familiarization_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,15,alex,7,m,chimpanzee,familiarization_trial_2,plastic_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,5,15,alex,7,m,chimpanzee,initial_choice,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,5,15,alex,7,m,chimpanzee,trading_control_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,15,alex,7,m,chimpanzee,trading_control_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,21,jahaga,15,f,chimpanzee,functional_for_nonfunctional_1,wooden_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,5,21,jahaga,15,f,chimpanzee,functional_for_nonfunctional_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,21,alexandra,8,f,chimpanzee,identical_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,21,alex,7,m,chimpanzee,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,22,alexandra,8,f,chimpanzee,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,22,alex,7,m,chimpanzee,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,23,alexandra,8,f,chimpanzee,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,23,alex,7,m,chimpanzee,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,25,alexandra,8,f,chimpanzee,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,25,alexandra,8,f,chimpanzee,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,25,alexandra,8,f,chimpanzee,choice_trial_1,wooden_tool,right,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,5,25,alexandra,8,f,chimpanzee,choice_trial_2,wooden_tool,right,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,5,25,alexandra,8,f,chimpanzee,choice_trial_3,wooden_tool,left,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,5,25,alexandra,8,f,chimpanzee,choice_trial_4,wooden_tool,left,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,5,25,alex,7,m,chimpanzee,identical_trial_tool_a,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,5,27,alexandra,8,f,chimpanzee,functional_for_nonfunctional_1,wooden_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,5,27,alexandra,8,f,chimpanzee,functional_for_nonfunctional_2,plastic_tool,,,no_trade,yes,destroys_the_tool
kanngiesser2011limits,2,tool,2008,5,27,alex,7,m,chimpanzee,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,27,alex,7,m,chimpanzee,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,27,alex,7,m,chimpanzee,choice_trial_1,wooden_tool,left,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,5,27,alex,7,m,chimpanzee,choice_trial_2,wooden_tool,right,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,5,27,alex,7,m,chimpanzee,choice_trial_3,wooden_tool,left,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,5,27,alex,7,m,chimpanzee,choice_trial_4,wooden_tool,right,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,5,28,alex,7,m,chimpanzee,functional_for_nonfunctional_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,5,28,alex,7,m,chimpanzee,functional_for_nonfunctional_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,8,6,kibara,4,f,gorilla,familiarization_trial_1,wooden_tool,left,short,,no,
kanngiesser2011limits,2,tool,2008,8,6,kibara,4,f,gorilla,familiarization_trial_2,plastic_tool,right,short,,no,
kanngiesser2011limits,2,tool,2008,8,6,kibara,4,f,gorilla,familiarization_trial_3,plastic_tool,left,short,,no,
kanngiesser2011limits,2,tool,2008,8,6,kibara,4,f,gorilla,familiarization_trial_4,wooden_tool,right,short,,no,
kanngiesser2011limits,2,tool,2008,8,8,gorgo,27,m,gorilla,familiarization_trial_1,plastic_tool,left,short,,no,banana_slice_as_reward
kanngiesser2011limits,2,tool,2008,8,8,gorgo,27,m,gorilla,familiarization_trial_2,wooden_tool,right,,,no,doesn't_give_tool_back
kanngiesser2011limits,2,tool,2008,8,8,gorgo,27,m,gorilla,familiarization_trial_3,wooden_tool,left,,,no,doesn't_give_tool_back
kanngiesser2011limits,2,tool,2008,8,8,gorgo,27,m,gorilla,familiarization_trial_4,plastic_tool,right,,,no,uses_tool_a_that_was_still_in_the_cage
kanngiesser2011limits,2,tool,2008,8,14,viringika,13,f,gorilla,familiarization_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,8,14,viringika,13,f,gorilla,familiarization_trial_2,plastic_tool,right,short,,yes,
kanngiesser2011limits,2,tool,2008,8,14,viringika,13,f,gorilla,familiarization_trial_3,plastic_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,8,14,viringika,13,f,gorilla,familiarization_trial_4,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,8,14,viringika,13,f,gorilla,initial_choice,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,8,14,viringika,13,f,gorilla,trading_control_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,8,14,viringika,13,f,gorilla,trading_control_2,wooden_tool,,,trade,yes,"kibara_got_short_one,_gave_another_short_one"
kanngiesser2011limits,2,tool,2008,8,14,bebe,29,f,gorilla,familiarization_trial_1,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,8,14,bebe,29,f,gorilla,familiarization_trial_2,plastic_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,8,14,bebe,29,f,gorilla,initial_choice,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,8,14,bebe,29,f,gorilla,trading_control_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,8,14,bebe,29,f,gorilla,trading_control_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,8,27,viringika,13,f,gorilla,endowment_trial_tool_b,,,,no_trade,yes,doesn'_ti_give_tool_back
kanngiesser2011limits,2,tool,2008,8,27,bebe,29,f,gorilla,identical_trial_tool_a,,,,no_trade,yes,doesn't_get_food
kanngiesser2011limits,2,tool,2008,8,28,viringika,13,f,gorilla,identical_trial_tool_b,,,,no_trade,yes,doesn'_ti_give_tool_back
kanngiesser2011limits,2,tool,2008,8,28,bebe,29,f,gorilla,endowment_trial_tool_b,,,,trade,yes,doesn't_get_food
kanngiesser2011limits,2,tool,2008,8,31,viringika,13,f,gorilla,endowment_trial_tool_a,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,8,31,bebe,29,f,gorilla,endowment_trial_tool_a,,,,trade,yes,louna_got_tool
kanngiesser2011limits,2,tool,2008,9,1,viringika,13,f,gorilla,identical_trial_tool_a,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,9,1,bebe,29,f,gorilla,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,9,2,viringika,13,f,gorilla,trading_control_3,plastic_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,9,2,viringika,13,f,gorilla,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,9,2,viringika,13,f,gorilla,choice_trial_1,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,9,2,viringika,13,f,gorilla,choice_trial_2,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,9,2,viringika,13,f,gorilla,choice_trial_3,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,9,2,viringika,13,f,gorilla,choice_trial_4,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,9,2,bebe,29,f,gorilla,trading_control_3,wooden_tool,,,trade,yes,no_food
kanngiesser2011limits,2,tool,2008,9,2,bebe,29,f,gorilla,trading_control_4,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,9,2,bebe,29,f,gorilla,choice_trial_1,wooden_tool,right,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,9,2,bebe,29,f,gorilla,choice_trial_2,wooden_tool,right,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,9,2,bebe,29,f,gorilla,choice_trial_3,wooden_tool,left,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,9,2,bebe,29,f,gorilla,choice_trial_4,wooden_tool,left,,,yes,side_biased
kanngiesser2011limits,2,tool,2008,9,3,viringika,13,f,gorilla,functional_for_nonfunctional_1,wooden_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,9,3,viringika,13,f,gorilla,functional_for_nonfunctional_2,plastic_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,9,3,bebe,29,f,gorilla,functional_for_nonfunctional_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,9,3,bebe,29,f,gorilla,functional_for_nonfunctional_2,wooden_tool,,,no_trade,yes,
