study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,tool,location,choice,trade,tested_fully,comments
kanngiesser2011limits,2,tool,2008,3,12,swela,12,f,chimpanzee,trading_control_1,plastic_tool,,,trade,no,
kanngiesser2011limits,2,tool,2008,3,12,swela,12,f,chimpanzee,trading_control_2,wooden_tool,,,trade,no,
kanngiesser2011limits,2,tool,2008,3,12,tai,5,f,chimpanzee,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,13,frodo,14,m,chimpanzee,identical_trial_tool_a,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,13,natascha,27,f,chimpanzee,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,13,riet,30,f,chimpanzee,identical_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,13,swela,12,f,chimpanzee,endowment_trial_tool_b,,,,no_trade,no,
kanngiesser2011limits,2,tool,2008,3,13,tai,5,f,chimpanzee,endowment_trial_tool_b,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,14,frodo,14,m,chimpanzee,endowment_trial_tool_a,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,14,natascha,27,f,chimpanzee,endowment_trial_tool_b,,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,14,riet,30,f,chimpanzee,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,14,swela,12,f,chimpanzee,endowment_trial_tool_a,,,,no_trade,no,no_food
kanngiesser2011limits,2,tool,2008,3,14,tai,5,f,chimpanzee,endowment_trial_tool_a,,,,no_trade,yes,destroys_tool
kanngiesser2011limits,2,tool,2008,3,20,frodo,14,m,chimpanzee,trading_control_3,wooden_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,20,frodo,14,m,chimpanzee,trading_control_4,plastic_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,20,frodo,14,m,chimpanzee,choice_trial_1,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,frodo,14,m,chimpanzee,choice_trial_2,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,frodo,14,m,chimpanzee,choice_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,frodo,14,m,chimpanzee,choice_trial_4,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,natascha,27,f,chimpanzee,trading_control_3,plastic_tool,,,no_trade,yes,no_on_tape
kanngiesser2011limits,2,tool,2008,3,20,natascha,27,f,chimpanzee,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,20,natascha,27,f,chimpanzee,choice_trial_1,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,natascha,27,f,chimpanzee,choice_trial_2,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,natascha,27,f,chimpanzee,choice_trial_3,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,natascha,27,f,chimpanzee,choice_trial_4,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,riet,30,f,chimpanzee,trading_control_3,wooden_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,20,riet,30,f,chimpanzee,trading_control_4,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,20,riet,30,f,chimpanzee,choice_trial_1,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,riet,30,f,chimpanzee,choice_trial_2,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,riet,30,f,chimpanzee,choice_trial_3,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,riet,30,f,chimpanzee,choice_trial_4,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,swela,12,f,chimpanzee,identical_trial_tool_b,,,,,no,doesn't_to_anything
kanngiesser2011limits,2,tool,2008,3,20,tai,5,f,chimpanzee,trading_control_3,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,20,tai,5,f,chimpanzee,trading_control_4,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,20,tai,5,f,chimpanzee,choice_trial_1,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,tai,5,f,chimpanzee,choice_trial_2,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,tai,5,f,chimpanzee,choice_trial_3,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,20,tai,5,f,chimpanzee,choice_trial_4,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,21,frodo,14,m,chimpanzee,functional_for_nonfunctional_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,21,frodo,14,m,chimpanzee,functional_for_nonfunctional_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,21,natascha,28,f,chimpanzee,functional_for_nonfunctional_1,wooden_tool,,,no_trade,yes,
kanngiesser2011limits,2,tool,2008,3,21,natascha,28,f,chimpanzee,functional_for_nonfunctional_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,21,riet,30,f,chimpanzee,functional_for_nonfunctional_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,21,riet,30,f,chimpanzee,functional_for_nonfunctional_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,21,tai,5,f,chimpanzee,functional_for_nonfunctional_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,21,tai,5,f,chimpanzee,functional_for_nonfunctional_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,27,ulindi,14,f,bonobo,familiarization_trial_1,wooden_tool,left,,,no,gives_a_back
kanngiesser2011limits,2,tool,2008,3,27,ulindi,14,f,bonobo,familiarization_trial_2,plastic_tool,right,short,,no,
kanngiesser2011limits,2,tool,2008,3,27,ulindi,14,f,bonobo,familiarization_trial_3,wooden_tool,right,,,no,
kanngiesser2011limits,2,tool,2008,3,27,ulindi,14,f,bonobo,familiarization_trial_4,plastic_tool,left,,,no,gives_b_back
kanngiesser2011limits,2,tool,2008,3,27,ulindi,14,f,bonobo,initial_choice,wooden_tool,,,,no,
kanngiesser2011limits,2,tool,2008,3,27,ulindi,14,f,bonobo,trading_control_1,plastic_tool,,,no_trade,no,
kanngiesser2011limits,2,tool,2008,3,27,ulindi,14,f,bonobo,trading_control_2,wooden_tool,,,no_trade,no,
kanngiesser2011limits,2,tool,2008,3,27,joey,25,m,bonobo,familiarization_trial_1,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,27,joey,25,m,bonobo,familiarization_trial_2,plastic_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,27,joey,25,m,bonobo,initial_choice,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,27,joey,25,m,bonobo,trading_control_1,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,27,joey,25,m,bonobo,trading_control_2,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,27,kuno,11,m,bonobo,familiarization_trial_1,plastic_tool,left,short,,yes,
kanngiesser2011limits,2,tool,2008,3,27,kuno,11,m,bonobo,familiarization_trial_2,wooden_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,27,kuno,11,m,bonobo,familiarization_trial_3,plastic_tool,left,short,,yes,
kanngiesser2011limits,2,tool,2008,3,27,kuno,11,m,bonobo,familiarization_trial_4,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,27,kuno,11,m,bonobo,familiarization_trial_5,plastic_tool,right,,,yes,
kanngiesser2011limits,2,tool,2008,3,27,kuno,11,m,bonobo,initial_choice,wooden_tool,left,,,yes,
kanngiesser2011limits,2,tool,2008,3,27,kuno,11,m,bonobo,trading_control_1,plastic_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,27,kuno,11,m,bonobo,trading_control_2,wooden_tool,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,28,joey,25,m,bonobo,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,28,kuno,11,m,bonobo,endowment_trial_tool_a,,,,trade,yes,
kanngiesser2011limits,2,tool,2008,3,31,kila,7,f,orangutan,familiarization_trial_1,wooden_tool,left,,,no,padana_got_tool
kanngiesser2011limits,2,tool,2008,3,31,kila,7,f,orangutan,familiarization_trial_2,plastic_tool,right,,,no,padana_got_tool
kanngiesser2011limits,2,tool,2008,3,31,kila,7,f,orangutan,initial_choice,wooden_tool,right,,,no,a_trade_for_carrot
kanngiesser2011limits,2,tool,2008,3,31,kila,7,f,orangutan,trading_control_1,wooden_tool,,,no_trade,no,
kanngiesser2011limits,2,tool,2008,3,31,kila,7,f,orangutan,trading_control_2,plastic_tool,,,no_trade,no,
kanngiesser2011limits,2,tool,2008,3,31,pagai,4,m,orangutan,familiarization_trial_1,plastic_tool,left,short,,no,
kanngiesser2011limits,2,tool,2008,3,31,pagai,4,m,orangutan,familiarization_trial_2,wooden_tool,right,,,no,
kanngiesser2011limits,2,tool,2008,3,31,pagai,4,m,orangutan,familiarization_trial_3,plastic_tool,right,,,no,"1/2_pellet,_not_able_to_use_tools"
kanngiesser2011limits,2,tool,2008,3,31,dokana,19,f,orangutan,familiarization_trial_1,wooden_tool,left,,,yes,
