study_id,year,month,day,participant,age_in_years,sex,species,trial,nice_percentage,nasty_percentage,first_shown
russell2008image,,,,padana,,f,orangutan,average_percentage_of_time_spent_at_window_across_trials,46.25,43.75,
russell2008image,2004,09,08,patrick,7.0,m,chimpanzee,1,10.0,5.0,1.0
russell2008image,2004,09,08,patrick,7.0,m,chimpanzee,2,15.0,10.0,1.0
russell2008image,2004,09,09,patrick,7.0,m,chimpanzee,3,10.0,20.0,2.0
russell2008image,2004,09,09,patrick,7.0,m,chimpanzee,4,20.0,10.0,2.0
russell2008image,,,,patrick,,m,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,13.75,11.25,
russell2008image,2004,09,21,pini,16.0,f,orangutan,1,15.0,85.0,2.0
russell2008image,2004,09,21,pini,16.0,f,orangutan,2,100.0,0.0,2.0
russell2008image,2004,09,23,pini,16.0,f,orangutan,3,0.0,100.0,1.0
russell2008image,2004,09,23,pini,16.0,f,orangutan,4,0.0,100.0,1.0
russell2008image,,,,pini,,f,orangutan,average_percentage_of_time_spent_at_window_across_trials,28.75,71.25,
russell2008image,2004,09,08,riet,26.0,f,chimpanzee,1,0.0,100.0,1.0
russell2008image,2004,09,08,riet,26.0,f,chimpanzee,2,100.0,0.0,1.0
russell2008image,2004,09,09,riet,26.0,f,chimpanzee,3,100.0,0.0,2.0
russell2008image,2004,09,09,riet,26.0,f,chimpanzee,4,0.0,0.0,2.0
russell2008image,,,,riet,,f,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,50.0,25.0,
russell2008image,2004,09,08,robert,28.0,m,chimpanzee,1,10.0,0.0,2.0
russell2008image,2004,09,08,robert,28.0,m,chimpanzee,2,35.0,15.0,2.0
russell2008image,2004,09,09,robert,28.0,m,chimpanzee,3,20.0,0.0,1.0
russell2008image,2004,09,09,robert,28.0,m,chimpanzee,4,30.0,20.0,1.0
russell2008image,,,,robert,,m,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,23.75,8.75,
russell2008image,2004,09,18,ruby_b'windi,6.0,f,gorilla,1,35.0,0.0,1.0
russell2008image,2004,09,18,ruby_b'windi,6.0,f,gorilla,2,0.0,0.0,1.0
russell2008image,2004,09,19,ruby_b'windi,6.0,f,gorilla,3,0.0,10.0,2.0
russell2008image,2004,09,19,ruby_b'windi,6.0,f,gorilla,4,15.0,0.0,2.0
russell2008image,,,,ruby_b'windi,,f,gorilla,average_percentage_of_time_spent_at_window_across_trials,12.5,2.5,
russell2008image,2004,09,11,sandra,11.0,f,chimpanzee,1,15.0,15.0,1.0
russell2008image,2004,09,11,sandra,11.0,f,chimpanzee,2,10.0,15.0,1.0
russell2008image,2004,09,12,sandra,11.0,f,chimpanzee,3,15.0,0.0,2.0
russell2008image,2004,09,12,sandra,11.0,f,chimpanzee,4,35.0,25.0,2.0
russell2008image,,,,sandra,,f,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,18.75,13.75,
russell2008image,2004,07,29,ulindi,10.0,f,bonobo,1,0.0,0.0,1.0
russell2008image,2004,07,29,ulindi,10.0,f,bonobo,2,10.0,25.0,1.0
russell2008image,2004,07,30,ulindi,10.0,f,bonobo,3,30.0,0.0,2.0
russell2008image,2004,07,30,ulindi,10.0,f,bonobo,4,0.0,0.0,2.0
russell2008image,,,,ulindi,,f,bonobo,average_percentage_of_time_spent_at_window_across_trials,10.0,6.25,
russell2008image,2004,09,08,ulla,27.0,f,chimpanzee,1,30.0,70.0,1.0
russell2008image,2004,09,08,ulla,27.0,f,chimpanzee,2,65.0,20.0,1.0
russell2008image,2004,09,09,ulla,27.0,f,chimpanzee,3,40.0,10.0,2.0
russell2008image,2004,09,09,ulla,27.0,f,chimpanzee,4,10.0,15.0,2.0
russell2008image,,,,ulla,,f,chimpanzee,average_percentage_of_time_spent_at_window_across_trials,42.5,28.75,
russell2008image,2004,07,29,yasa,6.0,f,bonobo,1,30.0,45.0,1.0
russell2008image,2004,07,29,yasa,6.0,f,bonobo,2,15.0,30.0,1.0
russell2008image,2004,07,30,yasa,6.0,f,bonobo,3,20.0,35.0,2.0
russell2008image,2004,07,30,yasa,6.0,f,bonobo,4,35.0,30.0,2.0
russell2008image,,,,yasa,,f,bonobo,average_percentage_of_time_spent_at_window_across_trials,25.0,35.0,
