study_id,experiment,participant,sex,species,session,trial,condition,position_hole,hq_food,indicated,bent,plexi,modified_point
tauzin2020context,1,bimbo,m,orangutan,3,11,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,bimbo,m,orangutan,3,12,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,daza,f,chimpanzee,1,1,both,center,left,0.0,1.0,0.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,2,both,center,right,1.0,0.0,1.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,3,both,center,left,1.0,1.0,0.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,4,both,center,right,0.0,1.0,0.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,5,both,center,left,1.0,1.0,0.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,6,both,center,left,1.0,0.0,1.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,7,both,center,right,0.0,1.0,0.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,8,both,center,right,0.0,1.0,0.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,9,both,center,left,1.0,1.0,0.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,10,both,center,right,1.0,1.0,0.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,11,both,center,left,1.0,1.0,0.0,1.0
tauzin2020context,1,daza,f,chimpanzee,1,12,both,center,right,0.0,1.0,0.0,1.0
tauzin2020context,1,daza,f,chimpanzee,2,1,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,daza,f,chimpanzee,2,2,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,daza,f,chimpanzee,2,3,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,daza,f,chimpanzee,2,4,lq_blocked,right,right,1.0,0.0,0.0,0.0
tauzin2020context,1,daza,f,chimpanzee,2,5,hq_blocked,right,left,0.0,0.0,0.0,0.0
tauzin2020context,1,daza,f,chimpanzee,2,6,lq_blocked,right,right,1.0,0.0,0.0,0.0
