study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,housing,code_sticktransfer,condition,exp_contr,towexp_comm,towexpstress,towhelpcomm,towhelpstress
liebal2014does,bimbo,29.0,m,helper,dunja,36.0,f,victim,orangutan,bimbo_dunja,zoo,0,control_2_no_victim,0,,,,
liebal2014does,pini,21.0,f,helper,padana,11.0,f,victim,orangutan,pini_padana,zoo,0,take,1,1.0,0.0,1.0,0.0
liebal2014does,pini,21.0,f,helper,padana,11.0,f,victim,orangutan,pini_padana,zoo,0,give,1,3.0,2.0,0.0,2.0
liebal2014does,pini,21.0,f,helper,padana,11.0,f,victim,orangutan,pini_padana,zoo,0,control_1_no_food,0,,,,
liebal2014does,pini,21.0,f,helper,padana,11.0,f,victim,orangutan,pini_padana,zoo,0,control_2_no_victim,0,,,,
liebal2014does,bimbo,29.0,m,helper,padana,11.0,f,victim,orangutan,bimbo_padana,zoo,0,take,1,2.0,0.0,7.0,0.0
liebal2014does,bimbo,29.0,m,helper,padana,11.0,f,victim,orangutan,bimbo_padana,zoo,1,give,1,1.0,0.0,1.0,2.0
liebal2014does,bimbo,29.0,m,helper,padana,11.0,f,victim,orangutan,bimbo_padana,zoo,0,control_1_no_food,0,,,,
liebal2014does,bimbo,29.0,m,helper,padana,11.0,f,victim,orangutan,bimbo_padana,zoo,0,control_2_no_victim,0,,,,
liebal2014does,kila,9.0,f,helper,pini,21.0,f,victim,orangutan,kila_pini,zoo,1,take,1,1.0,1.0,0.0,0.0
liebal2014does,kila,9.0,f,helper,pini,21.0,f,victim,orangutan,kila_pini,zoo,0,give,1,0.0,2.0,1.0,1.0
liebal2014does,kila,9.0,f,helper,pini,21.0,f,victim,orangutan,kila_pini,zoo,1,control_1_no_food,0,,,,
liebal2014does,kila,9.0,f,helper,pini,21.0,f,victim,orangutan,kila_pini,zoo,0,control_2_no_victim,0,,,,
liebal2014does,bimbo,29.0,m,helper,pini,21.0,f,victim,orangutan,bimbo_pini,zoo,0,take,1,1.0,1.0,0.0,0.0
liebal2014does,bimbo,29.0,m,helper,pini,21.0,f,victim,orangutan,bimbo_pini,zoo,0,give,1,0.0,1.0,0.0,2.0
liebal2014does,bimbo,29.0,m,helper,pini,21.0,f,victim,orangutan,bimbo_pini,zoo,0,control_1_no_food,0,,,,
liebal2014does,bimbo,29.0,m,helper,pini,21.0,f,victim,orangutan,bimbo_pini,zoo,0,control_2_no_victim,0,,,,
liebal2014does,raja,6.0,f,helper,pini,21.0,f,victim,orangutan,raja_pini,zoo,0,take,1,3.0,2.0,0.0,0.0
liebal2014does,raja,6.0,f,helper,pini,21.0,f,victim,orangutan,raja_pini,zoo,0,give,1,0.0,1.0,0.0,1.0
liebal2014does,raja,6.0,f,helper,pini,21.0,f,victim,orangutan,raja_pini,zoo,0,control_1_no_food,0,,,,
liebal2014does,raja,6.0,f,helper,pini,21.0,f,victim,orangutan,raja_pini,zoo,0,control_2_no_victim,0,,,,
liebal2014does,kila,9.0,f,helper,bimbo,29.0,m,victim,orangutan,kila_bimbo,zoo,1,take,1,0.0,0.0,0.0,0.0
liebal2014does,kila,9.0,f,helper,bimbo,29.0,m,victim,orangutan,kila_bimbo,zoo,1,give,1,2.0,0.0,0.0,0.0
liebal2014does,kila,9.0,f,helper,bimbo,29.0,m,victim,orangutan,kila_bimbo,zoo,1,control_1_no_food,0,,,,
liebal2014does,kila,9.0,f,helper,bimbo,29.0,m,victim,orangutan,kila_bimbo,zoo,0,control_2_no_victim,0,,,,
liebal2014does,dokana,20.0,f,helper,bimbo,29.0,m,victim,orangutan,dokana_bimbo,zoo,0,take,1,0.0,0.0,0.0,0.0
liebal2014does,dokana,20.0,f,helper,bimbo,29.0,m,victim,orangutan,dokana_bimbo,zoo,1,give,1,0.0,0.0,0.0,0.0
liebal2014does,dokana,20.0,f,helper,bimbo,29.0,m,victim,orangutan,dokana_bimbo,zoo,0,control_1_no_food,0,,,,
liebal2014does,dokana,20.0,f,helper,bimbo,29.0,m,victim,orangutan,dokana_bimbo,zoo,0,control_2_no_victim,0,,,,
liebal2014does,dokana,20.0,f,helper,raja,6.0,f,victim,orangutan,dokana_raja,zoo,0,take,1,0.0,1.0,0.0,1.0
liebal2014does,dokana,20.0,f,helper,raja,6.0,f,victim,orangutan,dokana_raja,zoo,0,give,1,5.0,2.0,1.0,4.0
liebal2014does,dokana,20.0,f,helper,raja,6.0,f,victim,orangutan,dokana_raja,zoo,0,control_1_no_food,0,,,,
liebal2014does,dokana,20.0,f,helper,raja,6.0,f,victim,orangutan,dokana_raja,zoo,0,control_2_no_victim,0,,,,
liebal2014does,dunja,36.0,f,helper,raja,6.0,f,victim,orangutan,dunja_raja,zoo,0,take,1,1.0,4.0,0.0,1.0
liebal2014does,dunja,36.0,f,helper,raja,6.0,f,victim,orangutan,dunja_raja,zoo,0,give,1,1.0,0.0,1.0,1.0
liebal2014does,dunja,36.0,f,helper,raja,6.0,f,victim,orangutan,dunja_raja,zoo,1,control_1_no_food,0,,,,
liebal2014does,dunja,36.0,f,helper,raja,6.0,f,victim,orangutan,dunja_raja,zoo,0,control_2_no_victim,0,,,,
liebal2014does,viringika,15.0,f,helper,louna,4.0,f,victim,gorilla,viringika_louna,zoo,0,take,1,1.0,0.0,0.0,0.0
liebal2014does,viringika,15.0,f,helper,louna,4.0,f,victim,gorilla,viringika_louna,zoo,0,give,1,0.0,0.0,1.0,1.0
liebal2014does,viringika,15.0,f,helper,louna,4.0,f,victim,gorilla,viringika_louna,zoo,0,control_1_no_food,0,,,,
liebal2014does,viringika,15.0,f,helper,louna,4.0,f,victim,gorilla,viringika_louna,zoo,0,control_2_no_victim,0,,,,
liebal2014does,kibara,6.0,f,helper,louna,4.0,f,victim,gorilla,kibara_louna,zoo,1,take,1,0.0,0.0,1.0,0.0
liebal2014does,kibara,6.0,f,helper,louna,4.0,f,victim,gorilla,kibara_louna,zoo,0,give,1,0.0,0.0,0.0,0.0
liebal2014does,kibara,6.0,f,helper,louna,4.0,f,victim,gorilla,kibara_louna,zoo,0,control_1_no_food,0,,,,
liebal2014does,kibara,6.0,f,helper,louna,4.0,f,victim,gorilla,kibara_louna,zoo,0,control_2_no_victim,0,,,,
liebal2014does,kibara,6.0,f,helper,viringika,15.0,f,victim,gorilla,kibara_viringika,zoo,0,take,1,3.0,0.0,0.0,0.0
liebal2014does,kibara,6.0,f,helper,viringika,15.0,f,victim,gorilla,kibara_viringika,zoo,0,give,1,0.0,1.0,3.0,2.0
liebal2014does,kibara,6.0,f,helper,viringika,15.0,f,victim,gorilla,kibara_viringika,zoo,0,control_1_no_food,0,,,,
liebal2014does,kibara,6.0,f,helper,viringika,15.0,f,victim,gorilla,kibara_viringika,zoo,0,control_2_no_victim,0,,,,
liebal2014does,viringika,15.0,f,helper,gorgo,29.0,m,victim,gorilla,viringika_gorgo,zoo,0,take,1,0.0,1.0,0.0,0.0
liebal2014does,viringika,15.0,f,helper,gorgo,29.0,m,victim,gorilla,viringika_gorgo,zoo,0,give,1,0.0,0.0,0.0,0.0
liebal2014does,viringika,15.0,f,helper,gorgo,29.0,m,victim,gorilla,viringika_gorgo,zoo,0,control_1_no_food,0,,,,
liebal2014does,viringika,15.0,f,helper,gorgo,29.0,m,victim,gorilla,viringika_gorgo,zoo,0,control_2_no_victim,0,,,,
liebal2014does,gorgo,29.0,m,helper,kibara,6.0,f,victim,gorilla,gorgo_kibara,zoo,0,take,1,2.0,1.0,0.0,0.0
liebal2014does,gorgo,29.0,m,helper,kibara,6.0,f,victim,gorilla,gorgo_kibara,zoo,0,give,1,3.0,0.0,8.0,0.0
liebal2014does,gorgo,29.0,m,helper,kibara,6.0,f,victim,gorilla,gorgo_kibara,zoo,0,control_1_no_food,0,,,,
