study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_sex,species_subgroup,phase,session,trial,condition,pull_left,pull_right,success_left,success_right,efficiency_score,number_grapes_left,number_grapes_right,latency_pull_left,latency_pull_right,min_latency,coordination
sanchez2019chimpanzees,2016,9,27,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,2,2,bot,yes,yes,yes,no,2,2,0,0.52,2.48,0.52,no
sanchez2019chimpanzees,2016,9,27,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,2,3,bot,yes,no,no,no,0,0,0,1.64,15.0,1.64,no
sanchez2019chimpanzees,2016,9,27,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,2,4,bot,yes,yes,yes,no,2,2,0,2.56,6.72,2.56,no
sanchez2019chimpanzees,2016,9,27,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,2,5,bot,yes,no,no,no,0,0,0,6.88,15.0,6.88,no
sanchez2019chimpanzees,2016,9,27,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,2,6,bot,no,yes,yes,no,2,2,0,15.0,2.0,2,no
sanchez2019chimpanzees,2016,9,27,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,2,7,bot,yes,yes,yes,no,2,2,0,3.2,3.44,3.2,no
sanchez2019chimpanzees,2016,9,27,robert,40,m,focal_participant_right,tai,14,f,focal_participant_left,chimpanzee,robert_tai,mix,a,1,2,8,bot,yes,yes,yes,no,2,2,0,1.36,7.48,1.36,no
sanchez2019chimpanzees,2016,9,27,corry,39,f,focal_participant_right,frodo,22,m,focal_participant_left,chimpanzee,corrie_frodo,mix,a,1,2,1,top,no,yes,no,yes,2,0,2,15.0,2.92,2.92,no
sanchez2019chimpanzees,2016,9,27,corry,39,f,focal_participant_right,frodo,22,m,focal_participant_left,chimpanzee,corrie_frodo,mix,a,1,2,2,top,no,yes,no,yes,2,0,2,15.0,1.4,1.4,no
sanchez2019chimpanzees,2016,9,27,corry,39,f,focal_participant_right,frodo,22,m,focal_participant_left,chimpanzee,corrie_frodo,mix,a,1,2,3,top,no,yes,no,yes,2,0,2,15.0,1.08,1.08,no
sanchez2019chimpanzees,2016,9,27,corry,39,f,focal_participant_right,frodo,22,m,focal_participant_left,chimpanzee,corrie_frodo,mix,a,1,2,4,top,no,yes,no,yes,2,0,2,15.0,2.2,2.2,no
sanchez2019chimpanzees,2016,9,27,corry,39,f,focal_participant_right,frodo,22,m,focal_participant_left,chimpanzee,corrie_frodo,mix,a,1,2,5,top,no,yes,no,yes,2,0,2,15.0,1.28,1.28,no
