study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,condition,condition_group,order,choice,sum_correct,exp_order,feature,place,comments
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,2,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,3,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,4,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,5,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,6,training,exp,e1_e2,correct_baited_location,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,1,test,exp,e1_e2,place,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,2,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,3,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,4,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,5,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,6,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,7,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,8,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,9,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,10,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,11,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,7,5,limbuko,11,11,m,bonobo,5,12,test,exp,e1_e2,feature,,table_floor,92*,8*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,1,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,2,training,exp,e2,incorrect_nonbaited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,3,training,exp,e2,incorrect_nonbaited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,4,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
kanngiesser2010bonobos,2,table_data,2007,6,19,ulindi,13,13,f,bonobo,1,5,training,exp,e2,correct_baited_location,,table_floor,100*,0*,
