study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,condition,exp_group,order,choice,sum_correct,feature,place
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,7,training,learn_see,e1_e2,search_nonbaited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,8,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,9,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,10,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,11,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,kuno,10,11,m,bonobo,1,12,training,learn_see,e1_e2,search_baited_location,9.0,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,1,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,2,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,3,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,4,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,5,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,6,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,7,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,8,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,9,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,10,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,11,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,kuno,10,11,m,bonobo,2,12,training,learn_see,e1_e2,search_baited_location,12.0,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,1,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,2,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,3,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,4,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,5,training,learn_see,e1_e2,search_baited_location,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,6,training,learn_see,e1_e2,search_baited_location,6.0,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,1,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,2,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,3,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,4,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,5,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,6,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,7,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,8,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,9,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,10,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,11,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,28,kuno,10,11,m,bonobo,3,12,test,learn_see,e1_e2,feature,,100*,0*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,1,training,learn_see,e2_e1,search_nonbaited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,2,training,learn_see,e2_e1,search_nonbaited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,3,training,learn_see,e2_e1,search_nonbaited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,4,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,5,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,6,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,7,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,8,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,9,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,10,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,11,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,22,yasa,9,10,f,bonobo,1,12,training,learn_see,e2_e1,search_baited_location,9.0,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,1,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,2,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,3,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,4,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,5,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,6,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,7,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,8,training,learn_see,e2_e1,search_baited_location,,92*,8*
kanngiesser2010bonobos,3,table_follow_up,2008,5,26,yasa,9,10,f,bonobo,2,9,training,learn_see,e2_e1,search_nonbaited_location,,92*,8*
