study_id,participant,age_in_years,sex,species,set,condition,first_success,matching_scores
tennie2010two,natascha,24,f,chimpanzee,2,intention,0,-0.42
tennie2010two,natascha,24,f,chimpanzee,2,end_state,0,
tennie2010two,natascha,24,f,chimpanzee,2,baseline,0,
tennie2010two,n’diki,27,f,gorilla,1,full_model,,
tennie2010two,n’diki,27,f,gorilla,1,intention,,
tennie2010two,n’diki,27,f,gorilla,1,end_state,0,0.43
tennie2010two,n’diki,27,f,gorilla,1,baseline,1,
tennie2010two,n’diki,27,f,gorilla,2,full_model,1,-0.42
tennie2010two,n’diki,27,f,gorilla,2,intention,1,-0.53
tennie2010two,n’diki,27,f,gorilla,2,end_state,1,-0.42
tennie2010two,n’diki,27,f,gorilla,2,baseline,1,
tennie2010two,padana,7,f,orangutan,1,full_model,1,0.43
tennie2010two,padana,7,f,orangutan,1,intention,1,0.2
tennie2010two,padana,7,f,orangutan,1,end_state,1,-0.25
tennie2010two,padana,7,f,orangutan,1,baseline,1,
tennie2010two,padana,7,f,orangutan,2,full_model,1,-0.42
tennie2010two,padana,7,f,orangutan,2,intention,1,-0.89
tennie2010two,padana,7,f,orangutan,2,end_state,1,-0.42
tennie2010two,padana,7,f,orangutan,2,baseline,1,
tennie2010two,patrick,7,m,chimpanzee,1,full_model,0,-0.25
tennie2010two,patrick,7,m,chimpanzee,1,intention,1,0.75
tennie2010two,patrick,7,m,chimpanzee,1,end_state,0,
tennie2010two,patrick,7,m,chimpanzee,1,baseline,1,
tennie2010two,patrick,7,m,chimpanzee,2,full_model,1,0.58
tennie2010two,patrick,7,m,chimpanzee,2,intention,1,-0.53
tennie2010two,patrick,7,m,chimpanzee,2,end_state,1,-0.42
tennie2010two,patrick,7,m,chimpanzee,2,baseline,1,
tennie2010two,pia,5,f,chimpanzee,1,full_model,1,0.43
tennie2010two,pia,5,f,chimpanzee,1,intention,1,0.2
tennie2010two,pia,5,f,chimpanzee,1,end_state,1,-0.25
tennie2010two,pia,5,f,chimpanzee,1,baseline,1,
tennie2010two,pia,5,f,chimpanzee,2,full_model,1,-0.42
tennie2010two,pia,5,f,chimpanzee,2,intention,1,0.11
tennie2010two,pia,5,f,chimpanzee,2,end_state,1,0.58
tennie2010two,pia,5,f,chimpanzee,2,baseline,1,
tennie2010two,pini,16,f,orangutan,1,full_model,1,-0.8
tennie2010two,pini,16,f,orangutan,1,intention,0,-0.25
tennie2010two,pini,16,f,orangutan,1,end_state,1,-0.25
tennie2010two,pini,16,f,orangutan,1,baseline,1,
tennie2010two,pini,16,f,orangutan,2,full_model,1,0.11
tennie2010two,pini,16,f,orangutan,2,intention,1,0.58
tennie2010two,pini,16,f,orangutan,2,end_state,1,-0.53
tennie2010two,pini,16,f,orangutan,2,baseline,1,
tennie2010two,riet,27,f,chimpanzee,1,full_model,1,-0.75
tennie2010two,riet,27,f,chimpanzee,1,intention,0,
tennie2010two,riet,27,f,chimpanzee,1,end_state,0,
tennie2010two,riet,27,f,chimpanzee,1,baseline,0,
tennie2010two,riet,27,f,chimpanzee,2,full_model,,
tennie2010two,riet,27,f,chimpanzee,2,intention,,
tennie2010two,riet,27,f,chimpanzee,2,end_state,,
tennie2010two,riet,27,f,chimpanzee,2,baseline,,
tennie2010two,robert,29,m,chimpanzee,1,full_model,0,
tennie2010two,robert,29,m,chimpanzee,1,intention,1,0.25
tennie2010two,robert,29,m,chimpanzee,1,end_state,1,-0.43
tennie2010two,robert,29,m,chimpanzee,1,baseline,0,
tennie2010two,robert,29,m,chimpanzee,2,full_model,1,-0.58
tennie2010two,robert,29,m,chimpanzee,2,intention,1,-0.47
tennie2010two,robert,29,m,chimpanzee,2,end_state,1,0.42
tennie2010two,robert,29,m,chimpanzee,2,baseline,1,
tennie2010two,ruby_b'windi,7,f,gorilla,1,full_model,,
tennie2010two,ruby_b'windi,7,f,gorilla,1,intention,0,0.25
tennie2010two,ruby_b'windi,7,f,gorilla,1,end_state,0,
tennie2010two,ruby_b'windi,7,f,gorilla,1,baseline,0,
tennie2010two,ruby_b'windi,7,f,gorilla,2,full_model,,
tennie2010two,ruby_b'windi,7,f,gorilla,2,intention,,
tennie2010two,ruby_b'windi,7,f,gorilla,2,end_state,0,0.42
tennie2010two,ruby_b'windi,7,f,gorilla,2,baseline,1,
tennie2010two,sandra,11,f,chimpanzee,1,full_model,0,0.43
tennie2010two,sandra,11,f,chimpanzee,1,intention,0,
tennie2010two,sandra,11,f,chimpanzee,1,end_state,0,-0.25
tennie2010two,sandra,11,f,chimpanzee,1,baseline,0,
tennie2010two,sandra,11,f,chimpanzee,2,full_model,1,0.58
tennie2010two,sandra,11,f,chimpanzee,2,intention,1,0.11
tennie2010two,sandra,11,f,chimpanzee,2,end_state,1,0.58
tennie2010two,sandra,11,f,chimpanzee,2,baseline,1,
tennie2010two,swela,9,f,chimpanzee,1,full_model,1,-0.2
tennie2010two,swela,9,f,chimpanzee,1,intention,,
tennie2010two,swela,9,f,chimpanzee,1,end_state,1,-0.25
tennie2010two,swela,9,f,chimpanzee,1,baseline,1,
tennie2010two,swela,9,f,chimpanzee,2,full_model,1,0.11
tennie2010two,swela,9,f,chimpanzee,2,intention,1,0.58
tennie2010two,swela,9,f,chimpanzee,2,end_state,0,0.47
tennie2010two,swela,9,f,chimpanzee,2,baseline,0,
tennie2010two,tai,2,f,chimpanzee,1,full_model,,
tennie2010two,tai,2,f,chimpanzee,1,intention,,
tennie2010two,tai,2,f,chimpanzee,1,end_state,,
tennie2010two,tai,2,f,chimpanzee,1,baseline,,
tennie2010two,tai,2,f,chimpanzee,2,full_model,0,
tennie2010two,tai,2,f,chimpanzee,2,intention,0,0.42
tennie2010two,tai,2,f,chimpanzee,2,end_state,1,-0.11
tennie2010two,tai,2,f,chimpanzee,2,baseline,1,
tennie2010two,ulindi,11,f,bonobo,1,full_model,0,
tennie2010two,ulindi,11,f,bonobo,1,intention,1,-0.25
tennie2010two,ulindi,11,f,bonobo,1,end_state,0,
tennie2010two,ulindi,11,f,bonobo,1,baseline,0,
tennie2010two,ulindi,11,f,bonobo,2,full_model,1,0.58
tennie2010two,ulindi,11,f,bonobo,2,intention,1,-0.53
tennie2010two,ulindi,11,f,bonobo,2,end_state,1,0.58
tennie2010two,ulindi,11,f,bonobo,2,baseline,1,
tennie2010two,ulla,27,f,chimpanzee,1,full_model,0,0.75
tennie2010two,ulla,27,f,chimpanzee,1,intention,0,0.43
tennie2010two,ulla,27,f,chimpanzee,1,end_state,0,0.2
tennie2010two,ulla,27,f,chimpanzee,1,baseline,0,
tennie2010two,ulla,27,f,chimpanzee,2,full_model,1,-0.53
tennie2010two,ulla,27,f,chimpanzee,2,intention,0,
tennie2010two,ulla,27,f,chimpanzee,2,end_state,0,
tennie2010two,ulla,27,f,chimpanzee,2,baseline,0,
tennie2010two,unyoro,7,m,chimpanzee,1,full_model,1,0.25
tennie2010two,unyoro,7,m,chimpanzee,1,intention,1,-0.43
tennie2010two,unyoro,7,m,chimpanzee,1,end_state,0,
tennie2010two,unyoro,7,m,chimpanzee,1,baseline,0,
tennie2010two,unyoro,7,m,chimpanzee,2,full_model,1,-0.47
tennie2010two,unyoro,7,m,chimpanzee,2,intention,1,0.42
tennie2010two,unyoro,7,m,chimpanzee,2,end_state,1,0.89
tennie2010two,unyoro,7,m,chimpanzee,2,baseline,1,
tennie2010two,viringika,9,f,gorilla,1,full_model,1,0.2
tennie2010two,viringika,9,f,gorilla,1,intention,,
tennie2010two,viringika,9,f,gorilla,1,end_state,1,-0.25
tennie2010two,viringika,9,f,gorilla,1,baseline,0,
tennie2010two,viringika,9,f,gorilla,2,full_model,1,0.11
tennie2010two,viringika,9,f,gorilla,2,intention,1,-0.42
tennie2010two,viringika,9,f,gorilla,2,end_state,1,0.47
tennie2010two,viringika,9,f,gorilla,2,baseline,1,
tennie2010two,yasa,7,f,bonobo,1,full_model,1,0.8
tennie2010two,yasa,7,f,bonobo,1,intention,0,
tennie2010two,yasa,7,f,bonobo,1,end_state,1,0.25
tennie2010two,yasa,7,f,bonobo,1,baseline,1,
tennie2010two,yasa,7,f,bonobo,2,full_model,1,-0.11
tennie2010two,yasa,7,f,bonobo,2,intention,1,0.42
tennie2010two,yasa,7,f,bonobo,2,end_state,1,-0.47
tennie2010two,yasa,7,f,bonobo,2,baseline,1,
