study_id,experiment,day,month,year,participant,age_original,age_in_years,sex,species,species_subgroup,session,trial,condition,order_of_conditions,preference_single_item,preference_pop_open,preference_pop_covered,initial_position_pellet_pop,position_pellet_sample,choice
eckert2017great,1,23,3,2015,daza,28,29.0,f,chimpanzee,b,1,1,test 1,reverse,86.67,50.0,50.0,r,l,pellet
eckert2017great,1,23,3,2015,daza,28,29.0,f,chimpanzee,b,1,2,test 1,reverse,86.67,50.0,50.0,r,r,carrot
eckert2017great,1,23,3,2015,daza,28,29.0,f,chimpanzee,b,1,3,test 1,reverse,86.67,50.0,50.0,l,l,pellet
eckert2017great,1,23,3,2015,daza,28,29.0,f,chimpanzee,b,1,4,test 1,reverse,86.67,50.0,50.0,l,r,carrot
eckert2017great,1,25,3,2015,alexandra,15,15.0,f,chimpanzee,b,2,5,test 1,reverse,90.0,100.0,100.0,r,r,pellet
eckert2017great,1,25,3,2015,alexandra,15,15.0,f,chimpanzee,b,2,6,test 1,reverse,90.0,100.0,100.0,r,l,pellet
eckert2017great,1,25,3,2015,alexandra,15,15.0,f,chimpanzee,b,2,7,test 1,reverse,90.0,100.0,100.0,l,r,pellet
eckert2017great,1,25,3,2015,alexandra,15,15.0,f,chimpanzee,b,2,8,test 1,reverse,90.0,100.0,100.0,l,l,pellet
eckert2017great,1,25,3,2015,daza,28,29.0,f,chimpanzee,b,2,5,test 1,reverse,86.67,50.0,50.0,r,r,carrot
eckert2017great,1,25,3,2015,daza,28,29.0,f,chimpanzee,b,2,6,test 1,reverse,86.67,50.0,50.0,r,l,pellet
eckert2017great,1,25,3,2015,daza,28,29.0,f,chimpanzee,b,2,7,test 1,reverse,86.67,50.0,50.0,l,r,carrot
eckert2017great,1,25,3,2015,daza,28,29.0,f,chimpanzee,b,2,8,test 1,reverse,86.67,50.0,50.0,l,l,pellet
eckert2017great,1,26,3,2015,daza,28,29.0,f,chimpanzee,b,3,9,test 1,reverse,86.67,50.0,50.0,l,r,carrot
eckert2017great,1,26,3,2015,daza,28,29.0,f,chimpanzee,b,3,10,test 1,reverse,86.67,50.0,50.0,l,l,pellet
eckert2017great,1,26,3,2015,daza,28,29.0,f,chimpanzee,b,3,11,test 1,reverse,86.67,50.0,50.0,r,l,pellet
eckert2017great,1,26,3,2015,daza,28,29.0,f,chimpanzee,b,3,12,test 1,reverse,86.67,50.0,50.0,r,r,carrot
eckert2017great,1,26,3,2015,alexandra,15,15.0,f,chimpanzee,b,3,9,test 1,reverse,90.0,100.0,100.0,l,r,pellet
eckert2017great,1,26,3,2015,alexandra,15,15.0,f,chimpanzee,b,3,10,test 1,reverse,90.0,100.0,100.0,l,l,pellet
eckert2017great,1,26,3,2015,alexandra,15,15.0,f,chimpanzee,b,3,11,test 1,reverse,90.0,100.0,100.0,r,l,pellet
eckert2017great,1,26,3,2015,alexandra,15,15.0,f,chimpanzee,b,3,12,test 1,reverse,90.0,100.0,100.0,r,r,pellet
eckert2017great,1,26,3,2015,jeudi,48,,f,chimpanzee,b,2,5,test 1,reverse,100.0,100.0,50.0,r,r,pellet
eckert2017great,1,26,3,2015,jeudi,48,,f,chimpanzee,b,2,6,test 1,reverse,100.0,100.0,50.0,r,l,carrot
eckert2017great,1,26,3,2015,jeudi,48,,f,chimpanzee,b,2,7,test 1,reverse,100.0,100.0,50.0,l,r,pellet
eckert2017great,1,26,3,2015,jeudi,48,,f,chimpanzee,b,2,8,test 1,reverse,100.0,100.0,50.0,l,l,carrot
eckert2017great,1,27,3,2015,jeudi,48,,f,chimpanzee,b,3,9,test 1,reverse,100.0,100.0,50.0,l,r,pellet
eckert2017great,1,27,3,2015,jeudi,48,,f,chimpanzee,b,3,10,test 1,reverse,100.0,100.0,50.0,l,r,pellet
eckert2017great,1,27,3,2015,jeudi,48,,f,chimpanzee,b,3,11,test 1,reverse,100.0,100.0,50.0,r,l,carrot
eckert2017great,1,27,3,2015,jeudi,48,,f,chimpanzee,b,3,12,test 1,reverse,100.0,100.0,50.0,r,l,carrot
eckert2017great,1,10,4,2015,riet,37,37.0,f,chimpanzee,a,1,1,test 1,original,100.0,100.0,75.0,r,l,pellet
eckert2017great,1,10,4,2015,riet,37,37.0,f,chimpanzee,a,1,2,test 1,original,100.0,100.0,75.0,r,r,carrot
eckert2017great,1,10,4,2015,riet,37,37.0,f,chimpanzee,a,1,3,test 1,original,100.0,100.0,75.0,l,l,pellet
eckert2017great,1,10,4,2015,riet,37,37.0,f,chimpanzee,a,1,4,test 1,original,100.0,100.0,75.0,l,r,carrot
eckert2017great,1,13,4,2015,riet,37,37.0,f,chimpanzee,a,2,5,test 1,original,100.0,100.0,75.0,r,r,pellet
eckert2017great,1,13,4,2015,riet,37,37.0,f,chimpanzee,a,2,6,test 1,original,100.0,100.0,75.0,r,l,pellet
eckert2017great,1,13,4,2015,riet,37,37.0,f,chimpanzee,a,2,7,test 1,original,100.0,100.0,75.0,l,r,carrot
eckert2017great,1,13,4,2015,riet,37,37.0,f,chimpanzee,a,2,8,test 1,original,100.0,100.0,75.0,l,l,pellet
eckert2017great,1,14,4,2015,riet,37,37.0,f,chimpanzee,a,3,9,test 1,original,100.0,100.0,75.0,l,r,pellet
eckert2017great,1,14,4,2015,riet,37,37.0,f,chimpanzee,a,3,10,test 1,original,100.0,100.0,75.0,l,l,pellet
eckert2017great,1,14,4,2015,riet,37,37.0,f,chimpanzee,a,3,11,test 1,original,100.0,100.0,75.0,r,l,pellet
eckert2017great,1,14,4,2015,riet,37,37.0,f,chimpanzee,a,3,12,test 1,original,100.0,100.0,75.0,r,r,carrot
eckert2017great,1,6,5,2015,kara,9,9.0,f,chimpanzee,a,1,1,test 1,reverse,100.0,100.0,100.0,r,l,carrot
eckert2017great,1,6,5,2015,kara,9,9.0,f,chimpanzee,a,1,2,test 1,reverse,100.0,100.0,100.0,r,r,pellet
eckert2017great,1,6,5,2015,kara,9,9.0,f,chimpanzee,a,1,3,test 1,reverse,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,6,5,2015,kara,9,9.0,f,chimpanzee,a,1,4,test 1,reverse,100.0,100.0,100.0,l,r,carrot
eckert2017great,1,10,5,2015,kara,9,9.0,f,chimpanzee,a,2,5,test 1,reverse,100.0,100.0,100.0,r,r,carrot
eckert2017great,1,10,5,2015,kara,9,9.0,f,chimpanzee,a,2,6,test 1,reverse,100.0,100.0,100.0,r,l,pellet
eckert2017great,1,10,5,2015,kara,9,9.0,f,chimpanzee,a,2,7,test 1,reverse,100.0,100.0,100.0,l,r,carrot
eckert2017great,1,10,5,2015,kara,9,9.0,f,chimpanzee,a,2,8,test 1,reverse,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,11,5,2015,kara,9,9.0,f,chimpanzee,a,3,9,test 1,reverse,100.0,100.0,100.0,l,r,carrot
eckert2017great,1,11,5,2015,kara,9,9.0,f,chimpanzee,a,3,10,test 1,reverse,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,11,5,2015,kara,9,9.0,f,chimpanzee,a,3,11,test 1,reverse,100.0,100.0,100.0,r,l,pellet
eckert2017great,1,11,5,2015,kara,9,9.0,f,chimpanzee,a,3,12,test 1,reverse,100.0,100.0,100.0,r,r,carrot
eckert2017great,1,22,5,2015,padana,17,17.0,f,orangutan,,1,1,test 1,original,100.0,100.0,100.0,r,l,pellet
eckert2017great,1,22,5,2015,padana,17,17.0,f,orangutan,,1,2,test 1,original,100.0,100.0,100.0,r,r,pellet
eckert2017great,1,22,5,2015,padana,17,17.0,f,orangutan,,1,3,test 1,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,22,5,2015,padana,17,17.0,f,orangutan,,1,4,test 1,original,100.0,100.0,100.0,l,r,carrot
eckert2017great,1,22,5,2015,dokana,26,26.0,f,orangutan,,1,1,test 1,original,100.0,100.0,100.0,r,l,pellet
eckert2017great,1,22,5,2015,dokana,26,26.0,f,orangutan,,1,2,test 1,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,1,22,5,2015,dokana,26,26.0,f,orangutan,,1,3,test 1,original,100.0,100.0,100.0,l,r,carrot
eckert2017great,1,22,5,2015,dokana,26,26.0,f,orangutan,,1,4,test 1,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,23,5,2015,padana,17,17.0,f,orangutan,,2,5,test 1,original,100.0,100.0,100.0,r,r,pellet
eckert2017great,1,23,5,2015,padana,17,17.0,f,orangutan,,2,6,test 1,original,100.0,100.0,100.0,r,l,carrot
eckert2017great,1,23,5,2015,padana,17,17.0,f,orangutan,,2,7,test 1,original,100.0,100.0,100.0,l,r,carrot
eckert2017great,1,23,5,2015,padana,17,17.0,f,orangutan,,2,8,test 1,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,23,5,2015,dokana,26,26.0,f,orangutan,,2,5,test 1,original,100.0,100.0,100.0,r,r,pellet
eckert2017great,1,23,5,2015,dokana,26,26.0,f,orangutan,,2,6,test 1,original,100.0,100.0,100.0,r,l,pellet
eckert2017great,1,23,5,2015,dokana,26,26.0,f,orangutan,,2,7,test 1,original,100.0,100.0,100.0,l,r,pellet
eckert2017great,1,23,5,2015,dokana,26,26.0,f,orangutan,,2,8,test 1,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,24,5,2015,padana,17,17.0,f,orangutan,,3,9,test 1,original,100.0,100.0,100.0,l,r,carrot
eckert2017great,1,24,5,2015,padana,17,17.0,f,orangutan,,3,10,test 1,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,24,5,2015,padana,17,17.0,f,orangutan,,3,11,test 1,original,100.0,100.0,100.0,r,l,pellet
eckert2017great,1,24,5,2015,padana,17,17.0,f,orangutan,,3,12,test 1,original,100.0,100.0,100.0,r,r,carrot
eckert2017great,1,24,5,2015,dokana,26,26.0,f,orangutan,,3,9,test 1,original,100.0,100.0,100.0,l,r,pellet
eckert2017great,1,24,5,2015,dokana,26,26.0,f,orangutan,,3,10,test 1,original,100.0,100.0,100.0,l,l,pellet
eckert2017great,1,24,5,2015,dokana,26,26.0,f,orangutan,,3,11,test 1,original,100.0,100.0,100.0,r,l,pellet
eckert2017great,1,24,5,2015,dokana,26,26.0,f,orangutan,,3,12,test 1,original,100.0,100.0,100.0,r,r,pellet
eckert2017great,1,29,5,2015,suaq,6,6.0,m,orangutan,,1,1,test 1,original,96.67,100.0,75.0,r,l,pellet
eckert2017great,1,29,5,2015,suaq,6,6.0,m,orangutan,,1,2,test 1,original,96.67,100.0,75.0,r,r,carrot
eckert2017great,1,29,5,2015,suaq,6,6.0,m,orangutan,,1,3,test 1,original,96.67,100.0,75.0,l,l,pellet
eckert2017great,1,29,5,2015,suaq,6,6.0,m,orangutan,,1,4,test 1,original,96.67,100.0,75.0,l,r,carrot
eckert2017great,1,30,5,2015,suaq,6,6.0,m,orangutan,,2,5,test 1,original,96.67,100.0,75.0,r,r,carrot
eckert2017great,1,30,5,2015,suaq,6,6.0,m,orangutan,,2,6,test 1,original,96.67,100.0,75.0,r,l,pellet
eckert2017great,1,30,5,2015,suaq,6,6.0,m,orangutan,,2,7,test 1,original,96.67,100.0,75.0,l,r,carrot
eckert2017great,1,30,5,2015,suaq,6,6.0,m,orangutan,,2,8,test 1,original,96.67,100.0,75.0,l,l,pellet
eckert2017great,1,2,6,2015,suaq,6,6.0,m,orangutan,,3,9,test 1,original,96.67,100.0,75.0,l,r,carrot
eckert2017great,1,2,6,2015,suaq,6,6.0,m,orangutan,,3,10,test 1,original,96.67,100.0,75.0,l,l,pellet
eckert2017great,1,2,6,2015,suaq,6,6.0,m,orangutan,,3,11,test 1,original,96.67,100.0,75.0,r,l,pellet
eckert2017great,1,2,6,2015,suaq,6,6.0,m,orangutan,,3,12,test 1,original,96.67,100.0,75.0,r,r,carrot
eckert2017great,1,11,6,2015,pini,27,26.0,f,orangutan,,1,1,test 1,reverse,100.0,100.0,100.0,r,l,pellet
