study_id,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,session,trial,condition,3_6_side,options,choice
herrmann2019human,2018,1,19,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,2,154,test,left,2/1vs3/6,3
herrmann2019human,2018,1,19,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,2,155,test,left,2/1vs3/6,3
herrmann2019human,2018,1,19,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,2,156,test,right,2/1vs3/6,3
herrmann2019human,2018,1,20,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,3,157,control,left,2/5vs3/6,2
herrmann2019human,2018,1,20,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,3,158,control,right,2/5vs3/6,3
herrmann2019human,2018,1,20,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,3,159,control,left,2/5vs3/6,3
herrmann2019human,2018,1,20,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,3,160,control,left,2/5vs3/6,3
herrmann2019human,2018,1,20,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,3,161,control,right,2/5vs3/6,2
herrmann2019human,2018,1,20,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,3,162,control,right,2/5vs3/6,3
herrmann2019human,2018,1,21,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,4,163,control,right,2/5vs3/6,3
herrmann2019human,2018,1,21,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,4,164,control,left,2/5vs3/6,3
herrmann2019human,2018,1,21,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,4,165,control,right,2/5vs3/6,3
herrmann2019human,2018,1,21,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,4,166,control,left,2/5vs3/6,3
herrmann2019human,2018,1,21,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,4,167,control,left,2/5vs3/6,3
herrmann2019human,2018,1,21,lome,16,m,focal_participant,frodo,24,m,partner,chimpanzee,lome_frodo,4,168,control,right,2/5vs3/6,3
herrmann2019human,2018,1,18,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,1,169,control,left,2/5vs3/6,3
herrmann2019human,2018,1,18,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,1,170,control,right,2/5vs3/6,2
herrmann2019human,2018,1,18,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,1,171,control,left,2/5vs3/6,3
herrmann2019human,2018,1,18,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,1,172,control,left,2/5vs3/6,3
herrmann2019human,2018,1,18,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,1,173,control,right,2/5vs3/6,3
herrmann2019human,2018,1,18,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,1,174,control,right,2/5vs3/6,3
herrmann2019human,2018,1,19,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,2,175,control,right,2/5vs3/6,3
herrmann2019human,2018,1,19,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,2,176,control,left,2/5vs3/6,3
herrmann2019human,2018,1,19,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,2,177,control,right,2/5vs3/6,2
herrmann2019human,2018,1,19,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,2,178,control,left,2/5vs3/6,3
herrmann2019human,2018,1,19,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,2,179,control,left,2/5vs3/6,3
herrmann2019human,2018,1,19,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,2,180,control,right,2/5vs3/6,3
herrmann2019human,2018,1,20,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,3,181,test,left,2/1vs3/6,3
herrmann2019human,2018,1,20,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,3,182,test,right,2/1vs3/6,3
herrmann2019human,2018,1,20,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,3,183,test,left,2/1vs3/6,3
herrmann2019human,2018,1,20,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,3,184,test,left,2/1vs3/6,3
herrmann2019human,2018,1,20,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,3,185,test,right,2/1vs3/6,2
herrmann2019human,2018,1,20,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,3,186,test,right,2/1vs3/6,2
herrmann2019human,2018,1,22,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,4,187,test,right,2/1vs3/6,3
herrmann2019human,2018,1,22,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,4,188,test,left,2/1vs3/6,3
herrmann2019human,2018,1,22,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,4,189,test,right,2/1vs3/6,3
herrmann2019human,2018,1,22,sandra,24,f,focal_participant,corry,41,f,partner,chimpanzee,sandra_corry,4,190,test,left,2/1vs3/6,2
