study_id,year,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,dyad_original,dyad_sex,trial,friendship_relation,poke_left_focal_participant,poke_right_focal_participant,poke_total,turn_taking_within_trial,total_turn_taking_per_dyad
knofe2019chimpanzees,2011,gertrudia,18,f,focal_participant_right_es_view,jahaga,19,f,focal_participant_left_es_view,chimpanzee,gertrudia_jahaga,jahaga_trudi,female,10,yes,69,0,69,0,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,kara_kofi,kofi_kara,mixed,1,yes,33,26,59,7,96.0
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,kara_kofi,kofi_kara,mixed,2,yes,16,55,71,16,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,kara_kofi,kofi_kara,mixed,3,yes,19,29,48,15,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,kara_kofi,kofi_kara,mixed,4,yes,11,44,55,12,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,kara_kofi,kofi_kara,mixed,5,yes,4,56,60,8,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,kara_kofi,kofi_kara,mixed,6,yes,26,57,83,11,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,kara_kofi,kofi_kara,mixed,7,yes,12,26,38,9,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,kara_kofi,kofi_kara,mixed,8,yes,21,33,54,6,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,kara_kofi,kofi_kara,mixed,9,yes,11,29,40,9,
knofe2019chimpanzees,2011,kara,6,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,kara_kofi,kofi_kara,mixed,10,yes,34,16,50,3,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,pia_kofi,kofi_pia,mixed,1,no,12,22,34,5,68.0
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,pia_kofi,kofi_pia,mixed,2,no,18,10,28,3,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,pia_kofi,kofi_pia,mixed,3,no,11,28,39,9,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,pia_kofi,kofi_pia,mixed,4,no,31,12,43,9,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,pia_kofi,kofi_pia,mixed,5,no,43,25,68,5,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,pia_kofi,kofi_pia,mixed,6,no,30,25,55,9,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,pia_kofi,kofi_pia,mixed,7,no,33,20,53,3,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,pia_kofi,kofi_pia,mixed,8,no,27,17,44,6,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,pia_kofi,kofi_pia,mixed,9,no,38,14,52,9,
knofe2019chimpanzees,2011,pia,12,f,focal_participant_right_es_view,kofi,6,m,focal_participant_left_es_view,chimpanzee,pia_kofi,kofi_pia,mixed,10,no,35,17,52,10,
