study_id,experiment_no,data_provided,grouping,droupouts_no,dropout_names,group_id,group_id_excluded,data_collection_date_provided,data_collection_date_source,data_collection_date,data_collection_date_comments,age_source,age_source_comments
knofe2019chimpanzees,1,True,dyads,4,"Natascha, Dorien, Ulla, Corrie","wkprc_chimpanzee_a, wkprc_chimpanzee_b",,True,author,2011,,publication, 
kopp2021small,1,True,groups,,,"berlin_chimpanzee, wkprc_chimpanzee_a, wkprc_chimpanzee_b, magdeburg_chimpanzee, halle_chimpanzee, heidelberg_chimpanzee, wuppertal_chimpanzee",,True,publication,2019,from July to December 2019,data_file_calculated,age_original from author in months and age_in_years calculated
krupenye2016great,1,True,individuals,1,Yaro,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan, wkprc_bonobo, kumamoto_chimpanzee, kumamoto_bonobo",,,,,,not_provided, 
krupenye2016great,2,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan, wkprc_bonobo, kumamoto_chimpanzee, kumamoto_bonobo",,,,,,not_provided, 
krupenye2017test,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan, kumamoto_chimpanzee, kumamoto_bonobo",,,,,,not_provided, 
laumer2018spontaneous,1,True,individuals,1,Dokana,wkprc_orangutan,,,,,,not_provided, 
laumer2019orangutans,1,True,individuals,,,wkprc_orangutan,,True,dataset,2015,2015/03/26 to 2015/04/19,calculated, 
laumer2019orangutans,2,True,individuals,,,wkprc_orangutan,,True,dataset,2015,2015/03/28 to 2015/04/28,calculated, 
laumer2019orangutans,3,True,individuals,,,wkprc_orangutan,,True,dataset,2015,2015/04/4 to 2015/04/30,calculated, 
laumer2019orangutans,4,True,individuals,,,wkprc_orangutan,,True,dataset,2015,2015/04/6 to 2015/05/8,calculated, 
laumer2019orangutans,5,True,individuals,,,wkprc_orangutan,,True,dataset,2015,2015/04/20 to 2015/05/10,calculated, 
laumer2019orangutans,6,True,individuals,,,wkprc_orangutan,,True,dataset,2015,2015/03/6 to 2015/05/10,calculated, 
leeuwen2013total,1,partial,groups,,,wkprc_chimpanzee_a,chimfunshi_chimpanzee,True,publication,2012,Chimpanzees were tested for one hour on ten consecutive days in March 2012 (one week after training).,publication, 
leeuwen2013total,2,False,,,,,,,,,,not_provided, 
leeuwen2014human,1,partial,dyads,,,wkprc_chimpanzee_a,leipzig_children,True,dataset,2013,2013/02/26 to 2013/03/08,calculated, 
leeuwen2017conservatism,1,True,dyads,,,wkprc_chimpanzee_a,,True,dataset,2015,2015/10/31 to 2015/11/10,calculated, 
lewis2017non,1,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan, wkprc_bonobo",,,,,,data_file,age_in_years provided by author in data
liebal2014does,1,True,dyads,,,"wkprc_bonobo, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan, occq_orangutan, ngamba_chimpanzee",,,,,,publication, 
liebal2017give,1,True,groups,,,"wkprc_chimpanzee_a, wkprc_orangutan",,,,,,publication, 
liszkowski2009prelinguistic,1,True,individuals,,,wkprc_chimpanzee_a,leipzig_children,False,,,,data_file, 
manrique2010great,1,True,individuals,1,N’Diki,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan, wkprc_gorilla",,True,author,2008 - 2009,"20 august 2009: Dunja, Padana, Kila, 21 august 2009: Joey, Yasa, Limbuko, Kuno, , 22 august 2009: Dokana, Pini, , 10 sept 2009: Jahaga, Trudi, 12 sept 2009: Fraukje, Frodo, Patrick, Ulla.",publication_calculated,age_original from diploma thesis of Alexandra Gross/age_in_years calculated
manrique2010great,2,True,individuals,2,"Bimbo, Tai","wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan",,True,author,2008 - 2009,"20 august 2009: Dunja, Padana, Kila, 21 august2009: Joey, Yasa, Limbuko, Kuno, , 22 august 2009: Dokana, Pini, , 10 sept 2009: Jahaga, Trudi, 12 sept 2009: Fraukje, Frodo, Patrick, Ulla",calculated, 
