study_id,experiment_no,data_provided,grouping,droupouts_no,dropout_names,group_id,group_id_excluded,data_collection_date_provided,data_collection_date_source,data_collection_date,data_collection_date_comments,age_source,age_source_comments
munar2015common,4,partial,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla",,True,dataset,2013,2013/06/14 to 2013/09/15,calculated, 
nolte2021targeted,1,True,dyads,,,"wkprc_chimpanzee_a, wkprc_bonobo",,True,dataset,"2014,2015",it is partial data only specifying when the experiment started,calculated,age at start of data collection
nolte2021targeted,2,True,dyads,,,"wkprc_chimpanzee_a, wkprc_bonobo",,True,dataset,2015,it is partial data only specifying when the experiment started,calculated,age at start of data collection
parron2008behavioural,1,partial,"individuals, groups",,,"nuremberg_gorillas, wkprc_gorilla, wkprc_chimpanzee_a",rousset_baboons,True,dataset,2006,,calculated,age for bianca hakuna and lena estimated
poti2010searching,1b,partial,individuals,,,wkprc_bonobo,istccnr_capuchinmonkey,True,datset,2007,2007/02/9 to 2007/02/16,calculated,1b raw
poti2010searching,2b,partial,individuals,,,wkprc_bonobo,istccnr_capuchinmonkey,True,dataset,2007,2007/03/03 to 2007/04/26,calculated,2b raw and 2c raw
poti2010searching,2c,True,individuals,,,wkprc_bonobo,,True,dataset,2007,2007/06/04 to 2007/06/07,calculated,3b raw
poti2010searching,3b,partial,individuals,,,wkprc_bonobo,istccnr_capuchinmonkey,True,dataset,2008,2008/02/12 to 2008/12/22,not_provided, 
rakoczy2014apes,1,True,individuals,,,"wkprc_chimpanzee_a, wkprc_gorilla, wkprc_orangutan, wkprc_bonobo",,False,,,,data_file,maia age not provided/age_original in months
rakoczy2014apes,2,True,individuals,1,,"wkprc_chimpanzee_a, wkprc_gorilla, wkprc_orangutan, wkprc_bonobo",,False,,,,data_file,maia age not provided/age_original in months
rakoczy2014apes,3,True,individuals,1,,"wkprc_chimpanzee_a, wkprc_gorilla, wkprc_orangutan, wkprc_bonobo",,False,,,,data_file,maia age not provided/age_original in months
rakoczy2014apes,4,True,individuals,1,,"wkprc_chimpanzee_a, wkprc_gorilla, wkprc_orangutan, wkprc_bonobo",,False,,,,data_file,maia age not provided/age_original in months
rakoczy2014apes,5,False,individuals,,,"wkprc_chimpanzee, wkprc_gorilla, wkprc_orangutan, wkprc_bonobo",,False,,,,not_provided, 
rakoczy2014apes,6,False,individuals,,,"wkprc_chimpanzee, wkprc_gorilla, wkprc_orangutan, wkprc_bonobo",,False,,,,not_provided, 
rakoczy2014apes,7,False,individuals,,,"wkprc_chimpanzee, wkprc_gorilla, wkprc_orangutan, wkprc_bonobo",,False,,,,not_provided, 
romain2021non,1,True,individuals,,,"wkprc_bonobo, wkprc_gorilla, wkprc_orangutan, cirmf_chimpanzee","gfpa_browncapuchinmonkey, gfpa_tonkeanmacaque",,,,,publication, 
russell2008image,1,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan, wkprc_bonobo",,True,dataset,2004,,not_provided, 
sabbatini2012understanding,1,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, istccnr_capuchinmonkey",,True,publication,2009,2009/03 to 2009/06,publication, 
sanchez2016chimpanzees,1,True,dyads,,,wkprc_chimpanzee_a,,True,dataset,2014,2014/02/5 to 2014/06/30,calculated, 
sanchez2016differences,1,True,individuals,1,Joey,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan",,,,,,not_provided, 
sanchez2016differences,2,True,individuals,4,"Loto, Bangolo, Ulla, Tana","wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan",,,,,,not_provided, 
sanchez2017chimpanzees,1,partial,dyads,,,"wkprc_bonobo, wkprc_chimpanzee_a",leipzig_children,True,dataset,2014 - 2015,,calculated, 
sanchez2017chimpanzees,2,True,dyads,,,"wkprc_bonobo, wkprc_chimpanzee_a",,True,dataset,2015 - 2016,,calculated, 
sanchez2018chimpanzees,1,True,dyads,,,wkprc_chimpanzee_a,,True,dataset,2017,2017/05/29 to 2017/10/18,calculated, 
sanchez2019chimpanzees,1,True,dyads,4,,"wkprc_chimpanzee_a,  wkprc_chimpanzee_b",leipzig_children,True,dataset,2016,2016/07/27 to 2016/12/11,calculated, 
sanchez2019disentangling,1,True,individuals,4,"Lexi, Kofi, Padana, Bimbo","wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,dataset,"2016,2017",2016/07/5 to 2017/09/30,calculated, 
sanchez2021chimpanzees,1,True,dyads,15,,"wkprc_bonobo, wkprc_chimpanzee_a",,,,,,not_provided, 
scheumann2006sumatran,1,True,groups,2,,"wkprc_orangutan, wkprc_gibbon",,True,publication,2002,"We conducted the experiment from June 5, 2002 until August 7, 2002",publication,mini age is approximation
scheumann2006sumatran,2,True,groups,2,"Dunja,","wkprc_orangutan, wkprc_gibbon",,True,publication,2002,"The experiment took place in the same outdoor area as the previous experiment from August 19, 2002 until October 18, 2002",publication,mini age is approximation
schmelz2011chimpanzees,1,True,"indiviuals, dyads",False,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,False,,,,not_provided, 
schmelz2013chimpanzees,1,True,"indiviuals, dyads",7,,wkprc_chimpanzee_a,,,,,,not_provided, 
schmelz2017chimpanzees,1,True,dyads,6,"Natascha, Fraukje, Riet, Robert, Ulla, Swela",wkprc_chimpanzee_a,,False,,,,publication_calculated,Age at start of data collection – partner age calculated
schmelz2017chimpanzees,2,True,dyads,,,wkprc_chimpanzee_a,,False,,,,publication_calculated,Age at start of data collection – partner age calculated
schmelz2017chimpanzees,3,True,dyds,,,wkprc_chimpanzee_a,,False,,,,publication_calculated,Age at start of data collection – partner age calculated
schmelz2020psychological,1,True,groups,7,,wkprc_chimpanzee_a,,False,,,,publication_calculated,"Age at start of data collection, only focal_participant age provided, others calculated"
schmelz2020psychological,2,True,groups,7,,wkprc_chimpanzee_a,,False,,,,publication_calculated,"Age at start of data collection, only focal_participant age provided, others calculated"
schmid2017great,1,True,individuals,4,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan",,,,,,not_provided, 
schmitt2013monkeys,1,True,individuals,1,Nase,"wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, nuremberg_gorilla, göttingen_longtailedmacaque, göttingen_baboon",leipzig_adults,,,,,publication, 
schmitt2013monkeys,2,True,individuals,,,"wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, nuremberg_gorilla, göttingen_longtailedmacaque",,,,,,publication, 
seed2012chimpanzee,1,True,individuals,,,wkprc_chimpanzee_a,,,,,,data_file, 
seed2012chimpanzee,2,True,individuals,1,,wkprc_chimpanzee_a,,,,,,data_file, 
seed2012chimpanzee,3,True,individuals,,,wkprc_chimpanzee_a,,,,,,data_file, 
suda2004piagetian,1,True,individuals,,,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a",,,,,,publication, 
suda2004piagetian,2,True,individuals,1,Sandra,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a",,,,,,publication, 
suda2004piagetian,3,True,individuals,,,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a",,,,,,publication, 
suda2004piagetian,4,True,individuals,,,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a",,,,,,publication, 
suda2005piagetian,1,True,individuals,,,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a",,True,coding sheets,2002-2003,,data_file,experiment separation unclear
suda2005piagetian,2,True,individuals,,,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a",,True,data file,,,calculated,experiment separation unclear
suda2006what,1,True,individuals,1,Sandra,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a",,,,,,publication,data from 3 experiments contributed – suda2004piagetian
tauzin2020context,1,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_bonobo, wkprc_orangutan",,False,,,,not_provided,only range
tauzin2020context,2,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_bonobo, wkprc_orangutan",,False,,,,not_provided,only range
tauzin2020context,3,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_bonobo, wkprc_orangutan",,False,,,,not_provided,only range
tempelmann2013apes,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_b, wkprc_orangutan",,,,,,data_file, 
tennie2006push,1,False,"individuals, dyads",,,lawrenceville_chimpanzee,,,,,,not_provided, 
tennie2006push,2,partial,"individuals, dyads",,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan",,,,,,not_provided, 
tennie2006push,3,False,,,,,,,,,,not_provided, 
tennie2009ratcheting,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan",leipzig_children,True,dataset,"2005,2007",2005/10/10 to 2007/07/18,calculated, 
tennie2010evidence,1,True,dyads,1,Sophie,"ngamba_chimpanzee, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,not_provided, 
tennie2010two,1,True,dyads,15,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan",leipzig_children,,,,,data_file, 
tennie2019chimpanzees,1,True,individuals,5,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,not_provided, 
uher2008coherence,0,True,,,,"wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,1,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,2,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,3,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,4,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,5,True,dyads,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,6,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,7,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,8,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,9,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,10,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,11,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,12,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,13,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008coherence,14,True,individuals,4,"ulindi, dorien, gorgo, bimbo","wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,,2005,,publication, 
uher2008great,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_gorilla, wkprc_orangutan",,True,dataset,"2004,2005",13-05-2004 to 20-05-2005 ,publication, 
uher2008personality,1,partial,,,,"wkprc_chimpanzee_a, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,True,publication,2005,"... were studied at the Wolfgang Köhler Primate Research Center (WKPRC) in the Leipzig Zoo, Germany, from January to March 2005.",publication, 
vlamings2006great,1,partial,individuals,2,,"wkprc_chimpanzee_a, wkprc_orangutan, wkprc_gorilla, wkprc_bonobo",,True,dataset,"1993,2003",,calculated, 
volter2012problem,1,True,individuals,2,"Annett, Gorgo","wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,,,,,data_file, 
volter2012problem,2,True,individuals,1,Jahaga,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,,,,,data_file, 
volter2012problem,3,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_gorilla, wkprc_orangutan",,,,,,data_file, 
volter2014cognitive,1,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan",,,,,,data_file, 
volter2014cognitive,2,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan",,,,,,data_file, 
volter2014cognitive,3,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan",,,,,,data_file, 
volter2014cognitive,4,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo, wkprc_orangutan",,,,,,data_file, 
volter2014great,1,True,individuals,2,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_gorilla, wkprc_orangutan",,,,,,data_file, 
volter2014great,2,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,data_file, 
volter2014great,3,True,individuals,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,,,data_file, 
volter2014great,4,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,data_file, 
volter2014great,5,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,data_file, 
volter2014younger,1,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_gorilla, wkprc_orangutan",,,,,,data_file, 
volter2014younger,2,True,individuals,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan",,,,,,data_file, 
volter2014younger,3,False,,,,,,,,,,not_provided, 
volter2015exploitation,1,True,dyads,,,wkprc_orangutan,,,,,,not_provided, 
volter2015exploitation,2,True,dyads,,,wkprc_orangutan,,,,,,not_provided, 
volter2015exploitation,3,True,dyads,,,wkprc_orangutan,,,,,,not_provided, 
volter2015exploitation,4,True,dyads,,,wkprc_orangutan,,,,,,not_provided, 
volter2016great,1,partial,,15,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b wkprc_orangutan, wkprc_gorilla",leipzig_children,,,,,data_file, 
volter2016great,2,partial,,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan,",leipzig_children,,,,,data_file, 
volter2016great,3,True,,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan,",,,,,,data_file, 
volter2016great,4,True,,,,"wkprc_bonobo, wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_orangutan,",,,,,,data_file, 
volter2018intuitive,1,True,individuals,2,"Jeudi, Frodo","wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,data_file, 
volter2018intuitive,2,True,individuals,1,Corrie,wkprc_chimpanzee_a,,,,,,data_file, 
volter2018intuitive,3,True,individuals,,,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,data_file, 
volter2018intuitive,4,True,individuals,1,Dokana,"wkprc_bonobo, wkprc_orangutan, wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,data_file, 
volter2018intuitive,5,True,individuals,,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b",,,,,,data_file, 
volter2019chimpanzees,1,True,individuals,4,,wkprc_chimpanzee_a,,,,,,data_file, 
volter2019chimpanzees,2,True,,1,Robert,wkprc_chimpanzee_a,,,,,,data_file, 
wolf2019visually,1,True,individuals,0,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo",,not,,,,publication,natascha and fraukje age not provided
wolf2019visually,2,False,dyads,0,,ngamba_chimpanzee,,,,,,not_provided, 
wolf2020human,1,False,,,,,,,,,,not_provided, 
wolf2020human,2,True,individuals,1,,"wkprc_chimpanzee_a, wkprc_chimpanzee_b, wkprc_bonobo",,False,,,,data_file, 
