study_id,year,month,day,participant,age_in_years,sex,species,session,trial,condition,left,center,right,choice,position_strictly_dominated_baseline
sanchez2019disentangling,2016,7,14,abeeku,17.0,m,gorilla,5,12,test_decoy_small_banana,grape,banana,small_banana,banana,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,1,test_decoy_small_grape,grape,banana,small_grape,grape,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,2,control_for_preference_grape,banana,grape,grape,grape,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,3,control_for_preference_grape,banana,grape,grape,grape,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,4,test_decoy_small_banana,small_banana,grape,banana,banana,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,5,test_decoy_small_banana,banana,grape,small_banana,small_banana,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,6,test_decoy_small_banana,small_banana,banana,grape,banana,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,7,test_decoy_small_grape,small_grape,banana,grape,banana,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,8,control_for_preference_grape,grape,banana,grape,banana,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,9,test_decoy_small_banana,banana,small_banana,grape,small_banana,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,10,test_decoy_small_grape,small_grape,grape,banana,grape,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,11,test_decoy_small_grape,grape,small_grape,banana,banana,end
sanchez2019disentangling,2016,7,17,abeeku,17.0,m,gorilla,6,12,control_for_preference_grape,grape,grape,banana,banana,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,1,strictly_dominated_baseline,banana,grape,carrot,grape,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,2,strictly_dominated_baseline,grape,banana,carrot,banana,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,3,strictly_dominated_baseline,carrot,banana,grape,grape,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,4,strictly_dominated_baseline,carrot,grape,banana,banana,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,5,strictly_dominated_baseline,banana,carrot,grape,banana,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,6,strictly_dominated_baseline,carrot,grape,banana,banana,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,7,strictly_dominated_baseline,grape,carrot,banana,grape,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,8,strictly_dominated_baseline,banana,carrot,grape,banana,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,9,strictly_dominated_baseline,carrot,banana,grape,grape,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,10,strictly_dominated_baseline,grape,banana,carrot,banana,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,11,strictly_dominated_baseline,banana,grape,carrot,banana,end
sanchez2019disentangling,2016,10,17,abeeku,17.0,m,gorilla,7,12,strictly_dominated_baseline,grape,carrot,banana,banana,end
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,1,training_control_for_decoy_banana,small_banana,banana,empty,banana,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,2,training_baseline,banana,empty,grape,grape,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,3,training_control_for_decoy_grape,empty,small_grape,grape,grape,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,4,training_control_for_decoy_banana,empty,small_banana,banana,banana,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,5,training_baseline,grape,empty,banana,grape,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,6,training_control_for_decoy_grape,empty,grape,small_grape,grape,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,7,training_baseline,banana,grape,empty,grape,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,8,training_baseline,empty,grape,banana,grape,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,9,training_control_for_decoy_banana,banana,empty,small_banana,banana,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,10,training_control_for_decoy_grape,small_grape,empty,grape,grape,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,11,training_baseline,grape,banana,empty,grape,first
sanchez2019disentangling,2016,8,8,alex,15.0,m,chimpanzee,1,12,training_control_for_decoy_banana,banana,small_banana,empty,banana,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,1,training_control_for_decoy_grape,small_grape,grape,empty,grape,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,2,training_control_for_decoy_grape,grape,empty,small_grape,grape,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,3,training_baseline,empty,banana,grape,banana,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,4,training_control_for_decoy_banana,small_banana,empty,banana,banana,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,5,training_control_for_decoy_banana,empty,banana,small_banana,banana,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,6,training_control_for_decoy_grape,grape,small_grape,empty,grape,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,7,training_control_for_decoy_grape,empty,grape,small_grape,grape,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,8,training_baseline,empty,banana,grape,banana,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,9,training_control_for_decoy_grape,small_grape,grape,empty,grape,first
sanchez2019disentangling,2016,8,9,alex,15.0,m,chimpanzee,2,10,training_control_for_decoy_grape,empty,small_grape,grape,grape,first
