study_id,experiment,experiment_name,publication,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,trial,pair,cond_sid,app_side,app_what,app_time,condition,whath,whatv,whathn,whatvn,con_inde
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,3,7.0,h_noise_right,right,hidden_noise,2.0,h_noise,,,1.0,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,4,7.0,h_v_right,left,hidden,1.0,h_v,1.0,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,5,7.0,h_h_noise_left,right,hidden,1.0,h_h_noise,1.0,,,,
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,6,7.0,v_noise_right,right,visible_noise,1.0,v_noise,,,,1.0,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,7,7.0,h_noise_left,left,hidden_noise,2.0,h_noise,,,1.0,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,8,7.0,h_left,left,hidden,7.0,h,1.0,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,9,7.0,v_noise_left,not,not,,v_noise,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,10,7.0,h_right,not,not,,h,,,,,hidden_independent
brauer2007chimpanzees,1,basic_data,2007,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,11,7.0,v_right,not,not,,v,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,02,27,jahaga,10,f,focal_participant,natascha,22,f,against,chimpanzee,jahaga_natascha,12,7.0,h_h_noise_right,not,not,,h_h_noise,,,,,
brauer2007chimpanzees,1,basic_data,2007,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,1,8.0,v_left,not,not,,v,,,,,visible_independent
brauer2007chimpanzees,1,basic_data,unpublished,2003,03,12,patrick,5,m,focal_participant,dorien,22,f,against,chimpanzee,patrick_dorien,2,8.0,h_noise_right,right,hidden_noise,2.0,h_noise,,,1.0,,hidden_independent
