study_id,experiment,experiment_name,participant,age_in_years,sex,species,condition,location_id,number_food_pieces,distance_meters,number_days_approached_and_depleted,number_days_approached,relative_percentage_successfully_approached,relative_percentage_approached
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,control,9.0,5.0,43.71,,2.0,,0.12
scheumann2006sumatran,1,factors,pini,14.0,f,orangutan,control,10.0,10.0,43.56,,2.0,,0.12
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,kiwi,1.0,7.0,16.9,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,kiwi,2.0,10.0,25.05,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,kiwi,3.0,5.0,25.46,8.0,8.0,0.47,0.47
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,kiwi,4.0,6.0,23.22,0.0,5.0,0.0,0.29
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,kiwi,5.0,6.0,27.12,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,kiwi,6.0,4.0,37.94,0.0,1.0,0.0,0.06
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,kiwi,7.0,8.0,44.93,4.0,4.0,0.24,0.24
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,kiwi,8.0,5.0,47.25,1.0,3.0,0.06,0.18
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,kiwi,9.0,5.0,43.71,1.0,2.0,0.06,0.12
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,kiwi,10.0,10.0,43.56,6.0,8.0,0.35,0.47
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,control,1.0,7.0,16.9,,0.0,,0.0
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,control,2.0,10.0,25.05,,0.0,,0.0
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,control,3.0,5.0,25.46,,2.0,,0.12
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,control,4.0,6.0,23.22,,2.0,,0.12
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,control,5.0,6.0,27.12,,0.0,,0.0
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,control,6.0,4.0,37.94,,0.0,,0.0
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,control,7.0,8.0,44.93,,1.0,,0.06
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,control,8.0,5.0,47.25,,1.0,,0.06
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,control,9.0,5.0,43.71,,1.0,,0.06
scheumann2006sumatran,1,factors,padana,5.0,f,orangutan,control,10.0,10.0,43.56,,2.0,,0.12
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,kiwi,1.0,7.0,16.9,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,kiwi,2.0,10.0,25.05,0.0,2.0,0.0,0.11
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,kiwi,3.0,5.0,25.46,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,kiwi,4.0,6.0,23.22,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,kiwi,5.0,6.0,27.12,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,kiwi,6.0,4.0,37.94,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,kiwi,7.0,8.0,44.93,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,kiwi,8.0,5.0,47.25,0.0,0.0,0.0,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,kiwi,9.0,5.0,43.71,0.0,1.0,0.0,0.06
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,kiwi,10.0,10.0,43.56,17.0,17.0,0.94,0.94
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,control,1.0,7.0,16.9,,0.0,,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,control,2.0,10.0,25.05,,0.0,,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,control,3.0,5.0,25.46,,0.0,,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,control,4.0,6.0,23.22,,0.0,,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,control,5.0,6.0,27.12,,0.0,,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,control,6.0,4.0,37.94,,0.0,,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,control,7.0,8.0,44.93,,0.0,,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,control,8.0,5.0,47.25,,0.0,,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,control,9.0,5.0,43.71,,0.0,,0.0
scheumann2006sumatran,1,factors,mini,19.0,f,gibbon,control,10.0,10.0,43.56,,6.0,,0.32
