study_id,experiment,year,participant,age_in_years,sex,species,session_day,condition,number_days_approached,relative_percentage_approached,number_revisited,relative_percentage_revisited
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,1.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,2.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,3.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,4.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,5.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,6.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,7.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,8.0,control,1.0,0.1,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,9.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,10.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,11.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,12.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,13.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,14.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,15.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,16.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,17.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,18.0,control,0.0,0.0,,
scheumann2006sumatran,1,2002,mini,19.0,f,gibbon,19.0,control,0.0,0.0,,
