study_id,experiment_name,year,month,day,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,trial,condition,choice_prosocial1_selfish0,token_left,token_right,tokens_given,token_chosen_in_training_and_token_preference
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,17.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,18.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,19.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,20.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,21.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,22.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,23.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,24.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,25.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,26.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,27.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,28.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,29.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,23.0,gemena,8.0,f,focal_participant,lexi,14,f,partner,bonobo,gemena_lexi,30.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,1.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,2.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,3.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,4.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,5.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,6.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,7.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,8.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,9.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,10.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,11.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,12.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,13.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,14.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,15.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,16.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,17.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,18.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,19.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,20.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,21.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,22.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,23.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,24.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,25.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,26.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,27.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,28.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,29.0,control,1.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,lexi,14.0,f,focal_participant,yasa,16,f,partner,bonobo,lexi_yasa,30.0,control,0.0,,,15_grey+15_red,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,1.0,control,0.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,2.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,3.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,4.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,5.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,6.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,7.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,8.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,9.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,10.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,11.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,12.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,13.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,14.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,15.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,16.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,17.0,control,0.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,18.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,19.0,control,0.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,20.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,21.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,22.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,23.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,24.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,25.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,26.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,27.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,28.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,29.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2013.0,12.0,28.0,fimi,5.0,f,focal_participant,yasa,16,f,partner,bonobo,fimi_yasa,30.0,control,1.0,,,15_red+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,1.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,2.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,3.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,4.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,5.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,6.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,7.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,8.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,9.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,10.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,11.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,12.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,13.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,14.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,15.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,16.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,17.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,18.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,19.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,20.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,21.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,22.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,23.0,control,1.0,,,15_grey+15_yellow,
amici2014lack,tokens_task,2014.0,1.0,2.0,gemena,8.0,f,focal_participant,kuno,17,m,partner,bonobo,gemena_kuno,24.0,control,1.0,,,15_grey+15_yellow,
