study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,dyad,condition,together,related,first_pair,first_experience,token_soon,token_late,token_not,token_latency,w_token_soon,w_token_late,w_token_not,w_token_latency,eat_soon,eat_late,eat_soon_percent,eat_late_percent,point,point_pp,if_point,leave,leave_per,if_leave,trialduration,if_extra_beg,if_beg,eat_per_present_time
brauer2009apes,kuno,11,m,focal_participant,limbuko,12,m,focal_participant,bonobo,kuno_limbuko,same,long,no,,,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490.0,0.0,0.0,0.05102040816326531
brauer2009apes,ulindi,14,f,focal_participant,joey,25,m,focal_participant,bonobo,ulindi_joey,same,short,no,,,23.0,2.0,0.0,10.0,21.0,4.0,0.0,12.25,21.0,4.0,0.84,0.16000000000000003,19.0,0.045346062052505964,1.0,77.0,0.15524193548387097,1.0,496.0,0.0,1.0,0.050119331742243436
brauer2009apes,joey,25,m,focal_participant,ulindi,14,f,focal_participant,bonobo,joey_ulindi,same,short,no,,,25.0,0.0,0.0,0.0,18.0,7.0,0.0,9.43,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,496.0,0.0,0.0,0.05040322580645161
brauer2009apes,limbuko,12,m,focal_participant,ulindi,14,f,focal_participant,bonobo,limbuko_ulindi,same,short,no,,,24.0,1.0,0.0,6.0,24.0,1.0,0.0,7.0,25.0,0.0,1.0,0.0,6.0,0.01634877384196185,1.0,72.0,0.16400911161731208,1.0,439.0,0.0,1.0,0.0681198910081744
brauer2009apes,ulindi,14,f,focal_participant,limbuko,12,m,focal_participant,bonobo,ulindi_limbuko,same,short,no,,,24.0,1.0,1.0,6.0,23.0,2.0,1.0,33.5,24.0,0.0,1.0,0.0,13.0,0.03571428571428571,1.0,75.0,0.17084282460136674,1.0,439.0,0.0,1.0,0.06593406593406594
brauer2009apes,yasa,10,f,focal_participant,limbuko,12,m,competitor,bonobo,yasa_limbuko,dif,short,no,1.0,,10.0,15.0,5.0,34.47,10.0,15.0,5.0,35.87,5.0,18.0,0.21739130434782608,0.782608695652174,19.0,0.07011070110701106,1.0,61.0,0.18373493975903615,1.0,332.0,0.0,1.0,0.01845018450184502
brauer2009apes,kuno,11,m,focal_participant,joey,25,m,focal_participant,bonobo,kuno_joey,same,short,no,1.0,,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,0.0,0.0,0.050505050505050504
brauer2009apes,joey,25,m,focal_participant,kuno,11,m,focal_participant,bonobo,joey_kuno,same,short,no,1.0,,21.0,4.0,0.0,8.5,6.0,19.0,0.0,8.58,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495.0,0.0,0.0,0.050505050505050504
brauer2009apes,joey,25,m,focal_participant,yasa,10,f,focal_participant,bonobo,joey_yasa,same,short,no,,,23.0,2.0,0.0,9.0,9.0,16.0,0.0,8.94,25.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.017777777777777778,1.0,450.0,0.0,0.0,0.05656108597285068
brauer2009apes,yasa,10,f,focal_participant,joey,25,m,focal_participant,bonobo,yasa_joey,same,short,no,,,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,0.0,0.05555555555555555
brauer2009apes,ulindi,14,f,focal_participant,kuno,11,m,competitor,bonobo,ulindi_kuno,dif,short,no,,,23.0,2.0,1.0,54.0,18.0,7.0,1.0,41.29,20.0,4.0,0.8333333333333334,0.16666666666666663,13.0,0.044673539518900345,1.0,399.0,0.5782608695652174,1.0,690.0,0.0,1.0,0.06872852233676977
brauer2009apes,limbuko,12,m,focal_participant,kuno,11,m,competitor,bonobo,limbuko_kuno,dif,long,no,,,25.0,0.0,0.0,0.0,23.0,2.0,0.0,7.0,24.0,1.0,0.96,0.040000000000000036,0.0,0.0,0.0,0.0,0.0,0.0,409.0,0.0,0.0,0.05867970660146699
brauer2009apes,joey,25,m,focal_participant,kuno,11,m,competitor,bonobo,joey_kuno,dif,short,no,1.0,,24.0,1.0,0.0,17.0,6.0,19.0,0.0,11.16,23.0,2.0,0.92,0.07999999999999996,0.0,0.0,0.0,7.0,0.015283842794759825,1.0,458.0,0.0,0.0,0.050997782705099776
brauer2009apes,yasa,10,f,focal_participant,ulindi,14,f,focal_participant,bonobo,yasa_ulindi,same,short,no,,,24.0,1.0,0.0,10.0,24.0,1.0,0.0,11.0,22.0,3.0,0.88,0.12,7.0,0.015555555555555555,1.0,51.0,0.10179640718562874,1.0,501.0,1.0,1.0,0.04888888888888889
brauer2009apes,ulindi,14,f,focal_participant,yasa,10,f,focal_participant,bonobo,ulindi_yasa,same,short,no,,,22.0,3.0,1.0,26.0,19.0,6.0,1.0,19.33,21.0,3.0,0.875,0.125,5.0,0.015479876160990712,1.0,178.0,0.35528942115768464,1.0,501.0,0.0,1.0,0.06501547987616099
brauer2009apes,kuno,11,m,focal_participant,limbuko,12,m,competitor,bonobo,kuno_limbuko,dif,long,no,,,24.0,1.0,0.0,6.0,23.0,2.0,0.0,7.5,23.0,2.0,0.92,0.07999999999999996,0.0,0.0,0.0,17.0,0.04106280193236715,1.0,414.0,0.0,0.0,0.05793450881612091
brauer2009apes,joey,25,m,focal_participant,yasa,10,f,competitor,bonobo,joey_yasa,dif,short,no,,,24.0,1.0,0.0,16.0,17.0,8.0,0.0,9.38,25.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,0.018556701030927835,1.0,485.0,0.0,0.0,0.052521008403361345
brauer2009apes,joey,25,m,focal_participant,ulindi,14,f,competitor,bonobo,joey_ulindi,dif,short,no,,,25.0,0.0,0.0,0.0,20.0,5.0,0.0,9.8,25.0,0.0,1.0,0.0,1.0,0.0018315018315018315,1.0,6.0,0.010869565217391304,1.0,552.0,0.0,1.0,0.045787545787545784
brauer2009apes,patrick,10,m,focal_participant,dorien,27,f,competitor,chimpanzee,patrick_dorien,dif,long,no,1.0,1.0,22.0,3.0,0.0,18.67,21.0,4.0,0.0,15.75,25.0,0.0,1.0,0.0,55.0,0.14030612244897958,1.0,37.0,0.08624708624708624,1.0,429.0,0.0,1.0,0.06377551020408163
brauer2009apes,sandra,14,f,focal_participant,dorien,27,f,competitor,chimpanzee,sandra_dorien,dif,long,no,,1.0,18.0,7.0,0.0,8.86,14.0,11.0,0.0,8.27,25.0,0.0,1.0,0.0,48.0,0.10126582278481013,1.0,0.0,0.0,0.0,474.0,0.0,1.0,0.052742616033755275
brauer2009apes,tai,5,f,focal_participant,robert,32,m,focal_participant,chimpanzee,tai_robert,same,short,no,1.0,1.0,23.0,2.0,0.0,8.5,21.0,4.0,0.0,8.25,25.0,0.0,1.0,0.0,34.0,0.11683848797250859,1.0,49.0,0.14411764705882352,1.0,340.0,0.0,1.0,0.0859106529209622
brauer2009apes,robert,32,m,focal_participant,tai,5,f,focal_participant,chimpanzee,robert_tai,same,short,no,1.0,1.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,1.0,0.0,40.0,0.11976047904191617,1.0,6.0,0.01764705882352941,1.0,340.0,0.0,1.0,0.0748502994011976
brauer2009apes,dorien,27,f,focal_participant,robert,32,m,focal_participant,chimpanzee,dorien_robert,same,long,no,,1.0,25.0,0.0,0.0,0.0,24.0,1.0,0.0,36.0,25.0,0.0,1.0,0.0,20.0,0.05698005698005698,1.0,33.0,0.0859375,1.0,384.0,1.0,1.0,0.07122507122507123
