study_id,year,month,day,participant,age_in_years,sex,species,session,condition,apparatus,solve,time,man,manleft,manright,biman
bohn2020learning,2016,10,7,daza,30.0,f,chimpanzee,2.0,iconic,apart,0.0,317.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,10,7,hope,25.0,f,chimpanzee,1.0,baseline,apart,0.0,320.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,10,jeudi,,f,chimpanzee,3.0,iconic,boxing,0.0,313.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,10,frederike,42.0,f,chimpanzee,3.0,baseline,boxing,0.0,314.0,1.0,1.0,1.0,0.0
bohn2020learning,2016,10,10,bambari,15.0,f,chimpanzee,2.0,iconic,boxing,0.0,311.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,10,alex,15.0,m,chimpanzee,3.0,baseline,apart,0.0,340.0,1.0,1.0,0.0,0.0
bohn2020learning,2016,10,10,daza,30.0,f,chimpanzee,3.0,iconic,apart,0.0,335.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,10,10,hope,25.0,f,chimpanzee,2.0,baseline,apart,0.0,320.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,11,jeudi,,f,chimpanzee,4.0,iconic,boxing,0.0,320.0,0.0,0.0,0.0,0.0
bohn2020learning,2016,10,11,frederike,42.0,f,chimpanzee,4.0,baseline,boxing,0.0,318.0,1.0,0.0,1.0,0.0
bohn2020learning,2016,10,11,bambari,15.0,f,chimpanzee,3.0,iconic,boxing,0.0,313.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,11,alex,15.0,m,chimpanzee,4.0,baseline,apart,0.0,318.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,11,daza,30.0,f,chimpanzee,4.0,iconic,apart,1.0,275.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,10,11,hope,25.0,f,chimpanzee,3.0,baseline,apart,0.0,327.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,12,jeudi,,f,chimpanzee,5.0,iconic,boxing,0.0,315.0,0.0,0.0,0.0,0.0
bohn2020learning,2016,10,12,frederike,42.0,f,chimpanzee,5.0,baseline,boxing,0.0,323.0,1.0,0.0,1.0,0.0
bohn2020learning,2016,10,12,bambari,15.0,f,chimpanzee,4.0,iconic,boxing,0.0,347.0,0.0,0.0,0.0,0.0
bohn2020learning,2016,10,12,alex,15.0,m,chimpanzee,5.0,baseline,apart,0.0,320.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,12,hope,25.0,f,chimpanzee,4.0,baseline,apart,0.0,331.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,13,hope,25.0,f,chimpanzee,5.0,baseline,apart,0.0,322.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,13,bambari,15.0,f,chimpanzee,5.0,iconic,boxing,0.0,341.0,0.0,0.0,0.0,0.0
bohn2020learning,2016,10,17,abeeku,17.0,m,gorilla,1.0,iconic,boxing,0.0,318.0,1.0,1.0,1.0,0.0
bohn2020learning,2016,10,17,kibara,12.0,f,gorilla,1.0,iconic,apart,0.0,314.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,17,kumili,12.0,f,gorilla,1.0,baseline,boxing,0.0,349.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,18,abeeku,17.0,m,gorilla,2.0,iconic,boxing,0.0,313.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,10,18,kibara,12.0,f,gorilla,2.0,iconic,apart,0.0,315.0,1.0,1.0,0.0,1.0
bohn2020learning,2016,10,18,kumili,12.0,f,gorilla,2.0,baseline,boxing,0.0,322.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,19,abeeku,17.0,m,gorilla,3.0,iconic,boxing,0.0,322.0,0.0,0.0,0.0,0.0
bohn2020learning,2016,10,19,kibara,12.0,f,gorilla,3.0,iconic,apart,0.0,319.0,1.0,1.0,0.0,1.0
bohn2020learning,2016,10,19,kumili,12.0,f,gorilla,3.0,baseline,boxing,0.0,315.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,10,20,abeeku,17.0,m,gorilla,4.0,iconic,boxing,0.0,312.0,1.0,1.0,0.0,1.0
bohn2020learning,2016,10,20,kibara,12.0,f,gorilla,4.0,iconic,apart,1.0,170.0,1.0,1.0,0.0,1.0
bohn2020learning,2016,10,20,kumili,12.0,f,gorilla,4.0,baseline,boxing,0.0,316.0,1.0,1.0,0.0,0.0
bohn2020learning,2016,10,21,abeeku,17.0,m,gorilla,5.0,iconic,boxing,0.0,316.0,1.0,1.0,0.0,1.0
bohn2020learning,2016,10,21,kumili,12.0,f,gorilla,5.0,baseline,boxing,0.0,331.0,0.0,0.0,0.0,0.0
bohn2020learning,2016,12,30,frodo,23.0,m,chimpanzee,1.0,iconic,apart,0.0,327.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,12,30,bangolo,7.0,m,chimpanzee,1.0,iconic,apart,0.0,347.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,12,30,natascha,36.0,f,chimpanzee,1.0,iconic,apart,0.0,322.0,1.0,0.0,1.0,1.0
bohn2020learning,2016,12,30,kofi,11.0,m,chimpanzee,1.0,baseline,apart,0.0,318.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,12,30,dorien,36.0,f,chimpanzee,1.0,baseline,apart,0.0,330.0,1.0,1.0,0.0,1.0
bohn2020learning,2016,12,30,robert,41.0,m,chimpanzee,1.0,baseline,apart,0.0,326.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,12,30,kisha,12.0,f,chimpanzee,1.0,iconic,apart,0.0,325.0,1.0,0.0,0.0,0.0
bohn2020learning,2016,12,30,sandra,23.0,f,chimpanzee,1.0,baseline,boxing,0.0,200.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,12,30,fraukje,40.0,f,chimpanzee,1.0,iconic,boxing,0.0,331.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,12,30,tai,14.0,f,chimpanzee,1.0,iconic,boxing,0.0,317.0,1.0,1.0,1.0,1.0
bohn2020learning,2016,12,30,lome,15.0,m,chimpanzee,1.0,baseline,boxing,0.0,346.0,1.0,1.0,1.0,0.0
bohn2020learning,2016,12,30,swela,21.0,f,chimpanzee,1.0,baseline,boxing,0.0,336.0,1.0,0.0,0.0,1.0
bohn2020learning,2017,1,3,fraukje,40.0,f,chimpanzee,2.0,iconic,boxing,0.0,329.0,1.0,0.0,1.0,0.0
bohn2020learning,2017,1,3,sandra,23.0,f,chimpanzee,2.0,baseline,boxing,1.0,304.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,3,tai,14.0,f,chimpanzee,2.0,iconic,boxing,0.0,313.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,3,lobo,12.0,m,chimpanzee,1.0,iconic,boxing,0.0,329.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,3,lome,15.0,m,chimpanzee,2.0,baseline,boxing,0.0,320.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,3,swela,21.0,f,chimpanzee,2.0,baseline,boxing,0.0,324.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,3,riet,39.0,f,chimpanzee,1.0,baseline,boxing,0.0,326.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,3,bangolo,7.0,m,chimpanzee,2.0,iconic,apart,0.0,334.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,3,frodo,23.0,m,chimpanzee,2.0,iconic,apart,0.0,317.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,3,dorien,36.0,f,chimpanzee,2.0,baseline,apart,0.0,323.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,3,kofi,11.0,m,chimpanzee,2.0,baseline,apart,0.0,321.0,1.0,1.0,0.0,1.0
bohn2020learning,2017,1,3,natascha,36.0,f,chimpanzee,2.0,iconic,apart,0.0,346.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,3,kisha,12.0,f,chimpanzee,2.0,iconic,apart,0.0,326.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,3,robert,41.0,m,chimpanzee,2.0,baseline,apart,0.0,326.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,4,kofi,11.0,m,chimpanzee,3.0,baseline,apart,0.0,318.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,4,dorien,36.0,f,chimpanzee,3.0,baseline,apart,0.0,330.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,4,bangolo,7.0,m,chimpanzee,3.0,iconic,apart,0.0,316.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,4,frodo,23.0,m,chimpanzee,3.0,iconic,apart,0.0,332.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,4,kisha,12.0,f,chimpanzee,3.0,iconic,apart,0.0,341.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,4,natascha,36.0,f,chimpanzee,3.0,iconic,apart,0.0,324.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,4,robert,41.0,m,chimpanzee,3.0,baseline,apart,0.0,318.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,4,fraukje,40.0,f,chimpanzee,3.0,iconic,boxing,0.0,321.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,4,riet,39.0,f,chimpanzee,2.0,baseline,boxing,0.0,318.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,4,lobo,12.0,m,chimpanzee,2.0,iconic,boxing,0.0,336.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,4,swela,21.0,f,chimpanzee,3.0,baseline,boxing,0.0,317.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,4,tai,14.0,f,chimpanzee,3.0,iconic,boxing,0.0,355.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,5,kofi,11.0,m,chimpanzee,4.0,baseline,apart,0.0,314.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,5,bangolo,7.0,m,chimpanzee,4.0,iconic,apart,0.0,319.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,5,kisha,12.0,f,chimpanzee,4.0,iconic,apart,0.0,321.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,5,natascha,36.0,f,chimpanzee,4.0,iconic,apart,0.0,368.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,5,frodo,23.0,m,chimpanzee,4.0,iconic,apart,0.0,342.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,5,dorien,36.0,f,chimpanzee,4.0,baseline,apart,0.0,325.0,1.0,0.0,0.0,0.0
bohn2020learning,2017,1,5,lobo,12.0,m,chimpanzee,3.0,iconic,boxing,0.0,310.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,5,riet,39.0,f,chimpanzee,3.0,baseline,boxing,0.0,312.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,5,tai,14.0,f,chimpanzee,4.0,iconic,boxing,0.0,308.0,1.0,1.0,1.0,0.0
bohn2020learning,2017,1,5,fraukje,40.0,f,chimpanzee,4.0,iconic,boxing,0.0,330.0,1.0,1.0,0.0,0.0
bohn2020learning,2017,1,5,lome,15.0,m,chimpanzee,3.0,baseline,boxing,0.0,314.0,1.0,1.0,1.0,1.0
bohn2020learning,2017,1,5,swela,21.0,f,chimpanzee,4.0,baseline,boxing,0.0,311.0,1.0,0.0,0.0,0.0
