study_id,participant,age_in_years,sex,species,timestamp,fixationduration,aoiids,aoinames,fixmark,fixmarknew,stimuliname,picnumb,fixationpointx,fixationpointy
muhlenbeck2017cultural,batak,3,m,orangutan,35900.0,100.0,0.0,content,,,52.jpg,52.0,942.0,662.0
muhlenbeck2017cultural,batak,3,m,orangutan,37616.0,349.0,5.0,aoi_30_m,True,True,30.jpg,30.0,309.0,189.0
muhlenbeck2017cultural,batak,3,m,orangutan,37965.0,417.0,5.0,aoi_30_m,True,True,30.jpg,30.0,246.0,277.0
muhlenbeck2017cultural,batak,3,m,orangutan,38382.0,100.0,5.0,aoi_30_m,True,,30.jpg,30.0,72.0,423.0
muhlenbeck2017cultural,batak,3,m,orangutan,51139.0,217.0,22.0,aoi_53,False,False,53.jpg,53.0,779.0,181.0
muhlenbeck2017cultural,batak,3,m,orangutan,51356.0,250.0,21.0,aoi_53_m,True,True,53.jpg,53.0,334.0,295.0
muhlenbeck2017cultural,batak,3,m,orangutan,51606.0,450.0,21.0,aoi_53_m,True,True,53.jpg,53.0,345.0,332.0
muhlenbeck2017cultural,batak,3,m,orangutan,52056.0,250.0,21.0,aoi_53_m,True,True,53.jpg,53.0,272.0,288.0
muhlenbeck2017cultural,batak,3,m,orangutan,52305.0,333.0,22.0,aoi_53,False,False,53.jpg,53.0,624.0,298.0
muhlenbeck2017cultural,batak,3,m,orangutan,52639.0,116.0,0.0,content,,,53.jpg,53.0,-965.0,544.0
muhlenbeck2017cultural,batak,3,m,orangutan,54237.0,400.0,0.0,content,,,fixation_weintrauben.jpg,,388.0,295.0
muhlenbeck2017cultural,batak,3,m,orangutan,2692.0,183.0,0.0,content,,,25.jpg,25.0,1121.0,575.0
muhlenbeck2017cultural,batak,3,m,orangutan,2875.0,350.0,10.0,aoi_25,False,False,25.jpg,25.0,582.0,358.0
muhlenbeck2017cultural,batak,3,m,orangutan,3224.0,200.0,9.0,aoi_25_m,True,True,25.jpg,25.0,314.0,366.0
muhlenbeck2017cultural,batak,3,m,orangutan,3424.0,400.0,10.0,aoi_25,False,False,25.jpg,25.0,570.0,192.0
muhlenbeck2017cultural,batak,3,m,orangutan,3824.0,483.0,10.0,aoi_25,False,False,25.jpg,25.0,662.0,314.0
muhlenbeck2017cultural,batak,3,m,orangutan,4307.0,233.0,0.0,content,,,25.jpg,25.0,1097.0,430.0
muhlenbeck2017cultural,batak,3,m,orangutan,4540.0,267.0,0.0,content,,,25.jpg,25.0,1413.0,642.0
muhlenbeck2017cultural,batak,3,m,orangutan,12069.0,83.0,0.0,content,,,fixation_weintrauben.jpg,,674.0,243.0
muhlenbeck2017cultural,batak,3,m,orangutan,12153.0,183.0,0.0,content,,,fixation_weintrauben.jpg,,538.0,267.0
muhlenbeck2017cultural,batak,3,m,orangutan,12336.0,266.0,15.0,aoi_29_m,True,,29.jpg,29.0,407.0,223.0
muhlenbeck2017cultural,batak,3,m,orangutan,12602.0,250.0,16.0,aoi_29,False,False,29.jpg,29.0,580.0,244.0
muhlenbeck2017cultural,batak,3,m,orangutan,12853.0,616.0,15.0,aoi_29_m,True,True,29.jpg,29.0,228.0,284.0
muhlenbeck2017cultural,batak,3,m,orangutan,13469.0,333.0,16.0,aoi_29,False,False,29.jpg,29.0,579.0,285.0
muhlenbeck2017cultural,batak,3,m,orangutan,13801.0,1232.0,15.0,aoi_29_m,True,True,29.jpg,29.0,203.0,269.0
muhlenbeck2017cultural,batak,3,m,orangutan,15034.0,100.0,0.0,content,,,29.jpg,29.0,44.0,632.0
muhlenbeck2017cultural,batak,3,m,orangutan,15767.0,450.0,0.0,content,,,fixation_weintrauben.jpg,,299.0,294.0
muhlenbeck2017cultural,batak,3,m,orangutan,16216.0,349.0,24.0,aoi_46,False,,46.jpg,46.0,539.0,156.0
muhlenbeck2017cultural,batak,3,m,orangutan,16566.0,417.0,23.0,aoi_46_m,True,True,46.jpg,46.0,219.0,174.0
muhlenbeck2017cultural,batak,3,m,orangutan,16982.0,316.0,23.0,aoi_46_m,True,,46.jpg,46.0,355.0,200.0
muhlenbeck2017cultural,batak,3,m,orangutan,17299.0,649.0,24.0,aoi_46,False,,46.jpg,46.0,559.0,177.0
muhlenbeck2017cultural,batak,3,m,orangutan,17948.0,550.0,23.0,aoi_46_m,True,True,46.jpg,46.0,246.0,148.0
muhlenbeck2017cultural,batak,3,m,orangutan,18498.0,400.0,24.0,aoi_46,False,False,46.jpg,46.0,575.0,178.0
muhlenbeck2017cultural,batak,3,m,orangutan,18897.0,117.0,0.0,content,,,fixation_weintrauben.jpg,,1092.0,-149.0
muhlenbeck2017cultural,batak,3,m,orangutan,19014.0,133.0,0.0,content,,,fixation_weintrauben.jpg,,1098.0,8.0
muhlenbeck2017cultural,batak,3,m,orangutan,21563.0,83.0,0.0,content,,,10.jpg,10.0,907.0,472.0
muhlenbeck2017cultural,batak,3,m,orangutan,21646.0,233.0,2.0,aoi_10_m,True,True,10.jpg,10.0,663.0,494.0
muhlenbeck2017cultural,batak,3,m,orangutan,21879.0,550.0,2.0,aoi_10_m,True,True,10.jpg,10.0,643.0,244.0
muhlenbeck2017cultural,batak,3,m,orangutan,22429.0,199.0,0.0,content,,,fixation_weintrauben.jpg,,612.0,201.0
muhlenbeck2017cultural,batak,3,m,orangutan,22629.0,350.0,0.0,content,,,fixation_weintrauben.jpg,,494.0,225.0
muhlenbeck2017cultural,batak,3,m,orangutan,22979.0,283.0,21.0,aoi_42,False,,42.jpg,42.0,410.0,214.0
muhlenbeck2017cultural,batak,3,m,orangutan,23262.0,333.0,21.0,aoi_42,False,False,42.jpg,42.0,254.0,250.0
muhlenbeck2017cultural,batak,3,m,orangutan,23594.0,100.0,21.0,aoi_42,False,False,42.jpg,42.0,289.0,286.0
muhlenbeck2017cultural,batak,3,m,orangutan,23861.0,233.0,21.0,aoi_42,False,False,42.jpg,42.0,278.0,390.0
muhlenbeck2017cultural,batak,3,m,orangutan,24094.0,450.0,21.0,aoi_42,False,False,42.jpg,42.0,202.0,400.0
muhlenbeck2017cultural,batak,3,m,orangutan,24543.0,400.0,22.0,aoi_42_m,True,True,42.jpg,42.0,631.0,313.0
muhlenbeck2017cultural,batak,3,m,orangutan,24943.0,450.0,22.0,aoi_42_m,True,True,42.jpg,42.0,624.0,425.0
muhlenbeck2017cultural,batak,3,m,orangutan,25393.0,283.0,22.0,aoi_42_m,True,,42.jpg,42.0,556.0,403.0
muhlenbeck2017cultural,batak,3,m,orangutan,25676.0,267.0,22.0,aoi_42_m,True,True,42.jpg,42.0,588.0,426.0
muhlenbeck2017cultural,batak,3,m,orangutan,25943.0,216.0,0.0,content,,,fixation_weintrauben.jpg,,238.0,261.0
muhlenbeck2017cultural,batak,3,m,orangutan,26159.0,583.0,0.0,content,,,fixation_weintrauben.jpg,,354.0,204.0
muhlenbeck2017cultural,batak,3,m,orangutan,26742.0,200.0,5.0,aoi_19_m,True,,19.jpg,19.0,421.0,196.0
muhlenbeck2017cultural,batak,3,m,orangutan,26942.0,566.0,5.0,aoi_19_m,True,True,19.jpg,19.0,213.0,133.0
muhlenbeck2017cultural,batak,3,m,orangutan,27508.0,366.0,5.0,aoi_19_m,True,True,19.jpg,19.0,264.0,308.0
muhlenbeck2017cultural,batak,3,m,orangutan,27875.0,283.0,5.0,aoi_19_m,True,True,19.jpg,19.0,210.0,313.0
muhlenbeck2017cultural,batak,3,m,orangutan,28158.0,416.0,5.0,aoi_19_m,True,True,19.jpg,19.0,275.0,301.0
muhlenbeck2017cultural,batak,3,m,orangutan,28574.0,966.0,6.0,aoi_19,False,False,19.jpg,19.0,593.0,269.0
muhlenbeck2017cultural,batak,3,m,orangutan,29540.0,200.0,0.0,content,,,fixation_weintrauben.jpg,,615.0,184.0
muhlenbeck2017cultural,batak,3,m,orangutan,29740.0,583.0,0.0,content,,,fixation_weintrauben.jpg,,448.0,211.0
muhlenbeck2017cultural,batak,3,m,orangutan,30323.0,183.0,19.0,aoi_4,False,False,4.jpg,4.0,309.0,257.0
muhlenbeck2017cultural,batak,3,m,orangutan,30506.0,500.0,20.0,aoi_4_m,True,True,4.jpg,4.0,589.0,307.0
muhlenbeck2017cultural,batak,3,m,orangutan,31006.0,333.0,19.0,aoi_4,False,False,4.jpg,4.0,324.0,258.0
muhlenbeck2017cultural,batak,3,m,orangutan,31339.0,383.0,20.0,aoi_4_m,True,True,4.jpg,4.0,568.0,286.0
muhlenbeck2017cultural,batak,3,m,orangutan,31722.0,100.0,20.0,aoi_4_m,True,True,4.jpg,4.0,770.0,226.0
muhlenbeck2017cultural,batak,3,m,orangutan,32038.0,117.0,0.0,content,,,4.jpg,4.0,1212.0,30.0
muhlenbeck2017cultural,batak,3,m,orangutan,32155.0,183.0,0.0,content,,,4.jpg,4.0,1354.0,-330.0
muhlenbeck2017cultural,batak,3,m,orangutan,32521.0,250.0,0.0,content,,,4.jpg,4.0,1318.0,-268.0
muhlenbeck2017cultural,batak,3,m,orangutan,33138.0,233.0,0.0,content,,,fixation_weintrauben.jpg,,678.0,25.0
muhlenbeck2017cultural,batak,3,m,orangutan,33371.0,283.0,0.0,content,,,fixation_weintrauben.jpg,,420.0,248.0
muhlenbeck2017cultural,batak,3,m,orangutan,33654.0,100.0,0.0,content,,,55.jpg,55.0,953.0,308.0
muhlenbeck2017cultural,batak,3,m,orangutan,34770.0,150.0,0.0,content,,,55.jpg,55.0,949.0,151.0
muhlenbeck2017cultural,batak,3,m,orangutan,34920.0,283.0,25.0,aoi_55_m,True,True,55.jpg,55.0,368.0,262.0
muhlenbeck2017cultural,batak,3,m,orangutan,35203.0,416.0,26.0,aoi_55,False,False,55.jpg,55.0,562.0,213.0
muhlenbeck2017cultural,batak,3,m,orangutan,35619.0,250.0,26.0,aoi_55,False,False,55.jpg,55.0,650.0,311.0
muhlenbeck2017cultural,batak,3,m,orangutan,35869.0,450.0,25.0,aoi_55_m,True,True,55.jpg,55.0,247.0,185.0
muhlenbeck2017cultural,batak,3,m,orangutan,36319.0,233.0,25.0,aoi_55_m,True,True,55.jpg,55.0,204.0,86.0
muhlenbeck2017cultural,batak,3,m,orangutan,36552.0,100.0,0.0,content,,,fixation_weintrauben.jpg,,413.0,32.0
muhlenbeck2017cultural,batak,3,m,orangutan,36818.0,133.0,0.0,content,,,fixation_weintrauben.jpg,,1001.0,-161.0
muhlenbeck2017cultural,batak,3,m,orangutan,36952.0,433.0,0.0,content,,,fixation_weintrauben.jpg,,383.0,181.0
muhlenbeck2017cultural,batak,3,m,orangutan,37385.0,100.0,29.0,aoi_60_m,True,True,60.jpg,60.0,282.0,204.0
muhlenbeck2017cultural,batak,3,m,orangutan,38234.0,83.0,30.0,aoi_60,False,,60.jpg,60.0,488.0,269.0
muhlenbeck2017cultural,batak,3,m,orangutan,38317.0,166.0,30.0,aoi_60,False,False,60.jpg,60.0,523.0,239.0
muhlenbeck2017cultural,batak,3,m,orangutan,38484.0,400.0,30.0,aoi_60,False,False,60.jpg,60.0,622.0,238.0
muhlenbeck2017cultural,batak,3,m,orangutan,38884.0,183.0,30.0,aoi_60,False,False,60.jpg,60.0,581.0,215.0
muhlenbeck2017cultural,batak,3,m,orangutan,39184.0,716.0,29.0,aoi_60_m,True,True,60.jpg,60.0,270.0,219.0
muhlenbeck2017cultural,batak,3,m,orangutan,39900.0,217.0,29.0,aoi_60_m,True,True,60.jpg,60.0,285.0,328.0
muhlenbeck2017cultural,batak,3,m,orangutan,40117.0,167.0,0.0,content,,,fixation_weintrauben.jpg,,324.0,381.0
muhlenbeck2017cultural,batak,3,m,orangutan,40284.0,300.0,0.0,content,,,fixation_weintrauben.jpg,,321.0,292.0
muhlenbeck2017cultural,batak,3,m,orangutan,40584.0,283.0,11.0,aoi_26_m,True,True,26.jpg,26.0,333.0,249.0
muhlenbeck2017cultural,batak,3,m,orangutan,41034.0,350.0,12.0,aoi_26,False,False,26.jpg,26.0,599.0,189.0
muhlenbeck2017cultural,batak,3,m,orangutan,41383.0,683.0,11.0,aoi_26_m,True,True,26.jpg,26.0,254.0,177.0
muhlenbeck2017cultural,batak,3,m,orangutan,42066.0,650.0,0.0,content,,,26.jpg,26.0,345.0,784.0
muhlenbeck2017cultural,batak,3,m,orangutan,42716.0,350.0,0.0,content,,,26.jpg,26.0,343.0,624.0
muhlenbeck2017cultural,batak,3,m,orangutan,43066.0,300.0,0.0,content,,,26.jpg,26.0,400.0,811.0
muhlenbeck2017cultural,batak,3,m,orangutan,43366.0,217.0,12.0,aoi_26,False,,26.jpg,26.0,482.0,381.0
muhlenbeck2017cultural,batak,3,m,orangutan,43582.0,333.0,0.0,content,,,fixation_weintrauben.jpg,,537.0,229.0
muhlenbeck2017cultural,batak,3,m,orangutan,43915.0,533.0,0.0,content,,,fixation_weintrauben.jpg,,377.0,224.0
muhlenbeck2017cultural,batak,3,m,orangutan,44448.0,100.0,27.0,aoi_56_m,True,True,56.jpg,56.0,314.0,154.0
muhlenbeck2017cultural,batak,3,m,orangutan,44548.0,317.0,27.0,aoi_56_m,True,True,56.jpg,56.0,302.0,187.0
muhlenbeck2017cultural,batak,3,m,orangutan,44865.0,416.0,27.0,aoi_56_m,True,True,56.jpg,56.0,180.0,149.0
muhlenbeck2017cultural,batak,3,m,orangutan,45280.0,500.0,27.0,aoi_56_m,True,True,56.jpg,56.0,199.0,187.0
muhlenbeck2017cultural,batak,3,m,orangutan,45781.0,117.0,27.0,aoi_56_m,True,True,56.jpg,56.0,334.0,150.0
muhlenbeck2017cultural,batak,3,m,orangutan,45897.0,150.0,27.0,aoi_56_m,True,True,56.jpg,56.0,328.0,185.0
muhlenbeck2017cultural,batak,3,m,orangutan,46047.0,417.0,27.0,aoi_56_m,True,True,56.jpg,56.0,304.0,280.0
muhlenbeck2017cultural,batak,3,m,orangutan,46463.0,500.0,0.0,content,,,56.jpg,56.0,524.0,864.0
muhlenbeck2017cultural,batak,3,m,orangutan,46963.0,399.0,0.0,content,,,56.jpg,56.0,452.0,828.0
muhlenbeck2017cultural,batak,3,m,orangutan,47362.0,199.0,0.0,content,,,fixation_weintrauben.jpg,,473.0,339.0
muhlenbeck2017cultural,batak,3,m,orangutan,48860.0,117.0,0.0,content,,,14.jpg,14.0,153.0,1124.0
muhlenbeck2017cultural,batak,3,m,orangutan,49426.0,216.0,0.0,content,,,14.jpg,14.0,1506.0,729.0
muhlenbeck2017cultural,batak,3,m,orangutan,49909.0,17.0,0.0,content,,,14.jpg,14.0,1568.0,596.0
muhlenbeck2017cultural,batak,3,m,orangutan,50027.0,17.0,0.0,content,,,14.jpg,14.0,1872.0,586.0
muhlenbeck2017cultural,batak,3,m,orangutan,50609.0,17.0,0.0,content,,,14.jpg,14.0,1179.0,568.0
muhlenbeck2017cultural,batak,3,m,orangutan,50742.0,166.0,0.0,content,,,fixation_weintrauben.jpg,,957.0,319.0
muhlenbeck2017cultural,batak,3,m,orangutan,50909.0,366.0,0.0,content,,,fixation_weintrauben.jpg,,556.0,307.0
muhlenbeck2017cultural,batak,3,m,orangutan,51275.0,316.0,0.0,content,,,38.jpg,38.0,1390.0,667.0
muhlenbeck2017cultural,batak,3,m,orangutan,51592.0,316.0,0.0,content,,,38.jpg,38.0,1618.0,809.0
muhlenbeck2017cultural,batak,3,m,orangutan,51908.0,366.0,18.0,aoi_38_m,True,True,38.jpg,38.0,637.0,192.0
muhlenbeck2017cultural,batak,3,m,orangutan,52275.0,316.0,17.0,aoi_38,False,False,38.jpg,38.0,224.0,214.0
muhlenbeck2017cultural,batak,3,m,orangutan,52591.0,166.0,17.0,aoi_38,False,,38.jpg,38.0,395.0,211.0
muhlenbeck2017cultural,batak,3,m,orangutan,52757.0,200.0,17.0,aoi_38,False,False,38.jpg,38.0,307.0,238.0
muhlenbeck2017cultural,batak,3,m,orangutan,52957.0,217.0,17.0,aoi_38,False,False,38.jpg,38.0,286.0,295.0
muhlenbeck2017cultural,batak,3,m,orangutan,53174.0,584.0,17.0,aoi_38,False,False,38.jpg,38.0,258.0,380.0
muhlenbeck2017cultural,batak,3,m,orangutan,53758.0,249.0,0.0,content,,,38.jpg,38.0,-308.0,808.0
muhlenbeck2017cultural,batak,3,m,orangutan,54007.0,533.0,0.0,content,,,38.jpg,38.0,-239.0,758.0
muhlenbeck2017cultural,batak,3,m,orangutan,54540.0,84.0,0.0,content,,,fixation_weintrauben.jpg,,-37.0,600.0
muhlenbeck2017cultural,batak,3,m,orangutan,8625.0,550.0,0.0,content,,,fixation_weintrauben.jpg,,360.0,177.0
muhlenbeck2017cultural,batak,3,m,orangutan,9175.0,383.0,0.0,aoi_9,False,,9.jpg,9.0,435.0,154.0
muhlenbeck2017cultural,batak,3,m,orangutan,9558.0,283.0,29.0,aoi_9,False,False,9.jpg,9.0,280.0,184.0
muhlenbeck2017cultural,batak,3,m,orangutan,9841.0,466.0,30.0,aoi_9_m,True,True,9.jpg,9.0,694.0,283.0
muhlenbeck2017cultural,batak,3,m,orangutan,10308.0,516.0,30.0,aoi_9_m,True,True,9.jpg,9.0,610.0,317.0
muhlenbeck2017cultural,batak,3,m,orangutan,10824.0,150.0,0.0,content,,,9.jpg,9.0,-874.0,-570.0
muhlenbeck2017cultural,batak,3,m,orangutan,10974.0,250.0,0.0,content,,,9.jpg,9.0,-802.0,-1185.0
muhlenbeck2017cultural,batak,3,m,orangutan,24415.0,167.0,3.0,aoi_11,False,False,11.jpg,11.0,381.0,285.0
muhlenbeck2017cultural,batak,3,m,orangutan,24714.0,150.0,3.0,aoi_11,False,,11.jpg,11.0,407.0,293.0
muhlenbeck2017cultural,batak,3,m,orangutan,24864.0,433.0,3.0,aoi_11,False,,11.jpg,11.0,407.0,435.0
muhlenbeck2017cultural,batak,3,m,orangutan,25297.0,316.0,4.0,aoi_11_m,True,,11.jpg,11.0,466.0,438.0
muhlenbeck2017cultural,batak,3,m,orangutan,25614.0,117.0,4.0,aoi_11_m,True,True,11.jpg,11.0,573.0,380.0
muhlenbeck2017cultural,batak,3,m,orangutan,32026.0,33.0,13.0,aoi_23_m,True,True,23.jpg,23.0,244.0,284.0
muhlenbeck2017cultural,batak,3,m,orangutan,36873.0,83.0,0.0,content,,,fixation_weintrauben.jpg,,578.0,207.0
muhlenbeck2017cultural,batak,3,m,orangutan,36956.0,466.0,0.0,content,,,fixation_weintrauben.jpg,,400.0,148.0
muhlenbeck2017cultural,batak,3,m,orangutan,37423.0,117.0,17.0,aoi_37,False,,37.jpg,37.0,341.0,138.0
muhlenbeck2017cultural,batak,3,m,orangutan,37539.0,383.0,17.0,aoi_37,False,False,37.jpg,37.0,309.0,156.0
muhlenbeck2017cultural,batak,3,m,orangutan,37922.0,284.0,17.0,aoi_37,False,False,37.jpg,37.0,300.0,353.0
muhlenbeck2017cultural,batak,3,m,orangutan,38206.0,283.0,17.0,aoi_37,False,False,37.jpg,37.0,254.0,189.0
muhlenbeck2017cultural,batak,3,m,orangutan,38489.0,250.0,17.0,aoi_37,False,False,37.jpg,37.0,288.0,210.0
muhlenbeck2017cultural,batak,3,m,orangutan,38739.0,367.0,17.0,aoi_37,False,,37.jpg,37.0,397.0,442.0
muhlenbeck2017cultural,batak,3,m,orangutan,40987.0,183.0,12.0,aoi_21,False,False,21.jpg,21.0,621.0,254.0
muhlenbeck2017cultural,batak,3,m,orangutan,43385.0,266.0,11.0,aoi_21_m,True,,21.jpg,21.0,421.0,350.0
muhlenbeck2017cultural,batak,3,m,orangutan,43652.0,100.0,0.0,content,,,fixation_weintrauben.jpg,,419.0,450.0
muhlenbeck2017cultural,batak,3,m,orangutan,44035.0,150.0,0.0,content,,,fixation_weintrauben.jpg,,340.0,281.0
muhlenbeck2017cultural,batak,3,m,orangutan,44185.0,266.0,1.0,aoi_1,False,False,1.jpg,1.0,347.0,211.0
muhlenbeck2017cultural,batak,3,m,orangutan,44451.0,266.0,1.0,aoi_1,False,False,1.jpg,1.0,274.0,208.0
muhlenbeck2017cultural,batak,3,m,orangutan,44718.0,799.0,1.0,aoi_1,False,False,1.jpg,1.0,400.0,198.0
muhlenbeck2017cultural,batak,3,m,orangutan,45517.0,1199.0,2.0,aoi_1_m,True,True,1.jpg,1.0,526.0,354.0
muhlenbeck2017cultural,batak,3,m,orangutan,46716.0,233.0,2.0,aoi_1_m,True,True,1.jpg,1.0,683.0,288.0
muhlenbeck2017cultural,batak,3,m,orangutan,5323.0,83.0,0.0,content,,,fixation_weintrauben.jpg,,416.0,330.0
muhlenbeck2017cultural,batak,3,m,orangutan,5673.0,133.0,6.0,aoi_13_m,True,,13.jpg,13.0,452.0,366.0
muhlenbeck2017cultural,batak,3,m,orangutan,5806.0,267.0,6.0,aoi_13_m,True,True,13.jpg,13.0,567.0,370.0
muhlenbeck2017cultural,batak,3,m,orangutan,6073.0,183.0,0.0,content,,,13.jpg,13.0,1449.0,403.0
muhlenbeck2017cultural,batak,3,m,orangutan,6406.0,183.0,6.0,aoi_13_m,True,,13.jpg,13.0,453.0,316.0
muhlenbeck2017cultural,batak,3,m,orangutan,6589.0,167.0,0.0,content,,,13.jpg,13.0,1784.0,431.0
muhlenbeck2017cultural,batak,3,m,orangutan,6756.0,133.0,0.0,content,,,13.jpg,13.0,1768.0,473.0
muhlenbeck2017cultural,batak,3,m,orangutan,6889.0,1233.0,0.0,content,,,13.jpg,13.0,1503.0,941.0
muhlenbeck2017cultural,batak,3,m,orangutan,8121.0,150.0,0.0,content,,,13.jpg,13.0,1462.0,941.0
muhlenbeck2017cultural,batak,3,m,orangutan,12319.0,251.0,0.0,content,,,fixation_weintrauben.jpg,,471.0,349.0
muhlenbeck2017cultural,batak,3,m,orangutan,12686.0,167.0,7.0,aoi_16_m,True,True,16.jpg,16.0,197.0,403.0
muhlenbeck2017cultural,batak,3,m,orangutan,48496.0,283.0,0.0,content,,,fixation_weintrauben.jpg,,1564.0,988.0
muhlenbeck2017cultural,batak,3,m,orangutan,54427.0,16.0,0.0,content,,,48.jpg,48.0,1605.0,933.0
