study_id,experiment,participant,age_in_years,sex,species,trial,condition,response
buttelmann2017great,2,raja,10,f,orangutan,4,ignorance,box_with_object
buttelmann2017great,2,raja,10,f,orangutan,5,ignorance,empty_box
buttelmann2017great,2,raja,10,f,orangutan,6,ignorance,box_with_object
buttelmann2017great,2,padana,16,f,orangutan,1,false_belief_exp2,box_with_object
buttelmann2017great,2,padana,16,f,orangutan,2,false_belief_exp2,box_with_object
buttelmann2017great,2,padana,16,f,orangutan,3,false_belief_exp2,box_with_object
buttelmann2017great,2,padana,16,f,orangutan,4,false_belief_exp2,box_with_object
buttelmann2017great,2,padana,16,f,orangutan,5,false_belief_exp2,box_with_object
buttelmann2017great,2,padana,16,f,orangutan,6,false_belief_exp2,box_with_object
buttelmann2017great,2,dokana,25,f,orangutan,1,false_belief_exp2,box_with_object
buttelmann2017great,2,dokana,25,f,orangutan,2,false_belief_exp2,empty_box
buttelmann2017great,2,dokana,25,f,orangutan,3,false_belief_exp2,box_with_object
buttelmann2017great,2,dokana,25,f,orangutan,4,false_belief_exp2,box_with_object
buttelmann2017great,2,dokana,25,f,orangutan,5,false_belief_exp2,box_with_object
buttelmann2017great,2,dokana,25,f,orangutan,6,false_belief_exp2,box_with_object
buttelmann2017great,2,bimbo,33,m,orangutan,1,ignorance,box_with_object
buttelmann2017great,2,bimbo,33,m,orangutan,2,ignorance,empty_box
buttelmann2017great,2,bimbo,33,m,orangutan,3,ignorance,box_with_object
buttelmann2017great,2,bimbo,33,m,orangutan,4,ignorance,empty_box
buttelmann2017great,2,bimbo,33,m,orangutan,5,ignorance,box_with_object
buttelmann2017great,2,bimbo,33,m,orangutan,6,ignorance,empty_box
buttelmann2017great,2,pini,25,f,orangutan,1,false_belief_exp2,box_with_object
buttelmann2017great,2,pini,25,f,orangutan,2,false_belief_exp2,empty_box
buttelmann2017great,2,pini,25,f,orangutan,3,false_belief_exp2,empty_box
buttelmann2017great,2,pini,25,f,orangutan,4,false_belief_exp2,box_with_object
buttelmann2017great,2,pini,25,f,orangutan,5,false_belief_exp2,box_with_object
buttelmann2017great,2,pini,25,f,orangutan,6,false_belief_exp2,empty_box
buttelmann2017great,2,lexi,14,f,bonobo,1,ignorance,empty_box
buttelmann2017great,2,lexi,14,f,bonobo,2,ignorance,empty_box
buttelmann2017great,2,lexi,14,f,bonobo,3,ignorance,box_with_object
buttelmann2017great,2,lexi,14,f,bonobo,4,ignorance,empty_box
buttelmann2017great,2,lexi,14,f,bonobo,5,ignorance,box_with_object
buttelmann2017great,2,lexi,14,f,bonobo,6,ignorance,empty_box
buttelmann2017great,2,jasongo,23,m,bonobo,1,ignorance,box_with_object
buttelmann2017great,2,jasongo,23,m,bonobo,2,ignorance,empty_box
buttelmann2017great,2,jasongo,23,m,bonobo,3,ignorance,empty_box
buttelmann2017great,2,jasongo,23,m,bonobo,4,ignorance,empty_box
buttelmann2017great,2,jasongo,23,m,bonobo,5,ignorance,
buttelmann2017great,2,jasongo,23,m,bonobo,6,ignorance,
buttelmann2017great,2,yasa,16,f,bonobo,1,false_belief_exp2,box_with_object
buttelmann2017great,2,yasa,16,f,bonobo,2,false_belief_exp2,box_with_object
buttelmann2017great,2,yasa,16,f,bonobo,3,false_belief_exp2,empty_box
buttelmann2017great,2,yasa,16,f,bonobo,4,false_belief_exp2,empty_box
buttelmann2017great,2,yasa,16,f,bonobo,5,false_belief_exp2,empty_box
buttelmann2017great,2,yasa,16,f,bonobo,6,false_belief_exp2,box_with_object
buttelmann2017great,2,luiza,9,f,bonobo,1,false_belief_exp2,box_with_object
buttelmann2017great,2,luiza,9,f,bonobo,2,false_belief_exp2,box_with_object
buttelmann2017great,2,luiza,9,f,bonobo,3,false_belief_exp2,box_with_object
buttelmann2017great,2,luiza,9,f,bonobo,4,false_belief_exp2,box_with_object
buttelmann2017great,2,luiza,9,f,bonobo,5,false_belief_exp2,box_with_object
buttelmann2017great,2,luiza,9,f,bonobo,6,false_belief_exp2,empty_box
