study_id,experiment,participant,age_in_years,sex,species,trial,condition,response
buttelmann2017great,1,fraukje,34,f,chimpanzee,5,true_belief,
buttelmann2017great,1,fraukje,34,f,chimpanzee,6,true_belief,
buttelmann2017great,1,tai,8,f,chimpanzee,1,true_belief,empty_box
buttelmann2017great,1,tai,8,f,chimpanzee,2,true_belief,box_with_object
buttelmann2017great,1,tai,8,f,chimpanzee,3,true_belief,box_with_object
buttelmann2017great,1,tai,8,f,chimpanzee,4,true_belief,box_with_object
buttelmann2017great,1,tai,8,f,chimpanzee,5,true_belief,empty_box
buttelmann2017great,1,tai,8,f,chimpanzee,6,true_belief,empty_box
buttelmann2017great,1,fifi,17,f,chimpanzee,1,true_belief,box_with_object
buttelmann2017great,1,fifi,17,f,chimpanzee,2,true_belief,empty_box
buttelmann2017great,1,fifi,17,f,chimpanzee,3,true_belief,box_with_object
buttelmann2017great,1,fifi,17,f,chimpanzee,4,true_belief,
buttelmann2017great,1,fifi,17,f,chimpanzee,5,true_belief,empty_box
buttelmann2017great,1,fifi,17,f,chimpanzee,6,true_belief,empty_box
buttelmann2017great,1,gertrudia,17,f,chimpanzee,1,true_belief,box_with_object
buttelmann2017great,1,gertrudia,17,f,chimpanzee,2,true_belief,empty_box
buttelmann2017great,1,gertrudia,17,f,chimpanzee,3,true_belief,
buttelmann2017great,1,gertrudia,17,f,chimpanzee,4,true_belief,box_with_object
buttelmann2017great,1,gertrudia,17,f,chimpanzee,5,true_belief,empty_box
buttelmann2017great,1,gertrudia,17,f,chimpanzee,6,true_belief,box_with_object
buttelmann2017great,1,riet,33,f,chimpanzee,1,true_belief,box_with_object
buttelmann2017great,1,riet,33,f,chimpanzee,2,true_belief,empty_box
buttelmann2017great,1,riet,33,f,chimpanzee,3,true_belief,box_with_object
buttelmann2017great,1,riet,33,f,chimpanzee,4,true_belief,empty_box
buttelmann2017great,1,riet,33,f,chimpanzee,5,true_belief,box_with_object
buttelmann2017great,1,riet,33,f,chimpanzee,6,true_belief,empty_box
buttelmann2017great,1,frederike,40,f,chimpanzee,1,true_belief,box_with_object
buttelmann2017great,1,frederike,40,f,chimpanzee,2,true_belief,box_with_object
buttelmann2017great,1,frederike,40,f,chimpanzee,3,true_belief,empty_box
buttelmann2017great,1,frederike,40,f,chimpanzee,4,true_belief,box_with_object
buttelmann2017great,1,frederike,40,f,chimpanzee,5,true_belief,
buttelmann2017great,1,frederike,40,f,chimpanzee,6,true_belief,
buttelmann2017great,1,brigitta,48,f,chimpanzee,1,false_belief,box_with_object
buttelmann2017great,1,brigitta,48,f,chimpanzee,2,false_belief,empty_box
buttelmann2017great,1,brigitta,48,f,chimpanzee,3,false_belief,box_with_object
buttelmann2017great,1,brigitta,48,f,chimpanzee,4,false_belief,box_with_object
buttelmann2017great,1,brigitta,48,f,chimpanzee,5,false_belief,box_with_object
buttelmann2017great,1,brigitta,48,f,chimpanzee,6,false_belief,empty_box
buttelmann2017great,1,tanah,5,f,orangutan,1,false_belief,box_with_object
buttelmann2017great,1,tanah,5,f,orangutan,2,false_belief,box_with_object
buttelmann2017great,1,tanah,5,f,orangutan,3,false_belief,box_with_object
buttelmann2017great,1,tanah,5,f,orangutan,4,false_belief,empty_box
buttelmann2017great,1,tanah,5,f,orangutan,5,false_belief,box_with_object
buttelmann2017great,1,tanah,5,f,orangutan,6,false_belief,box_with_object
buttelmann2017great,1,raja,10,f,orangutan,1,false_belief,box_with_object
buttelmann2017great,1,raja,10,f,orangutan,2,false_belief,box_with_object
buttelmann2017great,1,raja,10,f,orangutan,3,false_belief,box_with_object
buttelmann2017great,1,raja,10,f,orangutan,4,false_belief,box_with_object
buttelmann2017great,1,raja,10,f,orangutan,5,false_belief,box_with_object
buttelmann2017great,1,raja,10,f,orangutan,6,false_belief,box_with_object
buttelmann2017great,1,padana,16,f,orangutan,1,false_belief,box_with_object
buttelmann2017great,1,padana,16,f,orangutan,2,false_belief,box_with_object
buttelmann2017great,1,padana,16,f,orangutan,3,false_belief,empty_box
buttelmann2017great,1,padana,16,f,orangutan,4,false_belief,box_with_object
buttelmann2017great,1,padana,16,f,orangutan,5,false_belief,box_with_object
buttelmann2017great,1,padana,16,f,orangutan,6,false_belief,box_with_object
buttelmann2017great,1,dokana,25,f,orangutan,1,true_belief,box_with_object
buttelmann2017great,1,dokana,25,f,orangutan,2,true_belief,box_with_object
buttelmann2017great,1,dokana,25,f,orangutan,3,true_belief,box_with_object
buttelmann2017great,1,dokana,25,f,orangutan,4,true_belief,box_with_object
buttelmann2017great,1,dokana,25,f,orangutan,5,true_belief,box_with_object
buttelmann2017great,1,dokana,25,f,orangutan,6,true_belief,box_with_object
buttelmann2017great,1,bimbo,33,m,orangutan,1,true_belief,empty_box
buttelmann2017great,1,bimbo,33,m,orangutan,2,true_belief,
buttelmann2017great,1,bimbo,33,m,orangutan,3,true_belief,
buttelmann2017great,1,bimbo,33,m,orangutan,4,true_belief,box_with_object
buttelmann2017great,1,bimbo,33,m,orangutan,5,true_belief,empty_box
buttelmann2017great,1,bimbo,33,m,orangutan,6,true_belief,box_with_object
buttelmann2017great,1,pini,25,f,orangutan,1,true_belief,box_with_object
buttelmann2017great,1,pini,25,f,orangutan,2,true_belief,empty_box
buttelmann2017great,1,pini,25,f,orangutan,3,true_belief,box_with_object
buttelmann2017great,1,pini,25,f,orangutan,4,true_belief,empty_box
buttelmann2017great,1,pini,25,f,orangutan,5,true_belief,box_with_object
buttelmann2017great,1,pini,25,f,orangutan,6,true_belief,empty_box
buttelmann2017great,1,lexi,14,f,bonobo,1,false_belief,empty_box
buttelmann2017great,1,lexi,14,f,bonobo,2,false_belief,empty_box
buttelmann2017great,1,lexi,14,f,bonobo,3,false_belief,empty_box
buttelmann2017great,1,lexi,14,f,bonobo,4,false_belief,box_with_object
buttelmann2017great,1,lexi,14,f,bonobo,5,false_belief,empty_box
buttelmann2017great,1,lexi,14,f,bonobo,6,false_belief,box_with_object
buttelmann2017great,1,joey,31,m,bonobo,1,false_belief,box_with_object
buttelmann2017great,1,joey,31,m,bonobo,2,false_belief,box_with_object
buttelmann2017great,1,joey,31,m,bonobo,3,false_belief,box_with_object
buttelmann2017great,1,joey,31,m,bonobo,4,false_belief,
buttelmann2017great,1,joey,31,m,bonobo,5,false_belief,
buttelmann2017great,1,joey,31,m,bonobo,6,false_belief,box_with_object
buttelmann2017great,1,jasongo,23,m,bonobo,1,true_belief,empty_box
buttelmann2017great,1,jasongo,23,m,bonobo,2,true_belief,box_with_object
buttelmann2017great,1,jasongo,23,m,bonobo,3,true_belief,box_with_object
buttelmann2017great,1,jasongo,23,m,bonobo,4,true_belief,empty_box
buttelmann2017great,1,jasongo,23,m,bonobo,5,true_belief,empty_box
buttelmann2017great,1,jasongo,23,m,bonobo,6,true_belief,
buttelmann2017great,1,yasa,16,f,bonobo,1,true_belief,box_with_object
buttelmann2017great,1,yasa,16,f,bonobo,2,true_belief,box_with_object
buttelmann2017great,1,yasa,16,f,bonobo,3,true_belief,box_with_object
buttelmann2017great,1,yasa,16,f,bonobo,4,true_belief,empty_box
buttelmann2017great,1,yasa,16,f,bonobo,5,true_belief,empty_box
buttelmann2017great,1,yasa,16,f,bonobo,6,true_belief,empty_box
buttelmann2017great,1,luiza,9,f,bonobo,1,true_belief,empty_box
buttelmann2017great,1,luiza,9,f,bonobo,2,true_belief,empty_box
buttelmann2017great,1,luiza,9,f,bonobo,3,true_belief,box_with_object
buttelmann2017great,1,luiza,9,f,bonobo,4,true_belief,box_with_object
buttelmann2017great,1,luiza,9,f,bonobo,5,true_belief,empty_box
buttelmann2017great,1,luiza,9,f,bonobo,6,true_belief,box_with_object
