study_id,participant,sex,species,session,trial,condition,first_task,received_preexperience_during_this_study,preexperience_with_raking_tools_during_previous_studies,condition_basket_fixed,time_until_success_excluding_time_when_subject_was_not_interacting_with_material_apparatus_in_seconds,duration_probing_with_unmodified_tool_in_seconds,duration_of_probing_with_functional_modified_tool_in_seconds,duration_of_probing_with_modified_non_functional_tool_in_seconds,latency_between_start_and_first_modification_wire_in_seconds,tool_crafting_time_excluding_interruptions_in_seconds,place_of_modification,technique_used,tool_turned_around,how_often_tool_turned_around,string_touched,duration_of_string_manipulation_in_seconds,wire_inserted_in_wrong_tube,duration_of_wrong_insertion_in_seconds,string_inserted,duration_of_string_insertion_in_seconds,latency_between_start_and_first_touch_wire_in_seconds
laumer2018spontaneous,pini,f,orangutan,2,7,bending_task,bending,no,yes,no,35.76,0.0,28.559,0.0,41.189,3.239,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,39.39
laumer2018spontaneous,pini,f,orangutan,2,8,bending_task,bending,no,yes,no,565.56,69.119,313.561,30.0,82.199,27.6009999999999,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,8.999
laumer2018spontaneous,pini,f,orangutan,2,9,bending_task,bending,no,yes,no,187.801,53.279,45.237,0.0,69.599,19.355,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,10.799
laumer2018spontaneous,pini,f,orangutan,2,10,bending_task,bending,no,yes,no,380.881,0.0,51.4759999999999,78.959,7.46,17.738,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,5.419
laumer2018spontaneous,raja,f,orangutan,1,1,bending_task,unbending,yes,no,no,423.631,41.136,69.884,62.613,54.269,46.2219999999999,at_apparatus,r_q,no,0.0,no,0.0,no,0.0,0,0.0,3.074
laumer2018spontaneous,raja,f,orangutan,2,1,bending_task,unbending,yes,no,no,640.119,20.717,212.966,61.622,27.637,28.476,at_apparatus,r_v_q,yes,2.0,yes,37.313,no,0.0,0,0.0,3.84
laumer2018spontaneous,padana,f,orangutan,1,1,bending_task,bending,no,no,yes,14.984,0.0,7.04,0.0,3.65,1.722,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.995
laumer2018spontaneous,padana,f,orangutan,1,2,bending_task,bending,no,no,yes,15.854,0.0,7.627,0.0,3.255,1.922,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.709
laumer2018spontaneous,padana,f,orangutan,1,3,bending_task,bending,no,no,yes,26.77,0.0,7.12,5.547,3.829,6.517,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.563
laumer2018spontaneous,padana,f,orangutan,1,4,bending_task,bending,no,no,yes,73.805,0.0,41.503,10.304,2.874,5.56500000000001,at_apparatus,r,yes,2.0,no,0.0,no,0.0,0,0.0,1.873
laumer2018spontaneous,padana,f,orangutan,1,5,bending_task,bending,no,no,yes,141.208,0.0,94.641,2.02699999999999,6.945,13.159,at_apparatus,r,yes,3.0,no,0.0,no,0.0,0,0.0,5.273
laumer2018spontaneous,padana,f,orangutan,1,6,bending_task,bending,no,no,yes,9.874,0.0,3.081,0.0,5.797,1.073,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.7
laumer2018spontaneous,padana,f,orangutan,1,7,bending_task,bending,no,no,yes,148.193,0.0,64.998,30.545,2.806,12.777,at_apparatus,r,yes,2.0,no,0.0,no,0.0,0,0.0,1.436
laumer2018spontaneous,padana,f,orangutan,1,8,bending_task,bending,no,no,yes,8.374,0.0,1.996,0.0,4.25,1.256,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.993
laumer2018spontaneous,padana,f,orangutan,1,9,bending_task,bending,no,no,yes,15.095,0.0,5.555,0.0,5.116,2.6,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.417
laumer2018spontaneous,padana,f,orangutan,1,10,bending_task,bending,no,no,yes,279.477,0.0,99.1380000000001,61.645,3.172,30.877,at_apparatus,r,yes,3.0,no,0.0,no,0.0,0,0.0,1.709
laumer2018spontaneous,padana,f,orangutan,2,1,bending_task,bending,no,no,yes,192.459,0.0,99.774,12.311,4.2,31.097,at_apparatus,r,yes,2.0,no,0.0,no,0.0,0,0.0,1.976
laumer2018spontaneous,padana,f,orangutan,2,2,bending_task,bending,no,no,yes,10.572,0.0,4.184,0.0,4.618,2.193,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.667
laumer2018spontaneous,padana,f,orangutan,2,3,bending_task,bending,no,no,yes,56.656,0.0,21.133,7.14099999999999,4.757,11.944,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.988
laumer2018spontaneous,padana,f,orangutan,2,4,bending_task,bending,no,no,yes,5.981,0.0,1.056,0.0,3.514,1.94,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,1.994
laumer2018spontaneous,padana,f,orangutan,2,5,bending_task,bending,no,no,yes,33.432,0.0,8.073,7.505,6.837,6.23099999999999,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,5.128
laumer2018spontaneous,padana,f,orangutan,2,6,bending_task,bending,no,no,yes,39.114,0.0,24.401,2.592,4.582,5.99400000000001,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.185
laumer2018spontaneous,padana,f,orangutan,2,7,bending_task,bending,no,no,yes,41.206,0.0,29.485,0.0,4.463,3.783,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.133
laumer2018spontaneous,padana,f,orangutan,2,8,bending_task,bending,no,no,yes,214.186,0.0,127.726,31.236,3.343,23.384,at_apparatus,r,yes,2.0,no,0.0,no,0.0,0,0.0,2.431
laumer2018spontaneous,padana,f,orangutan,2,9,bending_task,bending,no,no,yes,12.247,0.0,5.008,0.0,4.74,3.848,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.418
laumer2018spontaneous,padana,f,orangutan,2,10,bending_task,bending,no,no,yes,88.288,0.0,49.239,8.727,3.713,14.664,at_apparatus,r,yes,3.0,no,0.0,no,0.0,0,0.0,3.133
laumer2018spontaneous,pini,f,orangutan,1,1,bending_task,bending,no,yes,yes,519.451,0.0,276.963,36.9789999999999,13.185,54.159,at_apparatus,r_s,no,0.0,yes,2.433,no,0.0,0,0.0,9.489
laumer2018spontaneous,pini,f,orangutan,1,2,bending_task,bending,no,yes,yes,115.823,0.0,42.443,16.61,6.102,29.351,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.418
laumer2018spontaneous,pini,f,orangutan,1,3,bending_task,bending,no,yes,yes,733.633,0.0,347.716,131.923,17.415,71.7740000000002,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.586
laumer2018spontaneous,pini,f,orangutan,2,1,bending_task,bending,no,yes,yes,109.219,0.0,57.679,7.24,9.843,9.50599999999999,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,4.798
laumer2018spontaneous,pini,f,orangutan,2,2,bending_task,bending,no,yes,yes,203.711,0.0,61.902,39.536,7.439,60.976,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,4.496
laumer2018spontaneous,pini,f,orangutan,2,3,bending_task,bending,no,yes,yes,299.706,0.0,124.073,31.51,12.853,64.3940000000001,at_apparatus,r_s,no,0.0,no,0.0,no,0.0,0,0.0,4.842
laumer2018spontaneous,pini,f,orangutan,2,4,bending_task,bending,no,yes,yes,366.327,0.0,182.843,47.574,7.212,53.8000000000001,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.847
laumer2018spontaneous,pini,f,orangutan,2,5,bending_task,bending,no,yes,yes,34.657,0.0,19.646,0.0,5.655,8.904,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.227
laumer2018spontaneous,pini,f,orangutan,2,6,bending_task,bending,no,yes,yes,23.923,0.0,13.178,0.0,5.369,2.476,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.731
laumer2018spontaneous,pini,f,orangutan,2,7,bending_task,bending,no,yes,yes,9.494,0.0,2.108,0.0,5.305,2.001,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.417
laumer2018spontaneous,pini,f,orangutan,2,8,bending_task,bending,no,yes,yes,18.334,0.0,8.544,0.0,5.221,2.756,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.563
laumer2018spontaneous,pini,f,orangutan,2,9,bending_task,bending,no,yes,yes,66.328,0.0,34.4,0.0,4.847,15.817,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.568
laumer2018spontaneous,pini,f,orangutan,2,10,bending_task,bending,no,yes,yes,49.002,0.0,34.916,0.0,4.747,6.023,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.418
laumer2018spontaneous,pini,f,orangutan,3,1,bending_task,bending,no,yes,yes,52.76,0.0,25.312,0.0,4.236,15.609,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,3.08
laumer2018spontaneous,pini,f,orangutan,3,2,bending_task,bending,no,yes,yes,18.557,0.0,6.404,0.0,4.941,5.176,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.482
laumer2018spontaneous,pini,f,orangutan,3,3,bending_task,bending,no,yes,yes,56.48,0.0,31.181,0.0,3.316,9.53300000000001,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.04
laumer2018spontaneous,pini,f,orangutan,3,4,bending_task,bending,no,yes,yes,11.4,0.0,5.84,0.0,4.508,1.4,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.999
laumer2018spontaneous,pini,f,orangutan,3,5,bending_task,bending,no,yes,yes,6.363,0.0,1.296,0.0,4.078,0.807000000000002,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,2.286
laumer2018spontaneous,pini,f,orangutan,3,6,bending_task,bending,no,yes,yes,40.76,0.0,30.258,0.0,6.243,5.598,at_apparatus,r,no,0.0,no,0.0,no,0.0,0,0.0,4.647
