study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,trial,condition,spitting,latency_first_spit/water,number_of_spits,success,latency_success
hanus2011comparing,2,2005,10,14,katie,18.0,18,f,chimpanzee,5,wet       ,0,,0,0,
hanus2011comparing,2,2005,10,15,katie,18.0,18,f,chimpanzee,6,wet       ,0,,0,0,
hanus2011comparing,2,,,,kidogo,21.0,21,f,chimpanzee,,wet       ,0,,0,0,
hanus2011comparing,2,,,,kisembo,6.0,6,m,chimpanzee,,dry       ,0,,0,0,
hanus2011comparing,2,,,,kisembo,6.0,6,m,chimpanzee,,wet2      ,0,,0,0,
hanus2011comparing,2,2005,08,14,lori,6.0,6,f,orangutan,1,dry       ,0,,5,0,
hanus2011comparing,2,2005,08,14,lori,6.0,6,f,orangutan,2,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,15,lori,6.0,6,f,orangutan,3,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,15,lori,6.0,6,f,orangutan,4,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,16,lori,6.0,6,f,orangutan,5,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,16,lori,6.0,6,f,orangutan,6,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,17,lori,6.0,6,f,orangutan,7,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,17,lori,6.0,6,f,orangutan,8,dry       ,0,,0,0,
hanus2011comparing,2,2005,08,18,lori,6.0,6,f,orangutan,9,dry       ,0,,2,0,
hanus2011comparing,2,2005,08,18,lori,6.0,6,f,orangutan,10,dry       ,0,,0,0,
hanus2011comparing,2,,,,nakuu,4.0,4,f,chimpanzee,,wet       ,0,,0,0,
hanus2011comparing,2,,,,namukiza,6.0,6,f,chimpanzee,,wet       ,0,,0,0,
hanus2011comparing,2,,,,nani,4.0,4,f,chimpanzee,,dry       ,0,,0,0,
hanus2011comparing,2,,,,nani,4.0,4,f,chimpanzee,,wet2      ,0,,0,0,
hanus2011comparing,2,,,,natasha,15.0,15,f,chimpanzee,,dry       ,0,,0,0,
hanus2011comparing,2,,,,natasha,15.0,15,f,chimpanzee,,wet2      ,0,,0,0,
hanus2011comparing,2,,,,nkumwa,9.0,9,f,chimpanzee,,dry       ,0,,0,0,
hanus2011comparing,2,,,,nkumwa,9.0,9,f,chimpanzee,,wet2      ,0,,0,0,
hanus2011comparing,2,2005,10,16,okech,4.0,4,m,chimpanzee,1,dry       ,1,495,12,1,1042
hanus2011comparing,2,2005,10,17,okech,4.0,4,m,chimpanzee,2,dry       ,1,16,13,0,
hanus2011comparing,2,2005,10,18,okech,4.0,4,m,chimpanzee,3,dry       ,1,8,2,0,
hanus2011comparing,2,2005,10,19,okech,4.0,4,m,chimpanzee,4,dry       ,0,,0,0,
