study_id,experiment,year,month,day,participant,age_original,age_in_years,sex,species,trial,condition,correct,tool_set,transport,transport_tools,use,use_tools,present,comments
manrique2010great,1,2006,11,20,fraukje,31.0,30.0,f,chimpanzee,2.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,11,20,fraukje,31.0,30.0,f,chimpanzee,3.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,11,21,fraukje,31.0,30.0,f,chimpanzee,1.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,11,21,fraukje,31.0,30.0,f,chimpanzee,2.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,11,21,fraukje,31.0,30.0,f,chimpanzee,3.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,8,16,sandra,14.0,13.0,f,chimpanzee,1.0,string,yes,1.0,a+b,grey_plastic+blue_cord,a,grey_plastic,,
manrique2010great,1,2006,8,16,sandra,14.0,13.0,f,chimpanzee,2.0,string,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,8,16,sandra,14.0,13.0,f,chimpanzee,3.0,string,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,8,19,sandra,14.0,13.0,f,chimpanzee,1.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,8,19,sandra,14.0,13.0,f,chimpanzee,2.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,8,19,sandra,14.0,13.0,f,chimpanzee,3.0,string,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,8,20,sandra,14.0,13.0,f,chimpanzee,1.0,string,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,8,20,sandra,14.0,13.0,f,chimpanzee,2.0,string,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,8,20,sandra,14.0,13.0,f,chimpanzee,3.0,string,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,8,25,sandra,14.0,13.0,f,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,8,25,sandra,14.0,13.0,f,chimpanzee,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,8,25,sandra,14.0,13.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,8,26,sandra,14.0,13.0,f,chimpanzee,1.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,8,26,sandra,14.0,13.0,f,chimpanzee,2.0,cane,yes,1.0,a+c,wood_cane_pieces+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,8,26,sandra,14.0,13.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,8,28,sandra,14.0,13.0,f,chimpanzee,1.0,cane,yes,1.0,a+b+c,wood_cane_pieces+string_cane_pieces_b+string_cane_pieces_c,a,wood_cane_pieces,,
manrique2010great,1,2006,8,28,sandra,14.0,13.0,f,chimpanzee,2.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,8,28,sandra,14.0,13.0,f,chimpanzee,3.0,cane,yes,1.0,a,wood_cane_pieces,a,wood_cane_pieces,,
manrique2010great,1,2006,11,15,sandra,14.0,13.0,f,chimpanzee,1.0,table,yes,2.0,a+c,metal_U-shaped+blue_foam,a,metal_U-shaped,,
manrique2010great,1,2006,11,15,sandra,14.0,13.0,f,chimpanzee,2.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,11,15,sandra,14.0,13.0,f,chimpanzee,3.0,table,yes,2.0,a,metal_U-shaped,a,metal_U-shaped,,
manrique2010great,1,2006,11,20,sandra,14.0,13.0,f,chimpanzee,1.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,11,20,sandra,14.0,13.0,f,chimpanzee,2.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,11,20,sandra,14.0,13.0,f,chimpanzee,3.0,table,yes,3.0,a,green_garden_wire,a,green_garden_wire,,
manrique2010great,1,2006,11,21,sandra,14.0,13.0,f,chimpanzee,1.0,table,yes,1.0,a,grey_plastic,a,grey_plastic,,
manrique2010great,1,2006,11,21,sandra,14.0,13.0,f,chimpanzee,2.0,table,yes,1.0,a,grey_plastic,a,grey_plastic,,
