study_id,experiment,experiment_name,year,month,day,participant,age_original,age_in_years,sex,species,session,trial,cond,juice_side,indicated,group_original,block,target_position,target_given_at,order,first_item_returned,second_item_returned,third_item_returned,fourth_item_returned,fifth_item_returned
hanus2011chimpanzee,2,exchange_test,2010,10,8,fraukje,34.5,34.0,f,chimpanzee,3.0,10,weight,,,1.0,1.0,4.0,3.0,214,2,1,4,,
hanus2011chimpanzee,2,exchange_test,2010,10,8,fraukje,34.5,34.0,f,chimpanzee,3.0,11,weight,,,1.0,1.0,3.0,4.0,5123,5,1,2,3,
hanus2011chimpanzee,2,exchange_test,2010,10,8,fraukje,34.5,34.0,f,chimpanzee,3.0,12,weight,,,1.0,1.0,1.0,4.0,3451,3,4,5,1,
hanus2011chimpanzee,2,exchange_test,2010,10,12,fraukje,34.5,34.0,f,chimpanzee,4.0,13,weight,,,1.0,1.0,2.0,2.0,32,3,2,,,
hanus2011chimpanzee,2,exchange_test,2010,10,12,fraukje,34.5,34.0,f,chimpanzee,4.0,14,weight,,,1.0,1.0,5.0,5.0,32415,3,2,4,1,5
hanus2011chimpanzee,2,exchange_test,2010,10,12,fraukje,34.5,34.0,f,chimpanzee,4.0,15,weight,,,1.0,1.0,2.0,2.0,52,5,2,,,
hanus2011chimpanzee,2,exchange_test,2010,10,12,fraukje,34.5,34.0,f,chimpanzee,4.0,16,weight,,,1.0,1.0,4.0,4.0,5324,5,3,2,4,
hanus2011chimpanzee,2,exchange_test,2010,10,13,fraukje,34.5,34.0,f,chimpanzee,5.0,17,weight,,,1.0,1.0,5.0,4.0,3425,3,4,2,5,
hanus2011chimpanzee,2,exchange_test,2010,10,13,fraukje,34.5,34.0,f,chimpanzee,5.0,18,weight,,,1.0,1.0,3.0,4.0,3423,3,4,2,3,
hanus2011chimpanzee,2,exchange_test,2010,10,13,fraukje,34.5,34.0,f,chimpanzee,5.0,19,weight,,,1.0,1.0,1.0,5.0,34521,3,4,5,2,1
hanus2011chimpanzee,2,exchange_test,2010,10,13,fraukje,34.5,34.0,f,chimpanzee,5.0,20,weight,,,1.0,1.0,2.0,2.0,42,4,2,,,
hanus2011chimpanzee,2,exchange_test,2010,10,14,fraukje,34.5,34.0,f,chimpanzee,6.0,21,weight,,,1.0,1.0,3.0,1.0,3,3,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,14,fraukje,34.5,34.0,f,chimpanzee,6.0,22,weight,,,1.0,1.0,1.0,5.0,45321,4,5,3,2,1
hanus2011chimpanzee,2,exchange_test,2010,10,14,fraukje,34.5,34.0,f,chimpanzee,6.0,23,weight,,,1.0,1.0,4.0,4.0,3214,3,2,1,4,
hanus2011chimpanzee,2,exchange_test,2010,10,14,fraukje,34.5,34.0,f,chimpanzee,6.0,24,weight,,,1.0,1.0,2.0,4.0,4352,4,3,5,2,
hanus2011chimpanzee,2,exchange_test,2010,10,15,fraukje,34.5,34.0,f,chimpanzee,7.0,25,weight,,,1.0,1.0,5.0,1.0,5,5,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,15,fraukje,34.5,34.0,f,chimpanzee,7.0,26,weight,,,1.0,1.0,4.0,1.0,4,4,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,15,fraukje,34.5,34.0,f,chimpanzee,7.0,27,weight,,,1.0,1.0,3.0,2.0,53,5,3,,,
hanus2011chimpanzee,2,exchange_test,2010,10,15,fraukje,34.5,34.0,f,chimpanzee,7.0,28,weight,,,1.0,1.0,4.0,4.0,3124,3,1,2,4,
hanus2011chimpanzee,2,exchange_test,2010,10,19,fraukje,34.5,34.0,f,chimpanzee,8.0,29,weight,,,1.0,1.0,5.0,5.0,12345,1,2,3,4,5
hanus2011chimpanzee,2,exchange_test,2010,10,19,fraukje,34.5,34.0,f,chimpanzee,8.0,30,weight,,,1.0,1.0,3.0,1.0,3,3,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,19,fraukje,34.5,34.0,f,chimpanzee,8.0,31,weight,,,1.0,1.0,2.0,1.0,2,2,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,19,fraukje,34.5,34.0,f,chimpanzee,8.0,32,weight,,,1.0,1.0,1.0,4.0,3421,3,4,2,1,
hanus2011chimpanzee,2,exchange_test,2010,10,20,fraukje,34.5,34.0,f,chimpanzee,9.0,33,weight,,,1.0,1.0,2.0,2.0,32,3,2,,,
hanus2011chimpanzee,2,exchange_test,2010,10,20,fraukje,34.5,34.0,f,chimpanzee,9.0,34,weight,,,1.0,1.0,5.0,4.0,4235,4,2,3,5,
hanus2011chimpanzee,2,exchange_test,2010,10,20,fraukje,34.5,34.0,f,chimpanzee,9.0,35,weight,,,1.0,1.0,1.0,5.0,42351,4,2,3,5,1
hanus2011chimpanzee,2,exchange_test,2010,10,20,fraukje,34.5,34.0,f,chimpanzee,9.0,36,weight,,,1.0,1.0,4.0,1.0,4,4,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,21,fraukje,34.5,34.0,f,chimpanzee,10.0,37,weight,,,1.0,1.0,1.0,4.0,3421,3,4,2,1,
hanus2011chimpanzee,2,exchange_test,2010,10,21,fraukje,34.5,34.0,f,chimpanzee,10.0,38,weight,,,1.0,1.0,2.0,2.0,32,3,2,,,
hanus2011chimpanzee,2,exchange_test,2010,10,21,fraukje,34.5,34.0,f,chimpanzee,10.0,39,weight,,,1.0,1.0,3.0,3.0,423,4,2,3,,
hanus2011chimpanzee,2,exchange_test,2010,10,21,fraukje,34.5,34.0,f,chimpanzee,10.0,40,weight,,,1.0,1.0,5.0,4.0,4235,4,2,3,5,
hanus2011chimpanzee,2,exchange_test,2010,10,22,fraukje,34.5,34.0,f,chimpanzee,1.0,1,color,,,1.0,2.0,3.0,5.0,21543,2,1,5,4,3
hanus2011chimpanzee,2,exchange_test,2010,10,22,fraukje,34.5,34.0,f,chimpanzee,1.0,2,color,,,1.0,2.0,1.0,5.0,35241,3,5,2,4,1
hanus2011chimpanzee,2,exchange_test,2010,10,22,fraukje,34.5,34.0,f,chimpanzee,1.0,3,color,,,1.0,2.0,4.0,1.0,4,4,,,,
hanus2011chimpanzee,2,exchange_test,2010,10,22,fraukje,34.5,34.0,f,chimpanzee,1.0,4,color,,,1.0,2.0,2.0,2.0,42,4,2,,,
hanus2011chimpanzee,2,exchange_test,2010,10,26,fraukje,34.5,34.0,f,chimpanzee,2.0,5,color,,,1.0,2.0,5.0,1.0,5,5,,,,
