study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,trial,period,reaching_frequency,knocking_frequency
uher2008coherence,4,blocked_food_box_test,2005,ruby_b'windi,7.0,f,gorilla,1.0,2.0,1.0,42.0,1.0
uher2008coherence,4,blocked_food_box_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,1.0,1.0,39.0,1.0
uher2008coherence,4,blocked_food_box_test,2005,ruby_b'windi,7.0,f,gorilla,2.0,2.0,1.0,44.0,1.0
uher2008coherence,4,blocked_food_box_test,2005,ruby_b'windi,7.0,f,gorilla,3.0,1.0,2.0,20.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,ruby_b'windi,7.0,f,gorilla,3.0,2.0,2.0,5.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,ruby_b'windi,7.0,f,gorilla,4.0,1.0,2.0,13.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,ruby_b'windi,7.0,f,gorilla,4.0,2.0,2.0,8.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,viringika,9.0,f,gorilla,1.0,1.0,1.0,30.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,viringika,9.0,f,gorilla,1.0,2.0,1.0,4.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,viringika,9.0,f,gorilla,2.0,1.0,1.0,13.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,viringika,9.0,f,gorilla,2.0,2.0,1.0,5.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,viringika,9.0,f,gorilla,3.0,1.0,2.0,5.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,viringika,9.0,f,gorilla,3.0,2.0,2.0,2.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,viringika,9.0,f,gorilla,4.0,1.0,2.0,8.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,viringika,9.0,f,gorilla,4.0,2.0,2.0,9.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dokana,16.0,f,orangutan,1.0,1.0,1.0,9.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dokana,16.0,f,orangutan,1.0,2.0,1.0,3.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dokana,16.0,f,orangutan,2.0,1.0,1.0,13.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dokana,16.0,f,orangutan,2.0,2.0,1.0,5.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dokana,16.0,f,orangutan,3.0,1.0,2.0,3.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dokana,16.0,f,orangutan,3.0,2.0,2.0,3.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dokana,16.0,f,orangutan,4.0,1.0,2.0,5.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dokana,16.0,f,orangutan,4.0,2.0,2.0,5.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dunja,31.0,f,orangutan,1.0,1.0,1.0,25.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dunja,31.0,f,orangutan,1.0,2.0,1.0,7.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dunja,31.0,f,orangutan,2.0,1.0,1.0,17.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dunja,31.0,f,orangutan,2.0,2.0,1.0,8.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dunja,31.0,f,orangutan,3.0,1.0,2.0,11.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dunja,31.0,f,orangutan,3.0,2.0,2.0,10.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dunja,31.0,f,orangutan,4.0,1.0,2.0,6.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,dunja,31.0,f,orangutan,4.0,2.0,2.0,1.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,padana,7.0,f,orangutan,1.0,1.0,1.0,16.0,2.0
uher2008coherence,4,blocked_food_box_test,2005,padana,7.0,f,orangutan,1.0,2.0,1.0,14.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,padana,7.0,f,orangutan,2.0,1.0,1.0,25.0,1.0
uher2008coherence,4,blocked_food_box_test,2005,padana,7.0,f,orangutan,2.0,2.0,1.0,7.0,1.0
uher2008coherence,4,blocked_food_box_test,2005,padana,7.0,f,orangutan,3.0,1.0,2.0,8.0,3.0
uher2008coherence,4,blocked_food_box_test,2005,padana,7.0,f,orangutan,3.0,2.0,2.0,5.0,10.0
uher2008coherence,4,blocked_food_box_test,2005,padana,7.0,f,orangutan,4.0,1.0,2.0,21.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,padana,7.0,f,orangutan,4.0,2.0,2.0,9.0,8.0
uher2008coherence,4,blocked_food_box_test,2005,pini,16.0,f,orangutan,1.0,1.0,1.0,28.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,pini,16.0,f,orangutan,1.0,2.0,1.0,18.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,pini,16.0,f,orangutan,2.0,1.0,1.0,34.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,pini,16.0,f,orangutan,2.0,2.0,1.0,11.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,pini,16.0,f,orangutan,3.0,1.0,2.0,10.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,pini,16.0,f,orangutan,3.0,2.0,2.0,7.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,pini,16.0,f,orangutan,4.0,1.0,2.0,8.0,0.0
uher2008coherence,4,blocked_food_box_test,2005,pini,16.0,f,orangutan,4.0,2.0,2.0,5.0,0.0
