study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,trial,period,duration_of_proximity_to_experimenter,freq_of_quasi-aggressive_acts
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,4.0,3.0,2.0,31.68,1.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,5.0,1.0,2.0,3.44,2.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,5.0,2.0,2.0,60.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,5.0,3.0,2.0,46.08,4.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,6.0,1.0,2.0,19.16,2.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,6.0,2.0,2.0,59.8,0.0
uher2008coherence,8,keeper_interaction_test,2005,frodo,11.0,m,chimpanzee,6.0,3.0,2.0,22.6,4.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,1.0,1.0,1.0,58.16,3.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,1.0,2.0,1.0,59.52,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,1.0,3.0,1.0,105.88,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,2.0,1.0,1.0,78.88,1.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,2.0,2.0,1.0,59.28,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,2.0,3.0,1.0,59.2,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,3.0,1.0,1.0,101.0,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,3.0,2.0,1.0,59.4,0.0
uher2008coherence,8,keeper_interaction_test,2005,fraukje,28.0,f,chimpanzee,3.0,3.0,1.0,88.28,0.0
