study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,period,duration_occupied,item_eaten_or_tasted,latency_to_reach_or_touch,food_type,novel_food_type,food,rejecting_food,latency_60
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,6.68,1.0,0.64,novel,natural,blue tree 1,0.0,0.64
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,7.08,1.0,0.6,normal,,apple,0.0,0.6
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,6.76,1.0,0.92,novel,natural,brown heart 1,0.0,0.92
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,13.72,1.0,0.6,normal,,apple,0.0,0.6
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,7.64,1.0,0.64,novel,natural,brown tree 1,0.0,0.64
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,8.24,1.0,0.64,normal,,apple,0.0,0.64
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,8.12,1.0,0.8,novel,natural,blue heart 1,0.0,0.8
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,6.64,1.0,0.64,normal,,apple,0.0,0.64
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,7.56,1.0,0.88,novel,natural,blue tree 2,0.0,0.88
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,8.24,1.0,0.8,normal,,apple,0.0,0.8
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,12.36,1.0,0.64,novel,natural,brown heart 2,0.0,0.64
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,9.28,1.0,0.52,normal,,apple,0.0,0.52
uher2008coherence,10,novel_food_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,9.16,1.0,0.64,novel,natural,brown tree 2,0.0,0.64
