study_id,experiment,experiment_name,year,participant,age_in_years,sex,species,session,trial,period,touched_box,opened_box,item_eaten_or_tasted,food_rejected,latency_to_touch_box,latency_to_open_box,not_touching,not_opening
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,7.0,1.0,1.0,1.0,1.0,0.0,1.44,3.04,1.44,3.04
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,8.0,1.0,1.0,1.0,1.0,0.0,1.4,2.44,1.4,2.44
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,9.0,1.0,1.0,1.0,1.0,0.0,1.16,2.28,1.16,2.28
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,2.0,10.0,1.0,1.0,1.0,1.0,0.0,1.44,3.44,1.44,3.44
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,0.0,1.0,1.0,1.0,,,2.24,2.24,2.24,2.24
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.96,2.2,0.96,2.2
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,2.0,1.0,1.0,1.0,1.0,0.0,1.4,1.4,1.4,1.4
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.52,2.52,1.52,2.52
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,4.0,1.0,1.0,1.0,1.0,0.0,0.96,2.04,0.96,2.04
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,5.0,1.0,1.0,1.0,1.0,0.0,2.48,5.16,2.48,5.16
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,6.0,1.0,1.0,1.0,1.0,0.0,1.2,2.12,1.2,2.12
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,7.0,1.0,1.0,1.0,1.0,0.0,1.24,2.6,1.24,2.6
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,8.0,1.0,1.0,1.0,1.0,0.0,1.36,3.52,1.36,3.52
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,9.0,1.0,1.0,1.0,1.0,0.0,1.48,2.24,1.48,2.24
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,3.0,10.0,1.0,1.0,1.0,1.0,0.0,1.56,1.68,1.56,1.68
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,0.0,2.0,1.0,1.0,,,1.92,1.92,1.92,1.92
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,2.0,2.0,1.0,1.0,1.0,0.0,1.24,1.24,1.24,1.24
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,3.0,2.0,1.0,1.0,1.0,0.0,1.04,1.04,1.04,1.04
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,4.0,2.0,1.0,1.0,1.0,0.0,1.16,1.16,1.16,1.16
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,5.0,2.0,1.0,1.0,1.0,0.0,1.24,1.24,1.24,1.24
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,6.0,2.0,1.0,1.0,1.0,0.0,1.52,1.52,1.52,1.52
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,7.0,2.0,1.0,1.0,1.0,0.0,2.44,2.44,2.44,2.44
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,8.0,2.0,1.0,1.0,1.0,0.0,1.88,1.88,1.88,1.88
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,9.0,2.0,1.0,1.0,1.0,0.0,1.04,1.04,1.04,1.04
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,4.0,10.0,2.0,1.0,1.0,1.0,0.0,1.08,1.08,1.08,1.08
uher2008coherence,3,food_box_test,2005,limbuko,9.0,m,bonobo,5.0,0.0,2.0,1.0,1.0,,,1.64,1.64,1.64,1.64
