study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,species,genus,dyad,dyad_id,session ,trial,trial_id,species_subgroup,condition,owner_dom,start_individ,owner_sex,own_items,other_items,total_owner
kanngiesser2020children,lome,13,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lome_kofi,c2,4,2,c2_14,a,simult,yes,both,m,0,2,2
kanngiesser2020children,lome,13,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lome_kofi,c2,4,3,c2_15,a,simult,yes,both,m,1,0,1
kanngiesser2020children,lome,13,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lome_kofi,c2,4,4,c2_16,a,simult,yes,both,m,1,1,2
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,1,1,c3_1,a,simult,no,both,m,1,1,2
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,1,2,c3_2,a,simult,no,both,m,1,1,2
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,1,3,c3_3,a,simult,no,both,m,1,1,2
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,1,4,c3_4,a,simult,no,both,m,2,1,3
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,2,1,c3_5,a,delayed,no,no,m,0,0,0
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,2,2,c3_6,a,delayed,no,yes,m,2,2,4
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,2,3,c3_7,a,delayed,no,no,m,0,0,0
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,2,4,c3_8,a,delayed,no,yes,m,2,2,4
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,3,1,c3_9,a,delayed,no,yes,m,2,2,4
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,3,2,c3_10,a,delayed,no,no,m,0,0,0
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,3,3,c3_11,a,delayed,no,yes,m,2,2,4
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,3,4,c3_12,a,delayed,no,no,m,0,0,0
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,4,1,c3_13,a,simult,no,both,m,2,1,3
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,4,2,c3_14,a,simult,no,both,m,1,2,3
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,4,3,c3_15,a,simult,no,both,m,1,1,2
kanngiesser2020children,kofi,8,m,owner,lobo,10,m,non_owner,chimpanzee,pan,kofi_lobo,c3,4,4,c3_16,a,simult,no,both,m,1,2,3
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,1,1,c3_1,a,simult,yes,both,m,1,1,2
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,1,2,c3_2,a,simult,yes,both,m,1,1,2
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,1,3,c3_3,a,simult,yes,both,m,1,1,2
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,1,4,c3_4,a,simult,yes,both,m,1,0,1
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,2,1,c3_5,a,delayed,yes,yes,m,2,2,4
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,2,2,c3_6,a,delayed,yes,no,m,0,0,0
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,2,3,c3_7,a,delayed,yes,yes,m,2,2,4
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,2,4,c3_8,a,delayed,yes,no,m,0,0,0
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,3,1,c3_9,a,delayed,yes,no,m,0,0,0
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,3,2,c3_10,a,delayed,yes,yes,m,2,2,4
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,3,3,c3_11,a,delayed,yes,no,m,0,0,0
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,3,4,c3_12,a,delayed,yes,yes,m,2,2,4
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,4,1,c3_13,a,simult,yes,both,m,1,0,1
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,4,2,c3_14,a,simult,yes,both,m,0,1,1
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,4,3,c3_15,a,simult,yes,both,m,1,1,2
kanngiesser2020children,lobo,10,m,owner,kofi,8,m,non_owner,chimpanzee,pan,lobo_kofi,c3,4,4,c3_16,a,simult,yes,both,m,0,1,1
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,1,1,c4_1,b,simult,no,both,f,2,1,3
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,1,2,c4_2,b,simult,no,both,f,2,1,3
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,1,3,c4_3,b,simult,no,both,f,1,2,3
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,1,4,c4_4,b,simult,no,both,f,1,2,3
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,2,1,c4_5,b,delayed,no,yes,f,2,2,4
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,2,2,c4_6,b,delayed,no,no,f,0,0,0
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,2,3,c4_7,b,delayed,no,yes,f,2,2,4
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,2,4,c4_8,b,delayed,no,no,f,1,0,1
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,3,1,c4_9,b,delayed,no,no,f,0,0,0
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,3,2,c4_10,b,delayed,no,yes,f,2,2,4
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,3,3,c4_11,b,delayed,no,no,f,0,0,0
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,3,4,c4_12,b,delayed,no,yes,f,2,1,3
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,4,1,c4_13,b,simult,no,both,f,2,2,4
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,4,2,c4_14,b,simult,no,both,f,2,1,3
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,4,3,c4_15,b,simult,no,both,f,2,1,3
kanngiesser2020children,alexandra,14,f,owner,alex,13,m,non_owner,chimpanzee,pan,alexandra_alex,c4,4,4,c4_16,b,simult,no,both,f,2,2,4
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,1,1,c4_1,b,simult,yes,both,m,1,0,1
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,1,2,c4_2,b,simult,yes,both,m,1,0,1
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,1,3,c4_3,b,simult,yes,both,m,0,1,1
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,1,4,c4_4,b,simult,yes,both,m,0,1,1
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,2,1,c4_5,b,delayed,yes,no,m,0,0,0
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,2,2,c4_6,b,delayed,yes,yes,m,2,2,4
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,2,3,c4_7,b,delayed,yes,no,m,0,0,0
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,2,4,c4_8,b,delayed,yes,yes,m,2,1,3
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,3,1,c4_9,b,delayed,yes,yes,m,2,2,4
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,3,2,c4_10,b,delayed,yes,no,m,0,0,0
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,3,3,c4_11,b,delayed,yes,yes,m,2,2,4
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,3,4,c4_12,b,delayed,yes,no,m,1,0,1
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,4,1,c4_13,b,simult,yes,both,m,0,0,0
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,4,2,c4_14,b,simult,yes,both,m,1,0,1
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,4,3,c4_15,b,simult,yes,both,m,1,0,1
kanngiesser2020children,alex,13,m,owner,alexandra,14,f,non_owner,chimpanzee,pan,alex_alexandra,c4,4,4,c4_16,b,simult,yes,both,m,0,0,0
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,1,1,c5_1,b,simult,yes,both,f,2,0,2
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,1,2,c5_2,b,simult,yes,both,f,1,1,2
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,1,3,c5_3,b,simult,yes,both,f,2,0,2
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,1,4,c5_4,b,simult,yes,both,f,2,1,3
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,2,1,c5_5,b,delayed,yes,yes,f,2,2,4
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,2,2,c5_6,b,delayed,yes,no,f,0,0,0
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,2,3,c5_7,b,delayed,yes,yes,f,2,2,4
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,2,4,c5_8,b,delayed,yes,no,f,0,0,0
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,3,1,c5_9,b,delayed,yes,no,f,0,0,0
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,3,2,c5_10,b,delayed,yes,yes,f,2,2,4
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,3,3,c5_11,b,delayed,yes,no,f,0,0,0
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,3,4,c5_12,b,delayed,yes,yes,f,2,2,4
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,4,1,c5_13,b,simult,yes,both,f,1,2,3
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,4,2,c5_14,b,simult,yes,both,f,1,1,2
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,4,3,c5_15,b,simult,yes,both,f,2,1,3
kanngiesser2020children,jahaga,21,f,owner,alex,13,m,non_owner,chimpanzee,pan,jahaga_alex,c5,4,4,c5_16,b,simult,yes,both,f,2,1,3
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,1,1,c5_1,b,simult,no,both,m,2,0,2
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,1,2,c5_2,b,simult,no,both,m,1,1,2
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,1,3,c5_3,b,simult,no,both,m,2,0,2
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,1,4,c5_4,b,simult,no,both,m,1,0,1
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,2,1,c5_5,b,delayed,no,no,m,0,0,0
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,2,2,c5_6,b,delayed,no,yes,m,2,2,4
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,2,3,c5_7,b,delayed,no,no,m,0,0,0
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,2,4,c5_8,b,delayed,no,yes,m,2,2,4
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,3,1,c5_9,b,delayed,no,yes,m,2,2,4
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,3,2,c5_10,b,delayed,no,no,m,0,0,0
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,3,3,c5_11,b,delayed,no,yes,m,2,2,4
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,3,4,c5_12,b,delayed,no,no,m,0,0,0
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,4,1,c5_13,b,simult,no,both,m,0,1,1
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,4,2,c5_14,b,simult,no,both,m,1,1,2
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,4,3,c5_15,b,simult,no,both,m,1,0,1
kanngiesser2020children,alex,13,m,owner,jahaga,21,f,non_owner,chimpanzee,pan,alex_jahaga,c5,4,4,c5_16,b,simult,no,both,m,1,0,1
kanngiesser2020children,jahaga,21,f,owner,alexandra,14,f,non_owner,chimpanzee,pan,jahaga_alexandra,c6,1,1,c6_1,b,simult,yes,both,f,1,0,1
kanngiesser2020children,jahaga,21,f,owner,alexandra,14,f,non_owner,chimpanzee,pan,jahaga_alexandra,c6,1,2,c6_2,b,simult,yes,both,f,2,0,2
kanngiesser2020children,jahaga,21,f,owner,alexandra,14,f,non_owner,chimpanzee,pan,jahaga_alexandra,c6,1,3,c6_3,b,simult,yes,both,f,0,0,0
kanngiesser2020children,jahaga,21,f,owner,alexandra,14,f,non_owner,chimpanzee,pan,jahaga_alexandra,c6,1,4,c6_4,b,simult,yes,both,f,2,0,2
kanngiesser2020children,jahaga,21,f,owner,alexandra,14,f,non_owner,chimpanzee,pan,jahaga_alexandra,c6,2,1,c6_5,b,delayed,yes,no,f,0,0,0
kanngiesser2020children,jahaga,21,f,owner,alexandra,14,f,non_owner,chimpanzee,pan,jahaga_alexandra,c6,2,2,c6_6,b,delayed,yes,yes,f,2,2,4
kanngiesser2020children,jahaga,21,f,owner,alexandra,14,f,non_owner,chimpanzee,pan,jahaga_alexandra,c6,2,3,c6_7,b,delayed,yes,no,f,0,0,0
kanngiesser2020children,jahaga,21,f,owner,alexandra,14,f,non_owner,chimpanzee,pan,jahaga_alexandra,c6,2,4,c6_8,b,delayed,yes,yes,f,2,2,4
