study_id,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,condition,baited_cup,chosen_cup_if_choice_differs_from_position_of_reward,correct
amici2010monkeys,memory_delayed_response_task,2008,1,16,riet,30,f,chimpanzee,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,riet,30,f,chimpanzee,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,riet,30,f,chimpanzee,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,riet,30,f,chimpanzee,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,riet,30,f,chimpanzee,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,riet,30,f,chimpanzee,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,riet,30,f,chimpanzee,2,1,30min_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,17,riet,30,f,chimpanzee,3,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,17,riet,30,f,chimpanzee,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,robert,32,m,chimpanzee,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,robert,32,m,chimpanzee,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,robert,32,m,chimpanzee,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,robert,32,m,chimpanzee,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,robert,32,m,chimpanzee,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,robert,32,m,chimpanzee,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,robert,32,m,chimpanzee,2,1,30min_delay,middle,left,0
amici2010monkeys,memory_delayed_response_task,2008,1,17,robert,32,m,chimpanzee,3,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,17,robert,32,m,chimpanzee,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,sandra,14,f,chimpanzee,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,sandra,14,f,chimpanzee,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,sandra,14,f,chimpanzee,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,sandra,14,f,chimpanzee,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,sandra,14,f,chimpanzee,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,sandra,14,f,chimpanzee,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,16,sandra,14,f,chimpanzee,2,1,30min_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,17,sandra,14,f,chimpanzee,3,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,17,sandra,14,f,chimpanzee,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,ulindi,14,f,bonobo,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,ulindi,14,f,bonobo,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,ulindi,14,f,bonobo,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,ulindi,14,f,bonobo,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,ulindi,14,f,bonobo,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,ulindi,14,f,bonobo,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,ulindi,14,f,bonobo,2,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,15,ulindi,14,f,bonobo,3,1,30min_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,15,ulindi,14,f,bonobo,4,1,30min_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,viringika,12,f,gorilla,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,viringika,12,f,gorilla,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,viringika,12,f,gorilla,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,viringika,12,f,gorilla,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,viringika,12,f,gorilla,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,viringika,12,f,gorilla,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,3,viringika,12,f,gorilla,2,1,30min_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,4,viringika,12,f,gorilla,3,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,5,viringika,12,f,gorilla,4,1,30min_delay,left,middle,0
amici2010monkeys,memory_delayed_response_task,2008,1,14,yasa,10,f,bonobo,1,1,no_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,yasa,10,f,bonobo,1,2,no_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,yasa,10,f,bonobo,1,3,no_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,yasa,10,f,bonobo,1,4,30sec_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,yasa,10,f,bonobo,1,5,30sec_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,yasa,10,f,bonobo,1,6,30sec_delay,left,,1
amici2010monkeys,memory_delayed_response_task,2008,1,14,yasa,10,f,bonobo,2,1,30min_delay,right,,1
amici2010monkeys,memory_delayed_response_task,2008,1,15,yasa,10,f,bonobo,3,1,30min_delay,middle,,1
amici2010monkeys,memory_delayed_response_task,2008,1,15,yasa,10,f,bonobo,4,1,30min_delay,left,,1
