study_id,participant,sex,species,session,trial,order,automatic_gaze_value,gaze_behind_barriers_value
schmid2017great,dokana,f,orangutan,2,8,reliablefirst,0.0,0.0
schmid2017great,dokana,f,orangutan,3,1,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,3,2,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,3,3,reliablefirst,0.0,0.0
schmid2017great,dokana,f,orangutan,3,4,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,3,5,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,3,6,reliablefirst,0.0,0.0
schmid2017great,dokana,f,orangutan,3,7,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,3,8,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,4,1,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,4,2,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,4,3,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,4,4,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,4,5,reliablefirst,0.0,0.0
schmid2017great,dokana,f,orangutan,4,6,reliablefirst,1.0,0.0
schmid2017great,dokana,f,orangutan,4,7,reliablefirst,1.0,1.0
schmid2017great,dokana,f,orangutan,4,8,reliablefirst,0.0,0.0
schmid2017great,dorien,f,chimpanzee,1,1,unreliablefirst,0.0,0.0
schmid2017great,dorien,f,chimpanzee,1,2,unreliablefirst,0.0,0.0
schmid2017great,dorien,f,chimpanzee,1,3,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,1,4,unreliablefirst,0.0,0.0
schmid2017great,dorien,f,chimpanzee,1,5,unreliablefirst,1.0,0.0
schmid2017great,dorien,f,chimpanzee,1,6,unreliablefirst,0.0,0.0
schmid2017great,dorien,f,chimpanzee,1,7,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,1,8,unreliablefirst,1.0,0.0
schmid2017great,dorien,f,chimpanzee,2,1,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,2,2,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,2,3,unreliablefirst,1.0,0.0
schmid2017great,dorien,f,chimpanzee,2,4,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,2,5,unreliablefirst,0.0,0.0
schmid2017great,dorien,f,chimpanzee,2,6,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,2,7,unreliablefirst,0.0,0.0
schmid2017great,dorien,f,chimpanzee,2,8,unreliablefirst,1.0,0.0
schmid2017great,dorien,f,chimpanzee,3,1,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,3,2,unreliablefirst,0.0,0.0
schmid2017great,dorien,f,chimpanzee,3,3,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,3,4,unreliablefirst,1.0,0.0
schmid2017great,dorien,f,chimpanzee,3,5,unreliablefirst,1.0,0.0
schmid2017great,dorien,f,chimpanzee,3,6,unreliablefirst,0.0,0.0
schmid2017great,dorien,f,chimpanzee,3,7,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,3,8,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,4,1,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,4,2,unreliablefirst,1.0,0.0
schmid2017great,dorien,f,chimpanzee,4,3,unreliablefirst,1.0,1.0
schmid2017great,dorien,f,chimpanzee,4,4,unreliablefirst,1.0,0.0
schmid2017great,dorien,f,chimpanzee,4,5,unreliablefirst,0.0,0.0
schmid2017great,dorien,f,chimpanzee,4,6,unreliablefirst,1.0,0.0
schmid2017great,dorien,f,chimpanzee,4,7,unreliablefirst,1.0,0.0
schmid2017great,dorien,f,chimpanzee,4,8,unreliablefirst,0.0,0.0
schmid2017great,fimi,f,bonobo,1,1,unreliablefirst,1.0,1.0
schmid2017great,fimi,f,bonobo,1,2,unreliablefirst,1.0,1.0
schmid2017great,fimi,f,bonobo,1,3,unreliablefirst,,0.0
schmid2017great,fimi,f,bonobo,1,4,unreliablefirst,,0.0
schmid2017great,fimi,f,bonobo,1,5,unreliablefirst,,0.0
schmid2017great,fimi,f,bonobo,1,6,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,1,7,unreliablefirst,,0.0
schmid2017great,fimi,f,bonobo,1,8,unreliablefirst,,0.0
schmid2017great,fimi,f,bonobo,2,1,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,2,2,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,2,3,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,2,4,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,2,5,unreliablefirst,0.0,1.0
schmid2017great,fimi,f,bonobo,2,6,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,2,7,unreliablefirst,1.0,1.0
schmid2017great,fimi,f,bonobo,2,8,unreliablefirst,0.0,0.0
schmid2017great,fimi,f,bonobo,3,1,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,3,2,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,3,3,unreliablefirst,0.0,0.0
schmid2017great,fimi,f,bonobo,3,4,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,3,5,unreliablefirst,0.0,0.0
schmid2017great,fimi,f,bonobo,3,6,unreliablefirst,1.0,1.0
schmid2017great,fimi,f,bonobo,3,7,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,3,8,unreliablefirst,0.0,0.0
schmid2017great,fimi,f,bonobo,4,1,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,4,2,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,4,3,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,4,4,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,4,5,unreliablefirst,0.0,0.0
schmid2017great,fimi,f,bonobo,4,6,unreliablefirst,0.0,0.0
schmid2017great,fimi,f,bonobo,4,7,unreliablefirst,1.0,0.0
schmid2017great,fimi,f,bonobo,4,8,unreliablefirst,1.0,0.0
schmid2017great,fraukje,f,chimpanzee,1,1,unreliablefirst,1.0,0.0
schmid2017great,fraukje,f,chimpanzee,1,2,unreliablefirst,0.0,1.0
schmid2017great,fraukje,f,chimpanzee,1,3,unreliablefirst,1.0,1.0
schmid2017great,fraukje,f,chimpanzee,1,4,unreliablefirst,0.0,0.0
schmid2017great,fraukje,f,chimpanzee,1,5,unreliablefirst,0.0,0.0
schmid2017great,fraukje,f,chimpanzee,1,6,unreliablefirst,1.0,0.0
schmid2017great,fraukje,f,chimpanzee,1,7,unreliablefirst,0.0,0.0
schmid2017great,fraukje,f,chimpanzee,1,8,unreliablefirst,1.0,0.0
