study_id,experiment,year,month,day,participant,age_in_years,sex,species,species_subgroup,session,test_trial,trial,condition,constellation,food_left,food_right,point,side_indicated,food_indicated,point_to_absent,indicated_food
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,0,3,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,0,4,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,0,5,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,0,6,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,0,7,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,0,8,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,0,9,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,1,10,test,different,x,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,2,11,test,different,x,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,padana,15.0,f,orangutan,,2,3,12,test,different,x,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,1,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,2,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,3,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,4,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,5,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,6,testwarmup,same,c,c,1,l,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,7,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,8,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,9,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,10,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,0,11,testwarmup,same,c,c,1,r,c,0,none
bohn2015communication,1,2013,10,18,pini,25.0,f,orangutan,,2,1,12,test,same,c,x,1,l,c,0,none
bohn2015communication,1,2013,10,18,suaq,4.0,m,orangutan,,1,0,1,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,suaq,4.0,m,orangutan,,1,0,2,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,suaq,4.0,m,orangutan,,1,0,3,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,suaq,4.0,m,orangutan,,1,0,4,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,suaq,4.0,m,orangutan,,1,0,5,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,suaq,4.0,m,orangutan,,1,0,6,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,suaq,4.0,m,orangutan,,1,0,7,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,suaq,4.0,m,orangutan,,1,0,8,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,suaq,4.0,m,orangutan,,1,0,9,testwarmup,different,c,g,1,r,g,0,none
bohn2015communication,1,2013,10,18,suaq,4.0,m,orangutan,,1,1,10,test,different,c,x,1,r,g,1,hq
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,0,1,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,0,2,testwarmup,different,g,c,1,l,g,0,none
bohn2015communication,1,2013,10,19,bimbo,33.0,m,orangutan,,3,0,3,testwarmup,different,g,c,1,l,g,0,none
