study_id,experiment,experiment_name,participant,age_original,age_in_years,sex,species,species_subgroup,session,trial,all_trials,condition,pref,pref_side,decision,side,drop_out
rakoczy2014apes,2,control_heuristics_banana_minority,frodo,208.0,17.0,m,chimpanzee,a,1,3,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,frodo,208.0,17.0,m,chimpanzee,a,1,4,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,frodo,208.0,17.0,m,chimpanzee,a,1,5,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,frodo,208.0,17.0,m,chimpanzee,a,1,6,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,frodo,208.0,17.0,m,chimpanzee,a,2,7,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,frodo,208.0,17.0,m,chimpanzee,a,2,8,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,frodo,208.0,17.0,m,chimpanzee,a,2,9,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,frodo,208.0,17.0,m,chimpanzee,a,2,10,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,frodo,208.0,17.0,m,chimpanzee,a,2,11,12.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,frodo,208.0,17.0,m,chimpanzee,a,2,12,12.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,1,1,7.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,1,2,7.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,1,3,7.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,1,4,7.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,1,1,7.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,1,2,7.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,1,3,7.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,1,4,7.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,1,5,7.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,1,6,7.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,2,7,7.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,2,8,7.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,2,9,7.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,2,10,7.0,test,,,wrong,right,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,2,11,7.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,gorgo,348.0,29.0,m,gorilla,,2,12,7.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,1,1,8.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,1,2,8.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,1,3,8.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,1,4,8.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,1,1,8.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,1,2,8.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,1,3,8.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,1,4,8.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,1,5,8.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,1,6,8.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,2,7,8.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,2,8,8.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,2,9,8.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,2,10,8.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,2,11,8.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,joey,339.0,28.0,m,bonobo,,2,12,8.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,1,1,11.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,1,2,11.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,1,3,11.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,1,4,11.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,1,1,11.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,1,2,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,1,3,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,1,4,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,1,5,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,1,6,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,2,7,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,2,8,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,2,9,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,2,10,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,2,11,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kara,69.0,5.0,f,chimpanzee,a,2,12,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,1,1,11.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,1,2,11.0,pretest,banana,right,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,1,3,11.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,1,4,11.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,1,1,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,1,2,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,1,3,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,1,4,11.0,test,,,wrong,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,1,5,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,1,6,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,2,7,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,2,8,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,2,9,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,2,10,11.0,test,,,correct,left,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,2,11,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kibara,86.0,7.0,f,gorilla,,2,12,11.0,test,,,correct,right,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,1,1,10.0,pretest,banana,left,,,
rakoczy2014apes,2,control_heuristics_banana_minority,kila,129.0,10.0,f,orangutan,,1,2,10.0,pretest,banana,left,,,
