study_id,participant,age_in_years,sex,role,participant_2,age_in_years_2,sex_2,role_2,dyad,species,day,white,brown
leeuwen2013total,pia,12,f,exchanger,,,,,,chimpanzee,2.0,7.0,9.0
leeuwen2013total,lome,10,m,observed,pia,12.0,f,observer,lome_pia,chimpanzee,2.0,,3.0
leeuwen2013total,fraukje,35,f,observed,pia,12.0,f,observer,fraukje_pia,chimpanzee,2.0,,
leeuwen2013total,kara,6,f,observed,pia,12.0,f,observer,kara_pia,chimpanzee,2.0,1.0,
leeuwen2013total,kofi,6,m,observed,pia,12.0,f,observer,kofi_pia,chimpanzee,2.0,,2.0
leeuwen2013total,lobo,7,m,observed,pia,12.0,f,observer,lobo_pia,chimpanzee,2.0,2.0,
leeuwen2013total,swela,16,f,observed,pia,12.0,f,observer,swela_pia,chimpanzee,2.0,,6.0
leeuwen2013total,ulla,34,f,observed,pia,12.0,f,observer,ulla_pia,chimpanzee,2.0,,1.0
leeuwen2013total,dorien,31,f,observed,pia,12.0,f,observer,dorien_pia,chimpanzee,2.0,,
leeuwen2013total,tai,9,f,observed,pia,12.0,f,observer,tai_pia,chimpanzee,3.0,57.0,2.0
leeuwen2013total,pia,12,f,exchanger,,,,,,chimpanzee,3.0,12.0,17.0
leeuwen2013total,lome,10,m,observed,pia,12.0,f,observer,lome_pia,chimpanzee,3.0,,12.0
leeuwen2013total,fraukje,35,f,observed,pia,12.0,f,observer,fraukje_pia,chimpanzee,3.0,,
leeuwen2013total,kara,6,f,observed,pia,12.0,f,observer,kara_pia,chimpanzee,3.0,,3.0
leeuwen2013total,kofi,6,m,observed,pia,12.0,f,observer,kofi_pia,chimpanzee,3.0,1.0,3.0
leeuwen2013total,lobo,7,m,observed,pia,12.0,f,observer,lobo_pia,chimpanzee,3.0,1.0,
leeuwen2013total,swela,16,f,observed,pia,12.0,f,observer,swela_pia,chimpanzee,3.0,,
leeuwen2013total,ulla,34,f,observed,pia,12.0,f,observer,ulla_pia,chimpanzee,3.0,,
leeuwen2013total,dorien,31,f,observed,pia,12.0,f,observer,dorien_pia,chimpanzee,3.0,,
