study_id,experiment,participant,age_in_years,sex,species,session,trial,condition,correct_side,correct_side_1,chosen_side,order_block,order_block2,session_within_block,block,side_with_food_image
volter2018intuitive,4,bimbo,34,m,orangutan,3,27,congruent,l,0.0,r,image_first,1.0,3.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,28,incongruent,r,0.0,l,image_first,1.0,3.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,29,congruent,l,1.0,l,image_first,1.0,3.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,30,incongruent,l,0.0,r,image_first,1.0,3.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,31,congruent,r,0.0,l,image_first,1.0,3.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,32,incongruent,r,1.0,r,image_first,1.0,3.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,33,incongruent,l,1.0,l,image_first,1.0,3.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,34,incongruent,r,0.0,l,image_first,1.0,3.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,35,congruent,r,1.0,r,image_first,1.0,3.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,3,36,congruent,l,1.0,l,image_first,1.0,3.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,37,congruent,r,0.0,l,image_first,1.0,4.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,38,incongruent,r,1.0,r,image_first,1.0,4.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,39,congruent,l,0.0,r,image_first,1.0,4.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,40,incongruent,l,1.0,l,image_first,1.0,4.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,41,congruent,r,0.0,l,image_first,1.0,4.0,image,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,42,congruent,l,1.0,l,image_first,1.0,4.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,43,incongruent,l,0.0,r,image_first,1.0,4.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,44,incongruent,r,0.0,l,image_first,1.0,4.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,45,congruent,r,1.0,r,image_first,1.0,4.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,46,congruent,l,1.0,l,image_first,1.0,4.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,47,incongruent,l,0.0,r,image_first,1.0,4.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,4,48,incongruent,r,0.0,l,image_first,1.0,4.0,image,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,49,congruent,r,1.0,r,image_first,2.0,1.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,50,incongruent,l,1.0,l,image_first,2.0,1.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,51,incongruent,r,1.0,r,image_first,2.0,1.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,52,congruent,l,0.0,r,image_first,2.0,1.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,53,incongruent,l,0.0,r,image_first,2.0,1.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,54,incongruent,r,1.0,r,image_first,2.0,1.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,55,congruent,l,1.0,l,image_first,2.0,1.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,56,congruent,r,1.0,r,image_first,2.0,1.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,57,incongruent,r,1.0,r,image_first,2.0,1.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,58,congruent,l,0.0,r,image_first,2.0,1.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,59,congruent,r,1.0,r,image_first,2.0,1.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,5,60,incongruent,l,0.0,r,image_first,2.0,1.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,61,congruent,l,1.0,l,image_first,2.0,2.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,62,congruent,r,0.0,l,image_first,2.0,2.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,63,incongruent,r,0.0,l,image_first,2.0,2.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,64,incongruent,l,1.0,l,image_first,2.0,2.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,65,incongruent,l,1.0,l,image_first,2.0,2.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,66,congruent,l,0.0,r,image_first,2.0,2.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,67,congruent,r,0.0,l,image_first,2.0,2.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,68,incongruent,r,1.0,r,image_first,2.0,2.0,mirror,0.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,69,incongruent,l,0.0,r,image_first,2.0,2.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,70,incongruent,r,0.0,l,image_first,2.0,2.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,71,congruent,r,1.0,r,image_first,2.0,2.0,mirror,1.0
volter2018intuitive,4,bimbo,34,m,orangutan,6,72,congruent,l,0.0,r,image_first,2.0,2.0,mirror,0.0
