study_id,year,month,day,participant,age_in_years,sex,species,session,trial,apparatus,start_time,end_time,finger,lift,shoot,success_action
manrique2013repeated,2009,9,2,alexandra,10,f,chimpanzee,3,16,1,"1'45""","1'49""",1,0,0,finger
manrique2013repeated,2009,9,2,alexandra,10,f,chimpanzee,3,17,1,"2'06""","2'14""",1,0,0,finger
manrique2013repeated,2009,9,2,alexandra,10,f,chimpanzee,3,18,1,"2'25""","2'30""",1,0,0,finger
manrique2013repeated,2009,9,2,alexandra,10,f,chimpanzee,3,19,1,"2'47""",2'59,1,0,0,finger
manrique2013repeated,2009,9,2,alexandra,10,f,chimpanzee,3,20,1,"3'12""","3'18""",1,0,0,finger
manrique2013repeated,2009,9,3,alexandra,10,f,chimpanzee,1,1,2,"0'28""","1'48""",5,1,0,lift
manrique2013repeated,2009,9,3,alexandra,10,f,chimpanzee,1,2,2,"2'28""","2'39""",0,1,0,lift
manrique2013repeated,2009,9,3,alexandra,10,f,chimpanzee,1,3,2,"2'54""","3'02""",0,1,0,lift
manrique2013repeated,2009,9,3,alexandra,10,f,chimpanzee,1,4,2,"3'16""","3'27""",0,2,0,lift
manrique2013repeated,2009,9,3,alexandra,10,f,chimpanzee,1,5,2,"3'52""","3'59""",0,1,0,lift
manrique2013repeated,2009,9,3,alexandra,10,f,chimpanzee,1,6,2,"4'16""","4'39""",0,1,0,lift
manrique2013repeated,2009,9,3,alexandra,10,f,chimpanzee,1,7,2,"4'54""",5',0,1,0,lift
manrique2013repeated,2009,9,3,alexandra,10,f,chimpanzee,1,8,2,"5'29""","5'39""",0,1,0,lift
manrique2013repeated,2009,9,3,alexandra,10,f,chimpanzee,1,9,2,"5'58""","6'17""",0,3,0,lift
manrique2013repeated,2009,9,3,alexandra,10,f,chimpanzee,1,10,2,"6'38""","7'07""",0,1,0,lift
manrique2013repeated,2009,9,4,alexandra,10,f,chimpanzee,2,11,2,"0'42""","0'50""",0,1,0,lift
manrique2013repeated,2009,9,4,alexandra,10,f,chimpanzee,2,12,2,"1'26""","1'52""",0,4,0,lift
manrique2013repeated,2009,9,4,alexandra,10,f,chimpanzee,2,13,2,"2'11""","2'31""",0,2,0,lift
manrique2013repeated,2009,9,4,alexandra,10,f,chimpanzee,2,14,2,"2'49""","3'08""",0,1,0,lift
manrique2013repeated,2009,9,4,alexandra,10,f,chimpanzee,2,15,2,"3'25""","3'29""",0,1,0,lift
manrique2013repeated,2009,9,4,alexandra,10,f,chimpanzee,2,16,2,"3'45""","3'49""",0,1,0,lift
manrique2013repeated,2009,9,4,alexandra,10,f,chimpanzee,2,17,2,"3'59""","4'04""",0,1,0,lift
manrique2013repeated,2009,9,4,alexandra,10,f,chimpanzee,2,18,2,"4'20""","4'23""",0,1,0,lift
manrique2013repeated,2009,9,4,alexandra,10,f,chimpanzee,2,19,2,"4'37""","4'51""",0,1,0,lift
manrique2013repeated,2009,9,4,alexandra,10,f,chimpanzee,2,20,2,"5'05""","5'16""",0,2,0,lift
manrique2013repeated,2009,9,5,alexandra,10,f,chimpanzee,1,1,3,"0'21""","3'04""",0,6,15,shoot
manrique2013repeated,2009,9,5,alexandra,10,f,chimpanzee,1,2,3,"3'52""","4'02""",0,1,4,shoot
manrique2013repeated,2009,9,5,alexandra,10,f,chimpanzee,1,3,3,"4'22""","4'30""",0,0,5,shoot
manrique2013repeated,2009,9,5,alexandra,10,f,chimpanzee,1,4,3,"5'29""","6'10""",0,2,29,shoot
manrique2013repeated,2009,9,5,alexandra,10,f,chimpanzee,1,5,3,"6'20""","6'23""",0,0,2,shoot
manrique2013repeated,2009,9,5,alexandra,10,f,chimpanzee,1,6,3,"6'37""","6'55""",0,0,1,shoot
manrique2013repeated,2009,9,5,alexandra,10,f,chimpanzee,1,7,3,"7'11""","7'17""",0,0,4,shoot
manrique2013repeated,2009,9,5,alexandra,10,f,chimpanzee,1,8,3,"7'40""","7'50""",0,0,15,shoot
