"study_id","experiment_name","year","month","day","participant","age_original","age_in_years","sex","species","species_subgroup","session","trial","condition","app_left","app_right","side_indicated","cho2","code2"
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,8,"arbitrary","b","a","l","l",0
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,9,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,10,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,11,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,9,28,"fraukje",36.48,36,"f","chimpanzee","a",5,12,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,1,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,2,"arbitrary","b","a","l","l",0
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,3,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,4,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,5,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,6,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,7,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,8,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,9,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,10,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,11,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,1,"fraukje",36.49,36,"f","chimpanzee","a",6,12,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,1,"arbitrary","b","a","l","l",0
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,2,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,3,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,4,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,5,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,6,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,7,"arbitrary","b","a","r","l",0
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,8,"arbitrary","b","a","l","l",1
"bohn2016comprehension","1b",2012,10,4,"fraukje",36.49,36,"f","chimpanzee","a",7,9,"arbitrary","b","a","r","l",0
