study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,ls_or_lm_trial,1st_amount_chosen,2nd_amount_chosen,1st_choice_container,2nd_choice_container
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,10.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,11.0,no-transfer-4-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,12.0,no-transfer-4-cup,lm_trial,larger_quantity,no_testing_trial,multiple_cups,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,13.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,14.0,4-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,15.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,16.0,no-transfer-8-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,17.0,no-transfer-8-cup,lm_trial,smaller_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,18.0,4-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,19.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,15,limbuko,6.0,m,bonobo,5,20.0,8-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,1.0,no-transfer-8-cup,ls_trial,larger_quantity,no_testing_trial,single_cup,no_testing_trial
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,2.0,8-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,3.0,8-cup,ls_trial,larger_quantity,larger_quantity,single_cup,single_cup
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,4.0,4-cup,lm_trial,larger_quantity,larger_quantity,single_cup,multiple_cups
suda2004piagetian,4.0,2002,03,19,limbuko,6.0,m,bonobo,6,5.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,single_cup,no_testing_trial
