study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,lc_or_lt_trial,1st_amount_chosen,2nd_amount_chosen,2nd_choice_container,2nd_choice_side,2nd_choice_hesitation
suda2004piagetian,1.0,2002,01,29,joey,19.0,m,bonobo,6,6.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,29,joey,19.0,m,bonobo,6,7.0,clear-different,lt_trial,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,29,joey,19.0,m,bonobo,6,8.0,opaque-different,lc_trial,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,29,joey,19.0,m,bonobo,6,9.0,opaque-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,29,joey,19.0,m,bonobo,6,10.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,30,joey,19.0,m,bonobo,7,1.0,clear-different,lt_trial,larger_quantity,larger_quantity,tube,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,30,joey,19.0,m,bonobo,7,2.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,30,joey,19.0,m,bonobo,7,3.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,30,joey,19.0,m,bonobo,7,4.0,opaque-different,lc_trial,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,30,joey,19.0,m,bonobo,7,5.0,opaque-same,no_trial_type,larger_quantity,smaller_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,30,joey,19.0,m,bonobo,7,6.0,opaque-different,lt_trial,larger_quantity,smaller_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,30,joey,19.0,m,bonobo,7,7.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,30,joey,19.0,m,bonobo,7,8.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,30,joey,19.0,m,bonobo,7,9.0,opaque-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,30,joey,19.0,m,bonobo,7,10.0,clear-different,lc_trial,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,31,joey,19.0,m,bonobo,8,1.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,no_testing_trial,no_testing_trial,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,31,joey,19.0,m,bonobo,8,2.0,clear-different,lc_trial,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,31,joey,19.0,m,bonobo,8,3.0,opaque-different,lc_trial,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,31,joey,19.0,m,bonobo,8,4.0,clear-same,no_trial_type,larger_quantity,larger_quantity,cup,right,no_hesitation_or_no_testing_trial
suda2004piagetian,1.0,2002,01,31,joey,19.0,m,bonobo,8,5.0,opaque-same,no_trial_type,larger_quantity,larger_quantity,cup,left,no_hesitation_or_no_testing_trial
