study_id,experiment,year,month,day,participant,age_in_years,sex,species,session,trial,trial_type,ld_or_lt_trial,1st_amount_chosen,2nd_amount_chosen,1st_choice_container,2nd_choice_container,1st_choice_side,2nd_choice_side,1st_choice_hesitation,2nd_choice_hesitation
suda2004piagetian,2.0,2002,02,13,joey,19.0,m,bonobo,5,6.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,13,joey,19.0,m,bonobo,5,7.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,13,joey,19.0,m,bonobo,5,8.0,no-transfer-different,lt_trial,smaller_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,13,joey,19.0,m,bonobo,5,9.0,no-transfer-different,ld_trial,larger_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,13,joey,19.0,m,bonobo,5,10.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,13,joey,19.0,m,bonobo,5,11.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,13,joey,19.0,m,bonobo,5,12.0,no-transfer-different,ld_trial,larger_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,13,joey,19.0,m,bonobo,5,13.0,transfer-different,lt_trial,larger_quantity,smaller_quantity,cup,dish,right,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,13,joey,19.0,m,bonobo,5,14.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,13,joey,19.0,m,bonobo,5,15.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,left,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,1.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,2.0,no-transfer-different,lt_trial,smaller_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,3.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,4.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,right,right,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,5.0,transfer-different,ld_trial,larger_quantity,larger_quantity,cup,dish,left,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,6.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,7.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,8.0,transfer-different,ld_trial,larger_quantity,larger_quantity,cup,dish,right,right,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,9.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,10.0,transfer-different,ld_trial,larger_quantity,larger_quantity,cup,dish,left,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,11.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,right,right,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,12.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,right,right,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,13.0,no-transfer-different,lt_trial,smaller_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,14.0,no-transfer-different,ld_trial,larger_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,14,joey,19.0,m,bonobo,6,15.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,1.0,transfer-different,lt_trial,larger_quantity,smaller_quantity,cup,dish,left,right,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,2.0,no-transfer-different,ld_trial,larger_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,3.0,no-transfer-different,lt_trial,smaller_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,4.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,5.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,right,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,6.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,right,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,7.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,8.0,transfer-different,lt_trial,larger_quantity,smaller_quantity,cup,dish,right,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,9.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,10.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,11.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,12.0,no-transfer-different,lt_trial,smaller_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,13.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,right,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,14.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,15,joey,19.0,m,bonobo,7,15.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,right,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,1.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,2.0,no-transfer-different,ld_trial,larger_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,3.0,transfer-different,lt_trial,larger_quantity,smaller_quantity,cup,dish,left,right,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,4.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,5.0,transfer-different,ld_trial,larger_quantity,larger_quantity,cup,dish,left,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,6.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,7.0,transfer-different,ld_trial,larger_quantity,larger_quantity,cup,dish,right,right,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,8.0,no-transfer-different,ld_trial,larger_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,9.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,10.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,11.0,transfer-different,lt_trial,larger_quantity,smaller_quantity,cup,dish,right,left,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,12.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,right,right,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,13.0,no_testing_trial,no_trial_type,larger_quantity,no_testing_trial,cup,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,14.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,right,right,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,18,joey,19.0,m,bonobo,8,15.0,no-transfer-different,lt_trial,smaller_quantity,no_testing_trial,dish,no_testing_trial,left,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,07,kuno,5.0,m,bonobo,1,1.0,no-transfer-same,no_trial_type,larger_quantity,no_testing_trial,dish,no_testing_trial,right,no_testing_trial,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,07,kuno,5.0,m,bonobo,1,2.0,transfer-same,no_trial_type,larger_quantity,larger_quantity,cup,dish,left,right,no_hesitation,no_hesitation_or_no_testing_trial
suda2004piagetian,2.0,2002,02,07,kuno,5.0,m,bonobo,1,3.0,transfer-different,lt_trial,larger_quantity,smaller_quantity,cup,dish,left,right,no_hesitation,no_hesitation_or_no_testing_trial
