study_id,experiment,participant,age_in_years,sex,species,number_trials,lop,num_levels,order,configuration_id,repetition,t1_planning,t1_success,change_direction,sum_nonplan_error_lev1,sum_planning_errors,sum_non_planning_errors
volter2014younger,2,kila,11,f,orangutan,1,2,2,8,20,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,0,3,9,4,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,2,1,2,10,15,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,1,2,11,13,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,2,2,12,18,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,2,2,2,13,21,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,0,3,14,3,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,2,2,2,15,19,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,1,2,16,14,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,1,0,3,17,1,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,3,2,2,18,22,2,0,0,1.0,0.0,1.0,1.0
volter2014younger,2,kila,11,f,orangutan,1,1,2,19,16,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,2,0,3,20,5,2,0,0,0.0,1.0,0.0,1.0
volter2014younger,2,kila,11,f,orangutan,1,1,2,21,9,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kila,11,f,orangutan,2,2,2,22,17,2,0,0,2.0,0.0,1.0,0.0
volter2014younger,2,kila,11,f,orangutan,3,2,2,23,24,2,0,0,0.0,0.0,2.0,0.0
volter2014younger,2,kila,11,f,orangutan,2,0,3,24,7,2,0,0,2.0,1.0,0.0,1.0
volter2014younger,2,kofi,6,m,chimpanzee,2,2,2,1,24,1,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,2,15,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,3,6,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,4,13,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,5,3,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,6,16,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,2,1,2,7,11,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,8,1,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,3,2,2,9,22,1,0,0,1.0,0.0,2.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,4,2,2,10,17,1,0,0,2.0,0.0,3.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,11,12,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,12,10,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,13,4,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,3,2,2,14,19,1,0,0,1.0,0.0,2.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,15,2,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,16,14,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,2,2,17,18,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,18,8,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,2,2,19,21,1,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,20,7,1,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,21,5,1,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,3,2,2,22,23,1,0,0,2.0,0.0,2.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,23,14,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,2,2,24,18,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,1,5,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,2,1,2,2,11,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,3,2,2,3,23,2,0,0,2.0,0.0,2.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,4,1,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,5,4,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,2,1,2,6,9,1,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,2,2,7,24,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,2,2,8,22,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,9,16,2,1,1,0.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,10,3,2,1,1,2.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,11,8,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,12,13,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,1,2,13,15,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,2,2,2,14,21,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,2,2,2,15,19,2,0,0,1.0,0.0,1.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,16,6,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,17,2,2,1,1,1.0,0.0,0.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,2,1,2,18,10,2,0,0,0.0,0.0,1.0,0.0
volter2014younger,2,kofi,6,m,chimpanzee,1,0,3,19,7,2,1,1,2.0,0.0,0.0,0.0
