study_id,experiment,participant,age_in_years,sex,species,number_trials,condition,lop,num_levels,changes_direction,order,new_order,configuration_id,repetition,t1_planning,t1_success,test_value,diff_num_trials
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,1,2,0.0,46,24.0,14,1,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,1,1,0.0,25,1.0,12,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,2,clear,2,2,1.0,26,2.0,21,2,0,0,4.0,-2.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,0,2,0.0,27,3.0,1,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,2,clear,1,1,1.0,28,4.0,11,2,0,0,4.0,-2.0
volter2014younger,1,fifi,18,f,chimpanzee,4,clear,2,1,1.0,29,5.0,18,2,0,0,4.0,0.0
volter2014younger,1,fifi,18,f,chimpanzee,2,clear,0,2,1.0,30,6.0,7,2,0,0,4.0,-2.0
volter2014younger,1,fifi,18,f,chimpanzee,2,clear,1,2,0.0,31,7.0,15,2,0,0,4.0,-2.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,0,2,1.0,32,8.0,3,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,2,2,1.0,33,9.0,24,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,0,2,1.0,34,10.0,2,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,1,1,1.0,35,11.0,10,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,0,2,1.0,36,12.0,5,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,2,2,0.0,37,13.0,23,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,2,clear,1,2,1.0,38,14.0,13,2,0,0,4.0,-2.0
volter2014younger,1,fifi,18,f,chimpanzee,2,clear,2,1,0.0,39,15.0,17,2,0,0,4.0,-2.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,0,2,0.0,40,16.0,8,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,1,1,0.0,42,17.0,9,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,2,clear,0,2,0.0,43,18.0,4,2,0,0,4.0,-2.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,0,2,0.0,44,19.0,6,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,2,2,0.0,45,20.0,22,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,2,1,1.0,47,21.0,19,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,3,clear,1,2,1.0,48,22.0,16,2,0,0,4.0,-1.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,1,2,0.0,49,23.0,14,2,1,1,4.0,-3.0
volter2014younger,1,fifi,18,f,chimpanzee,1,clear,2,1,0.0,50,24.0,20,2,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,17,clear,0,2,0.0,1,1.0,8,1,0,0,4.0,13.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,2,2,0.0,2,2.0,23,1,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,1,clear,2,1,0.0,3,3.0,20,1,1,1,4.0,-3.0
volter2014younger,1,kibara,7,f,gorilla,3,clear,0,2,1.0,4,4.0,2,1,1,0,4.0,-1.0
volter2014younger,1,kibara,7,f,gorilla,5,clear,0,2,1.0,5,5.0,7,1,0,0,4.0,1.0
volter2014younger,1,kibara,7,f,gorilla,2,clear,1,2,1.0,6,6.0,13,1,0,0,4.0,-2.0
volter2014younger,1,kibara,7,f,gorilla,5,clear,0,2,1.0,7,7.0,3,1,1,0,4.0,1.0
volter2014younger,1,kibara,7,f,gorilla,17,clear,2,2,1.0,8,8.0,24,1,0,0,4.0,13.0
volter2014younger,1,kibara,7,f,gorilla,3,clear,1,1,1.0,9,9.0,10,1,1,0,4.0,-1.0
volter2014younger,1,kibara,7,f,gorilla,17,clear,2,1,1.0,10,10.0,19,1,0,0,4.0,13.0
