study_id,experiment_name,participant,sex,role,participant_2,sex_2,role_2,species,dyad,session,trial,condition,a_baited_focal_participant_bc_acts,b_baited_partner_a_acts
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,10,2,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,10,3,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,10,4,control,0.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,10,5,control,1.0,
amici2014calculated,reciprocity_task,bimbo,m,focal_participant_bc,,,,orangutan,bimbo_raja,10,6,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,1,1,control,0.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,1,2,control,0.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,1,3,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,1,4,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,1,5,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,1,6,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,2,1,control,0.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,2,2,control,0.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,2,3,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,2,4,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,2,5,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,2,6,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,3,1,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,3,2,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,3,3,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,3,4,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,3,5,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,3,6,control,0.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,4,1,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,4,2,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,4,3,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,4,4,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,4,5,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,4,6,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,5,1,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,5,2,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,5,3,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,5,4,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,5,5,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,5,6,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,6,1,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,6,2,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,6,3,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,6,4,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,6,5,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,6,6,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,7,1,control,1.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,7,2,control,0.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,7,3,control,0.0,
amici2014calculated,reciprocity_task,fifi,f,focal_participant_bc,,,,chimpanzee,fifi_jahaga,7,4,control,0.0,
