study_id,experiment,experiment_name,participant,sex,species,session,trial_number,trial_type,location,reward,reward_codes
volter2014great,0,pilot_1,dorien,f,chimpanzee,1,4.0,exp,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,1,5.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,1,6.0,base,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,1,7.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,1,8.0,base,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,1,9.0,exp,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,1,10.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,1,11.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,1,12.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,1.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,2.0,base,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,3.0,exp,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,4.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,5.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,6.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,7.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,8.0,exp,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,9.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,10.0,base,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,11.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,2,12.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,1.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,2.0,base,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,3.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,4.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,5.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,6.0,base,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,7.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,8.0,base,l,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,9.0,exp,r,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,10.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,11.0,base,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,3,12.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,1.0,con,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,2.0,exp,l,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,3.0,base,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,4.0,con,l,0.0,incorrect
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,5.0,base,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,6.0,exp,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,7.0,base,l,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,8.0,exp,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,9.0,con,r,1.0,correct
volter2014great,0,pilot_1,dorien,f,chimpanzee,4,10.0,exp,l,1.0,correct
