study_id,experiment,publication_status,participant,age_in_years,sex,species,phase,session,trial,order_condition,demonstration,order_a,first_response,first_response_side,blicket_object,first_response_correct,second_response,second_response_side,ac_side,second_response_correct
volter2016great,5,unpublished,fraukje,38,f,chimpanzee,training,1.0,1,,intervention,,0,, d_a_c_b,,1.0,,right,
volter2016great,5,unpublished,fraukje,38,f,chimpanzee,training,1.0,2,,intervention,,1,, d_a_b_c,,,,left,
volter2016great,5,unpublished,fraukje,38,f,chimpanzee,test,2.0,3,bb_first,intervention,bfirst,0,, d_c_a_b,,,,right,
volter2016great,5,unpublished,fraukje,38,f,chimpanzee,test,3.0,4,bb_first,intervention,bfirst,0,, c_d_a_b,,,,right,
volter2016great,5,unpublished,frodo,21,m,chimpanzee,training,1.0,1,,intervention,,/,, a_d_c_b,,,,left,
volter2016great,5,unpublished,frodo,21,m,chimpanzee,training,1.0,2,,intervention,,,, b_c_d_a,,,,right,
volter2016great,5,unpublished,frodo,21,m,chimpanzee,training,2.0,3,,intervention,,,, a_d_c_b,,,,right,
volter2016great,5,unpublished,frodo,21,m,chimpanzee,training,2.0,4,,intervention,,/,, b_c_d_a,,,,left,
volter2016great,5,unpublished,frodo,21,m,chimpanzee,test,3.0,5,bb_first,intervention,afirst,,, d_a_c_b,,,,left,
volter2016great,5,unpublished,frodo,21,m,chimpanzee,test,4.0,6,bb_first,intervention,afirst,,, c_a_b_d,,,,left,
volter2016great,5,unpublished,jahaga,22,f,chimpanzee,training,1.0,1,,intervention,,1,, a_c_b_d,,,,right,
volter2016great,5,unpublished,jahaga,22,f,chimpanzee,training,1.0,2,,intervention,,1,, b_a_c_d,,,,left,
volter2016great,5,unpublished,jahaga,22,f,chimpanzee,test,2.0,3,bb_first,intervention,afirst,1,, a_c_d_b,,,,left,
volter2016great,5,unpublished,jahaga,22,f,chimpanzee,test,3.0,4,bb_first,intervention,afirst,0,, b_a_c_d,,,,left,
volter2016great,5,unpublished,kara,9,f,chimpanzee,training,1.0,1,,intervention,,1,, d_b_a_c,,,,right,
volter2016great,5,unpublished,kara,9,f,chimpanzee,training,1.0,2,,intervention,,1,, b_a_d_c,,,,left,
volter2016great,5,unpublished,kara,9,f,chimpanzee,test,2.0,3,bb_first,intervention,bfirst,1,, b_a_d_c,,,,right,
volter2016great,5,unpublished,kara,9,f,chimpanzee,test,3.0,4,bb_first,intervention,bfirst,0,, b_d_c_a,,,,right,
volter2016great,5,unpublished,kofi,9,m,chimpanzee,training,1.0,1,,intervention,,0,, c_d_b_a,,0.0,,right,
volter2016great,5,unpublished,kofi,9,m,chimpanzee,training,1.0,2,,intervention,,1,, a_c_b_d,,,,left,
volter2016great,5,unpublished,kofi,9,m,chimpanzee,training,2.0,3,,intervention,,1,, c_d_b_a,,,,left,
volter2016great,5,unpublished,kofi,9,m,chimpanzee,training,2.0,4,,intervention,,1,, a_c_b_d,,,,right,
volter2016great,5,unpublished,kofi,9,m,chimpanzee,test,3.0,5,is_first,intervention,afirst,1,, d_b_a_c,,,,left,
volter2016great,5,unpublished,kofi,9,m,chimpanzee,test,4.0,6,is_first,intervention,afirst,0,, a_d_c_b,,,,left,
volter2016great,5,unpublished,lobo,10,m,chimpanzee,training,1.0,1,,intervention,,0,, c_a_d_b,,0.0,,right,
volter2016great,5,unpublished,lobo,10,m,chimpanzee,training,1.0,2,,intervention,,1,, c_a_b_d,,,,left,
volter2016great,5,unpublished,lobo,10,m,chimpanzee,training,2.0,3,,intervention,,1,, c_a_d_b,,,,right,
volter2016great,5,unpublished,lobo,10,m,chimpanzee,training,2.0,4,,intervention,,1,, c_a_b_d,,,,left,
volter2016great,5,unpublished,lobo,10,m,chimpanzee,test,3.0,5,is_first,intervention,bfirst,1,, c_a_b_d,,,,right,
volter2016great,5,unpublished,lobo,10,m,chimpanzee,test,4.0,6,is_first,intervention,bfirst,0,, a_c_d_b,,,,right,
volter2016great,5,unpublished,lome,13,m,chimpanzee,training,1.0,1,,intervention,,0,, b_a_d_c,,0.0,,left,
volter2016great,5,unpublished,lome,13,m,chimpanzee,training,1.0,2,,intervention,,1,, c_d_a_b,,,,right,
volter2016great,5,unpublished,lome,13,m,chimpanzee,training,2.0,3,,intervention,,0,, b_a_d_c,,1.0,,right,
volter2016great,5,unpublished,lome,13,m,chimpanzee,training,2.0,4,,intervention,,0,, c_d_a_b,,0.0,,left,
volter2016great,5,unpublished,lome,13,m,chimpanzee,test,3.0,5,is_first,intervention,afirst,,, b_c_a_d,,,,left,
volter2016great,5,unpublished,lome,13,m,chimpanzee,test,4.0,6,is_first,intervention,afirst,,, d_a_c_b,,,,left,
volter2016great,5,unpublished,natascha,34,f,chimpanzee,training,1.0,1,,intervention,,1,, d_b_c_a,,,,right,
volter2016great,5,unpublished,natascha,34,f,chimpanzee,training,1.0,2,,intervention,,0,, a_d_c_b,,0.0,,left,
volter2016great,5,unpublished,natascha,34,f,chimpanzee,training,2.0,3,,intervention,,1,, d_b_c_a,,,,left,
volter2016great,5,unpublished,natascha,34,f,chimpanzee,training,2.0,4,,intervention,,0,, a_d_c_b,,0.0,,right,
volter2016great,5,unpublished,natascha,34,f,chimpanzee,test,3.0,5,bb_first,intervention,afirst,,, b_d_a_c,,,,left,
volter2016great,5,unpublished,natascha,34,f,chimpanzee,test,4.0,6,bb_first,intervention,afirst,,, b_c_a_d,,,,left,
volter2016great,5,unpublished,riet,37,f,chimpanzee,training,1.0,1,,intervention,,/,, d_c_b_a,,,,right,
volter2016great,5,unpublished,riet,37,f,chimpanzee,training,1.0,2,,intervention,,,,a_b_c_d,,,,left,
volter2016great,5,unpublished,riet,37,f,chimpanzee,training,2.0,1,,intervention,,/,, d_c_b_a,,,,right,
volter2016great,5,unpublished,riet,37,f,chimpanzee,training,2.0,2,,intervention,,,,a_b_c_d,,,,left,
volter2016great,5,unpublished,riet,37,f,chimpanzee,training,3.0,1,,intervention,,/,, d_c_b_a,,,,right,
volter2016great,5,unpublished,riet,37,f,chimpanzee,training,3.0,2,,intervention,,,,a_b_c_d,,,,left,
volter2016great,5,unpublished,riet,37,f,chimpanzee,training,4.0,1,,intervention,,/,, d_c_b_a,,,,right,
volter2016great,5,unpublished,riet,37,f,chimpanzee,training,4.0,2,,intervention,,,,a_b_c_d,,,,left,
volter2016great,5,unpublished,riet,37,f,chimpanzee,training,5.0,3,,intervention,,,, d_c_b_a,,,,left,
volter2016great,5,unpublished,riet,37,f,chimpanzee,training,5.0,4,,intervention,,,,a_b_c_d,,,,right,
volter2016great,5,unpublished,riet,37,f,chimpanzee,test,6.0,5,is_first,intervention,afirst,,, a_d_b_c,,,,left,
volter2016great,5,unpublished,riet,37,f,chimpanzee,test,7.0,6,is_first,intervention,afirst,,, c_b_a_d,,,,left,
volter2016great,5,unpublished,sandra,21,f,chimpanzee,training,1.0,1,,intervention,,0,, b_c_d_a,,0.0,,right,
