study_id,experiment,participant,age_in_years,sex,species,trial,condition,food_on_left,food_on_right,choice,choice_codes,success
call2004inferences,6,n’kwango,,m,gorilla,14.0,control,no,yes,2.0,left,1.0
call2004inferences,6,n’kwango,,m,gorilla,15.0,control,yes,no,1.0,right,1.0
call2004inferences,6,n’kwango,,m,gorilla,16.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,n’kwango,,m,gorilla,17.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,n’kwango,,m,gorilla,18.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,n’kwango,,m,gorilla,19.0,control,yes,no,1.0,right,1.0
call2004inferences,6,n’kwango,,m,gorilla,20.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,n’kwango,,m,gorilla,21.0,control,no,yes,2.0,left,1.0
call2004inferences,6,n’kwango,,m,gorilla,22.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,n’kwango,,m,gorilla,23.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,n’kwango,,m,gorilla,24.0,experimental_recorded_sound,no,yes,2.0,left,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,1.0,control,no,yes,2.0,left,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,2.0,control,yes,no,1.0,right,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,3.0,baseline,no,yes,2.0,left,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,4.0,baseline,yes,no,1.0,right,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,5.0,experimental_recorded_sound,yes,no,2.0,left,0.0
call2004inferences,6,n’diki,24.0,f,gorilla,6.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,n’diki,24.0,f,gorilla,7.0,experimental_recorded_sound,yes,no,1.0,right,1.0
call2004inferences,6,n’diki,24.0,f,gorilla,8.0,experimental_recorded_sound,no,yes,1.0,right,0.0
call2004inferences,6,n’diki,24.0,f,gorilla,9.0,baseline,no,yes,2.0,left,1.0
