study_id,experiment,participant,age_in_years,sex,species,session,trial,continuous_trial,condition,food_on_left,food_on_right,choice,choice_codes,success
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,7.0,7.0,control,no,yes,1.0,right,0.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,8.0,8.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,9.0,9.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,10.0,10.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,11.0,11.0,control,yes,no,1.0,right,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,1.0,12.0,12.0,audition,no,yes,2.0,left,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,13.0,13.0,control,yes,no,1.0,right,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,14.0,14.0,audition,no,yes,1.0,right,0.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,15.0,15.0,control,no,yes,2.0,left,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,16.0,16.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,17.0,17.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,18.0,18.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,19.0,19.0,vision,yes,no,1.0,right,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,20.0,20.0,control,no,yes,1.0,right,0.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,21.0,21.0,audition,no,yes,1.0,right,0.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,22.0,22.0,control,yes,no,1.0,right,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,23.0,23.0,vision,no,yes,2.0,left,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,2.0,24.0,24.0,audition,yes,no,2.0,left,0.0
call2004inferences,1,gorgo,20.0,m,gorilla,3.0,1.0,25.0,control,no,yes,2.0,left,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,3.0,2.0,26.0,audition,yes,no,1.0,right,1.0
call2004inferences,1,gorgo,20.0,m,gorilla,3.0,3.0,27.0,vision,no,yes,2.0,left,1.0
