study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,condition,yawn_baseline,yawn_experimental,nosewipe_baseline,nosewipe_experimental,scratch_baseline,scratch_experimental,wristshake_baseline,wristshake_experimental,handclose_baseline,handclose_experimental
amici2014response,1,task_1_imitation_1_human,2006,2,24,alexandra,6,f,chimpanzee,nose_wiping,0.0,0.0,4.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,15,alexandra,6,f,chimpanzee,scratching,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,15,alexandra,6,f,chimpanzee,scratching,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,4,16,alexandra,6,f,chimpanzee,wrist_shaking,0.0,0.0,3.0,3.0,0.0,0.0,2.0,1.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,27,alexandra,6,f,chimpanzee,wrist_shaking,0.0,0.0,3.0,1.0,22.0,8.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,13,alexandra,6,f,chimpanzee,yawning,0.0,0.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2005,12,16,alexandra,6,f,chimpanzee,yawning,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,27,annett,6,f,chimpanzee,hand_closing,0.0,0.0,23.0,16.0,5.0,7.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,4,16,annett,6,f,chimpanzee,hand_closing,0.0,0.0,14.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,15,annett,6,f,chimpanzee,nose_wiping,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,1,16,annett,6,f,chimpanzee,nose_wiping,0.0,0.0,6.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,24,annett,6,f,chimpanzee,scratching,0.0,0.0,6.0,12.0,2.0,2.0,0.0,0.0,0.0,0.0
amici2014response,1,task_1_imitation_1_human,2006,2,24,annett,6,f,chimpanzee,scratching,0.0,0.0,9.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
