study_id,experiment,experiment_name,year,month,day,participant,age_in_years,sex,species,session,trial,condition,yawn_pre,yawn_video,yawn_post,nosewipe_pre,nosewipe_video,nosewipe_post,scratch_pre,scratch_video,scratch_post
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,robert,30,m,chimpanzee,1.0,1.0,yawning,0,0,0.0,1,1,0,5,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,10,robert,30,m,chimpanzee,2.0,2.0,nose_wiping,0,0,0.0,3,5,2,11,16,6
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,robert,30,m,chimpanzee,2.0,2.0,scratching,0,1,0.0,1,1,5,3,15,4
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,robert,30,m,chimpanzee,2.0,2.0,yawning,0,0,0.0,2,0,1,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,10,sandra,12,f,chimpanzee,1.0,1.0,nose_wiping,0,0,0.0,0,0,0,1,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,sandra,12,f,chimpanzee,1.0,1.0,scratching,0,0,0.0,2,0,1,3,2,2
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,sandra,12,f,chimpanzee,1.0,1.0,yawning,0,0,0.0,0,0,1,0,2,3
amici2014response,2,task_2_imitation_1b_ape,2006,3,10,sandra,12,f,chimpanzee,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,3,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,2,10,sandra,12,f,chimpanzee,2.0,2.0,scratching,0,0,0.0,0,1,0,3,2,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,2,sandra,12,f,chimpanzee,2.0,2.0,yawning,0,0,0.0,0,0,1,4,0,2
amici2014response,2,task_2_imitation_1b_ape,2006,2,28,gertrudia,12,f,chimpanzee,1.0,1.0,nose_wiping,0,0,0.0,5,6,6,15,9,13
amici2014response,2,task_2_imitation_1b_ape,2006,4,16,gertrudia,12,f,chimpanzee,1.0,1.0,scratching,0,0,0.0,6,7,2,0,2,0
amici2014response,2,task_2_imitation_1b_ape,2006,1,31,gertrudia,12,f,chimpanzee,1.0,1.0,yawning,0,0,0.0,3,5,3,23,12,52
amici2014response,2,task_2_imitation_1b_ape,2006,2,28,gertrudia,12,f,chimpanzee,2.0,2.0,nose_wiping,0,0,0.0,4,2,3,8,3,18
amici2014response,2,task_2_imitation_1b_ape,2006,4,16,gertrudia,12,f,chimpanzee,2.0,2.0,scratching,0,0,0.0,11,5,4,1,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,9,2,gertrudia,13,f,chimpanzee,2.0,2.0,yawning,0,0,0.0,17,15,21,19,33,26
amici2014response,2,task_2_imitation_1b_ape,2006,2,28,unyoro,9,m,chimpanzee,1.0,1.0,nose_wiping,1,0,2.0,0,0,0,0,2,1
amici2014response,2,task_2_imitation_1b_ape,2006,4,16,unyoro,9,m,chimpanzee,1.0,1.0,scratching,0,0,0.0,1,0,0,2,0,2
amici2014response,2,task_2_imitation_1b_ape,2006,1,30,unyoro,8,m,chimpanzee,1.0,1.0,yawning,0,2,4.0,2,1,0,0,5,2
amici2014response,2,task_2_imitation_1b_ape,2006,2,28,unyoro,9,m,chimpanzee,2.0,2.0,nose_wiping,1,0,0.0,1,0,1,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,4,16,unyoro,9,m,chimpanzee,2.0,2.0,scratching,0,0,0.0,0,1,1,0,8,4
amici2014response,2,task_2_imitation_1b_ape,2006,1,31,unyoro,8,m,chimpanzee,2.0,2.0,yawning,0,0,0.0,0,0,1,5,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,4,3,bebe,26,f,gorilla,1.0,1.0,nose_wiping,0,0,0.0,0,0,0,0,3,4
amici2014response,2,task_2_imitation_1b_ape,2006,4,3,bebe,26,f,gorilla,1.0,1.0,scratching,0,0,0.0,0,0,0,0,2,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,31,bebe,26,f,gorilla,1.0,1.0,yawning,0,0,0.0,0,0,0,2,0,2
amici2014response,2,task_2_imitation_1b_ape,2006,4,3,bebe,26,f,gorilla,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,3,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,4,3,bebe,26,f,gorilla,2.0,2.0,scratching,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,3,31,bebe,26,f,gorilla,2.0,2.0,yawning,0,0,0.0,0,0,0,0,3,1
amici2014response,2,task_2_imitation_1b_ape,2006,3,31,gorgo,24,m,gorilla,1.0,1.0,nose_wiping,1,0,0.0,0,0,0,4,7,0
amici2014response,2,task_2_imitation_1b_ape,2006,4,3,gorgo,24,m,gorilla,1.0,1.0,scratching,0,0,0.0,0,0,0,16,16,31
amici2014response,2,task_2_imitation_1b_ape,2006,3,19,gorgo,24,m,gorilla,1.0,1.0,yawning,10,1,0.0,0,0,0,6,15,43
amici2014response,2,task_2_imitation_1b_ape,2006,3,31,gorgo,24,m,gorilla,2.0,2.0,nose_wiping,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,4,3,gorgo,24,m,gorilla,2.0,2.0,scratching,0,0,0.0,0,0,0,18,9,19
amici2014response,2,task_2_imitation_1b_ape,2006,3,19,gorgo,24,m,gorilla,2.0,2.0,yawning,7,0,0.0,0,0,0,0,10,10
amici2014response,2,task_2_imitation_1b_ape,2006,4,3,n’diki,27,f,gorilla,1.0,1.0,nose_wiping,0,0,0.0,0,0,0,0,0,0
amici2014response,2,task_2_imitation_1b_ape,2006,4,3,n’diki,27,f,gorilla,1.0,1.0,scratching,0,0,0.0,0,0,0,10,0,2
amici2014response,2,task_2_imitation_1b_ape,2006,3,19,n’diki,27,f,gorilla,1.0,1.0,yawning,0,0,0.0,0,0,0,9,1,9
