study_id,participant,age_in_years,sex,species,sessions,trial,lottery,exchange,reward_obtained,visible_probability_of_gain,real_probability_of_gain,cover_position,number_large_visible_rewards,level_of_information,previous_rewards
romain2021non,kibara,7,f,gorilla,15,8,9,yes,large,1,"0,67",cover_right,4,ambiguous,small
romain2021non,kibara,7,f,gorilla,15,9,10,yes,small,"0,5","0,67",cover_middle,2,ambiguous,large
romain2021non,kibara,7,f,gorilla,15,10,20,yes,large,"0,33","0,33",no_cover,2,risk,small
romain2021non,kibara,7,f,gorilla,15,11,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,kibara,7,f,gorilla,15,12,19,no,medium,0,"0,33",cover_left,0,ambiguous,large
romain2021non,kibara,7,f,gorilla,15,13,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,medium
romain2021non,kibara,7,f,gorilla,15,14,1,yes,large,1,1,no_cover,6,risk,small
romain2021non,kibara,7,f,gorilla,15,15,18,yes,small,"0,5","0,33",cover_middle,2,ambiguous,none
romain2021non,kibara,7,f,gorilla,15,16,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,small
romain2021non,kibara,7,f,gorilla,15,17,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,medium
romain2021non,kibara,7,f,gorilla,15,18,2,yes,large,1,1,cover_right,4,ambiguous,small
romain2021non,kibara,7,f,gorilla,15,19,4,yes,large,1,1,cover_left,4,predictability_advantageous,large
romain2021non,kibara,7,f,gorilla,15,20,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,large
romain2021non,kibara,7,f,gorilla,15,21,14,no,medium,"0,5","0,5",cover_middle,2,ambiguous,large
romain2021non,kibara,7,f,gorilla,15,22,16,yes,large,"0,5","0,5",no_cover,3,risk,medium
romain2021non,kibara,7,f,gorilla,15,23,24,no,medium,"0,17","0,17",no_cover,1,risk,large
romain2021non,kibara,7,f,gorilla,15,24,17,no,medium,"0,5","0,33",cover_right,2,predictability_disadvantageous,medium
romain2021non,kibara,7,f,gorilla,15,25,28,no,medium,0,0,no_cover,0,risk,medium
romain2021non,kibara,7,f,gorilla,15,26,15,yes,small,"0,25","0,5",cover_left,1,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,15,27,23,no,medium,0,"0,17",cover_left,0,ambiguous,small
romain2021non,kibara,7,f,gorilla,15,28,12,yes,large,"0,67","0,67",no_cover,4,risk,medium
romain2021non,kibara,7,f,gorilla,16,1,4,yes,large,1,1,cover_left,4,predictability_advantageous,none
romain2021non,kibara,7,f,gorilla,16,2,22,no,medium,"0,25","0,17",cover_middle,1,predictability_disadvantageous,large
romain2021non,kibara,7,f,gorilla,16,3,27,no,medium,0,0,cover_left,0,ambiguous,medium
romain2021non,kibara,7,f,gorilla,16,4,23,no,medium,0,"0,17",cover_left,0,ambiguous,medium
romain2021non,kibara,7,f,gorilla,16,5,24,yes,large,"0,17","0,17",no_cover,1,risk,medium
romain2021non,kibara,7,f,gorilla,16,6,1,yes,large,1,1,no_cover,6,risk,large
romain2021non,kibara,7,f,gorilla,16,7,8,yes,large,"0,83","0,83",no_cover,5,risk,large
romain2021non,kibara,7,f,gorilla,16,8,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,large
romain2021non,kibara,7,f,gorilla,16,9,15,yes,small,"0,25","0,5",cover_left,1,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,16,10,18,no,medium,"0,5","0,33",cover_middle,2,ambiguous,small
romain2021non,kibara,7,f,gorilla,16,11,9,yes,small,1,"0,67",cover_right,4,ambiguous,medium
romain2021non,kibara,7,f,gorilla,16,12,20,yes,small,"0,33","0,33",no_cover,2,risk,small
romain2021non,kibara,7,f,gorilla,16,13,28,no,medium,0,0,no_cover,0,risk,small
romain2021non,kibara,7,f,gorilla,16,14,3,yes,large,1,1,cover_middle,4,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,16,15,25,yes,small,0,0,cover_right,0,predictability_disadvantageous,none
romain2021non,kibara,7,f,gorilla,16,16,5,yes,large,1,"0,83",cover_right,4,ambiguous,small
romain2021non,kibara,7,f,gorilla,16,17,14,yes,small,"0,5","0,5",cover_middle,2,ambiguous,large
romain2021non,kibara,7,f,gorilla,16,18,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,small
romain2021non,kibara,7,f,gorilla,16,19,12,yes,small,"0,67","0,67",no_cover,4,risk,large
romain2021non,kibara,7,f,gorilla,16,20,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,small
romain2021non,kibara,7,f,gorilla,16,21,16,yes,large,"0,5","0,5",no_cover,3,risk,small
romain2021non,kibara,7,f,gorilla,16,22,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,large
romain2021non,kibara,7,f,gorilla,16,23,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,large
romain2021non,kibara,7,f,gorilla,16,24,17,yes,small,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,kibara,7,f,gorilla,16,25,13,no,medium,"0,75","0,5",cover_right,3,predictability_disadvantageous,small
romain2021non,kibara,7,f,gorilla,16,26,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,16,27,19,no,medium,0,"0,33",cover_left,0,ambiguous,large
romain2021non,kibara,7,f,gorilla,16,28,2,yes,large,1,1,cover_right,4,ambiguous,medium
romain2021non,kibara,7,f,gorilla,17,1,18,yes,large,"0,5","0,33",cover_middle,2,ambiguous,none
romain2021non,kibara,7,f,gorilla,17,2,14,yes,large,"0,5","0,5",cover_middle,2,ambiguous,large
romain2021non,kibara,7,f,gorilla,17,3,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,large
romain2021non,kibara,7,f,gorilla,17,4,17,yes,large,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,kibara,7,f,gorilla,17,5,28,no,medium,0,0,no_cover,0,risk,large
romain2021non,kibara,7,f,gorilla,17,6,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,17,7,27,no,medium,0,0,cover_left,0,ambiguous,large
romain2021non,kibara,7,f,gorilla,17,8,5,yes,large,1,"0,83",cover_right,4,ambiguous,medium
romain2021non,kibara,7,f,gorilla,17,9,16,yes,large,"0,5","0,5",no_cover,3,risk,large
romain2021non,kibara,7,f,gorilla,17,10,12,yes,large,"0,67","0,67",no_cover,4,risk,large
romain2021non,kibara,7,f,gorilla,17,11,20,yes,large,"0,33","0,33",no_cover,2,risk,large
romain2021non,kibara,7,f,gorilla,17,12,4,yes,large,1,1,cover_left,4,predictability_advantageous,large
romain2021non,kibara,7,f,gorilla,17,13,24,no,medium,"0,17","0,17",no_cover,1,risk,large
romain2021non,kibara,7,f,gorilla,17,14,15,yes,large,"0,25","0,5",cover_left,1,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,17,15,19,yes,small,0,"0,33",cover_left,0,ambiguous,none
romain2021non,kibara,7,f,gorilla,17,16,8,yes,large,"0,83","0,83",no_cover,5,risk,small
romain2021non,kibara,7,f,gorilla,17,17,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,kibara,7,f,gorilla,17,18,13,no,medium,"0,75","0,5",cover_right,3,predictability_disadvantageous,medium
romain2021non,kibara,7,f,gorilla,17,19,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,17,20,23,no,medium,0,"0,17",cover_left,0,ambiguous,large
romain2021non,kibara,7,f,gorilla,17,21,22,no,medium,"0,25","0,17",cover_middle,1,predictability_disadvantageous,medium
romain2021non,kibara,7,f,gorilla,17,22,9,yes,large,1,"0,67",cover_right,4,ambiguous,medium
romain2021non,kibara,7,f,gorilla,17,23,2,yes,large,1,1,cover_right,4,ambiguous,large
romain2021non,kibara,7,f,gorilla,17,24,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,kibara,7,f,gorilla,17,25,21,no,medium,"0,25","0,17",cover_right,1,predictability_disadvantageous,large
romain2021non,kibara,7,f,gorilla,17,26,1,yes,large,1,1,no_cover,6,risk,medium
romain2021non,kibara,7,f,gorilla,17,27,10,no,medium,"0,5","0,67",cover_middle,2,ambiguous,large
romain2021non,kibara,7,f,gorilla,17,28,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,medium
romain2021non,kibara,7,f,gorilla,18,1,19,no,medium,0,"0,33",cover_left,0,ambiguous,none
romain2021non,kibara,7,f,gorilla,18,2,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,medium
romain2021non,kibara,7,f,gorilla,18,3,23,no,medium,0,"0,17",cover_left,0,ambiguous,medium
romain2021non,kibara,7,f,gorilla,18,4,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,18,5,7,no,medium,"0,75","0,83",cover_left,3,predictability_advantageous,large
romain2021non,kibara,7,f,gorilla,18,6,1,yes,large,1,1,no_cover,6,risk,medium
romain2021non,kibara,7,f,gorilla,18,7,13,no,medium,"0,75","0,5",cover_right,3,predictability_disadvantageous,large
romain2021non,kibara,7,f,gorilla,18,8,3,yes,large,1,1,cover_middle,4,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,18,9,2,no,medium,1,1,cover_right,4,ambiguous,large
romain2021non,kibara,7,f,gorilla,18,10,15,no,medium,"0,25","0,5",cover_left,1,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,18,11,22,no,medium,"0,25","0,17",cover_middle,1,predictability_disadvantageous,medium
romain2021non,kibara,7,f,gorilla,18,12,27,no,medium,0,0,cover_left,0,ambiguous,medium
romain2021non,kibara,7,f,gorilla,18,13,6,no,medium,1,"0,83",cover_middle,3,predictability_advantageous,medium
romain2021non,kibara,7,f,gorilla,18,14,28,no,medium,0,0,no_cover,0,risk,medium
romain2021non,kibara,7,f,gorilla,18,15,16,yes,large,"0,5","0,5",no_cover,3,risk,none
romain2021non,kibara,7,f,gorilla,18,16,10,no,medium,"0,5","0,67",cover_middle,2,ambiguous,large
romain2021non,kibara,7,f,gorilla,18,17,9,yes,large,1,"0,67",cover_right,4,ambiguous,medium
romain2021non,kibara,7,f,gorilla,18,18,5,yes,large,1,"0,83",cover_right,4,ambiguous,large
romain2021non,kibara,7,f,gorilla,18,19,4,yes,large,1,1,cover_left,4,predictability_advantageous,large
romain2021non,kibara,7,f,gorilla,18,20,18,yes,small,"0,5","0,33",cover_middle,2,ambiguous,large
romain2021non,kibara,7,f,gorilla,18,21,20,no,medium,"0,33","0,33",no_cover,2,risk,small
romain2021non,kibara,7,f,gorilla,18,22,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,medium
romain2021non,kibara,7,f,gorilla,18,23,21,no,medium,"0,25","0,17",cover_right,1,predictability_disadvantageous,medium
romain2021non,kibara,7,f,gorilla,18,24,24,no,medium,"0,17","0,17",no_cover,1,risk,medium
romain2021non,kibara,7,f,gorilla,18,25,14,no,medium,"0,5","0,5",cover_middle,2,ambiguous,medium
romain2021non,kibara,7,f,gorilla,18,26,12,yes,large,"0,67","0,67",no_cover,4,risk,medium
romain2021non,kibara,7,f,gorilla,18,27,8,yes,large,"0,83","0,83",no_cover,5,risk,large
romain2021non,kibara,7,f,gorilla,18,28,17,no,medium,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,1,1,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,none
romain2021non,gorgo,30,m,gorilla,1,2,8,no,medium,"0,83","0,83",no_cover,5,risk,medium
romain2021non,gorgo,30,m,gorilla,1,3,20,yes,small,"0,33","0,33",no_cover,2,risk,medium
romain2021non,gorgo,30,m,gorilla,1,4,21,no,medium,"0,25","0,17",cover_right,1,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,1,5,4,no,medium,1,1,cover_left,4,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,1,6,6,no,medium,1,"0,83",cover_middle,3,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,1,7,19,no,medium,0,"0,33",cover_left,0,ambiguous,medium
romain2021non,gorgo,30,m,gorilla,1,8,24,no,medium,"0,17","0,17",no_cover,1,risk,medium
romain2021non,gorgo,30,m,gorilla,1,9,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,medium
romain2021non,gorgo,30,m,gorilla,1,10,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,1,11,14,yes,small,"0,5","0,5",cover_middle,2,ambiguous,medium
romain2021non,gorgo,30,m,gorilla,1,12,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,small
romain2021non,gorgo,30,m,gorilla,1,13,27,no,medium,0,0,cover_left,0,ambiguous,large
romain2021non,gorgo,30,m,gorilla,1,14,22,no,medium,"0,25","0,17",cover_middle,1,predictability_disadvantageous,medium
romain2021non,gorgo,30,m,gorilla,1,15,1,no,medium,1,1,no_cover,6,risk,none
romain2021non,gorgo,30,m,gorilla,1,16,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,1,17,18,yes,small,"0,5","0,33",cover_middle,2,ambiguous,large
romain2021non,gorgo,30,m,gorilla,1,18,28,no,medium,0,0,no_cover,0,risk,small
romain2021non,gorgo,30,m,gorilla,1,19,16,yes,large,"0,5","0,5",no_cover,3,risk,medium
romain2021non,gorgo,30,m,gorilla,1,20,13,yes,small,"0,75","0,5",cover_right,3,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,1,21,5,no,medium,1,"0,83",cover_right,4,ambiguous,small
romain2021non,gorgo,30,m,gorilla,1,22,12,yes,large,"0,67","0,67",no_cover,4,risk,medium
romain2021non,gorgo,30,m,gorilla,1,23,2,yes,large,1,1,cover_right,4,ambiguous,large
romain2021non,gorgo,30,m,gorilla,1,24,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,1,25,15,yes,large,"0,25","0,5",cover_left,1,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,1,26,9,yes,large,1,"0,67",cover_right,4,ambiguous,large
romain2021non,gorgo,30,m,gorilla,1,27,17,yes,small,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,1,28,23,no,medium,0,"0,17",cover_left,0,ambiguous,small
romain2021non,gorgo,30,m,gorilla,2,1,2,yes,large,1,1,cover_right,4,ambiguous,none
romain2021non,gorgo,30,m,gorilla,2,2,3,yes,large,1,1,cover_middle,4,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,2,3,12,yes,large,"0,67","0,67",no_cover,4,risk,large
romain2021non,gorgo,30,m,gorilla,2,4,8,yes,large,"0,83","0,83",no_cover,5,risk,large
romain2021non,gorgo,30,m,gorilla,2,5,14,no,medium,"0,5","0,5",cover_middle,2,ambiguous,large
romain2021non,gorgo,30,m,gorilla,2,6,4,yes,large,1,1,cover_left,4,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,2,7,23,no,medium,0,"0,17",cover_left,0,ambiguous,large
romain2021non,gorgo,30,m,gorilla,2,8,13,yes,large,"0,75","0,5",cover_right,3,predictability_disadvantageous,medium
romain2021non,gorgo,30,m,gorilla,2,9,16,yes,small,"0,5","0,5",no_cover,3,risk,large
romain2021non,gorgo,30,m,gorilla,2,10,28,no,medium,0,0,no_cover,0,risk,small
romain2021non,gorgo,30,m,gorilla,2,11,5,yes,large,1,"0,83",cover_right,4,ambiguous,medium
romain2021non,gorgo,30,m,gorilla,2,12,24,yes,small,"0,17","0,17",no_cover,1,risk,large
romain2021non,gorgo,30,m,gorilla,2,13,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,2,14,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,2,15,19,yes,large,0,"0,33",cover_left,0,ambiguous,none
romain2021non,gorgo,30,m,gorilla,2,16,26,yes,small,0,0,cover_middle,0,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,2,17,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,small
romain2021non,gorgo,30,m,gorilla,2,18,20,yes,small,"0,33","0,33",no_cover,2,risk,large
romain2021non,gorgo,30,m,gorilla,2,19,15,yes,large,"0,25","0,5",cover_left,1,predictability_advantageous,small
romain2021non,gorgo,30,m,gorilla,2,20,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,2,21,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,2,22,27,yes,small,0,0,cover_left,0,ambiguous,large
romain2021non,gorgo,30,m,gorilla,2,23,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,small
romain2021non,gorgo,30,m,gorilla,2,24,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,2,25,1,yes,large,1,1,no_cover,6,risk,medium
romain2021non,gorgo,30,m,gorilla,2,26,17,yes,large,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,2,27,18,yes,small,"0,5","0,33",cover_middle,2,ambiguous,large
romain2021non,gorgo,30,m,gorilla,2,28,9,yes,large,1,"0,67",cover_right,4,ambiguous,small
romain2021non,gorgo,30,m,gorilla,3,1,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,none
romain2021non,gorgo,30,m,gorilla,3,2,6,yes,small,1,"0,83",cover_middle,3,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,3,3,4,no,medium,1,1,cover_left,4,predictability_advantageous,small
romain2021non,gorgo,30,m,gorilla,3,4,24,yes,small,"0,17","0,17",no_cover,1,risk,medium
romain2021non,gorgo,30,m,gorilla,3,5,9,yes,small,1,"0,67",cover_right,4,ambiguous,small
romain2021non,gorgo,30,m,gorilla,3,6,16,yes,large,"0,5","0,5",no_cover,3,risk,small
romain2021non,gorgo,30,m,gorilla,3,7,15,yes,large,"0,25","0,5",cover_left,1,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,3,8,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,3,9,13,yes,small,"0,75","0,5",cover_right,3,predictability_disadvantageous,medium
romain2021non,gorgo,30,m,gorilla,3,10,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,3,11,5,yes,large,1,"0,83",cover_right,4,ambiguous,small
romain2021non,gorgo,30,m,gorilla,3,12,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,3,13,12,yes,large,"0,67","0,67",no_cover,4,risk,small
romain2021non,gorgo,30,m,gorilla,3,14,28,no,medium,0,0,no_cover,0,risk,large
romain2021non,gorgo,30,m,gorilla,3,15,3,yes,large,1,1,cover_middle,4,predictability_advantageous,none
romain2021non,gorgo,30,m,gorilla,3,16,10,yes,small,"0,5","0,67",cover_middle,2,ambiguous,large
romain2021non,gorgo,30,m,gorilla,3,17,27,yes,small,0,0,cover_left,0,ambiguous,small
romain2021non,gorgo,30,m,gorilla,3,18,18,yes,large,"0,5","0,33",cover_middle,2,ambiguous,small
romain2021non,gorgo,30,m,gorilla,3,19,23,no,medium,0,"0,17",cover_left,0,ambiguous,large
romain2021non,gorgo,30,m,gorilla,3,20,14,yes,large,"0,5","0,5",cover_middle,2,ambiguous,medium
romain2021non,gorgo,30,m,gorilla,3,21,2,yes,large,1,1,cover_right,4,ambiguous,large
romain2021non,gorgo,30,m,gorilla,3,22,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,3,23,8,yes,small,"0,83","0,83",no_cover,5,risk,medium
romain2021non,gorgo,30,m,gorilla,3,24,19,no,medium,0,"0,33",cover_left,0,ambiguous,small
romain2021non,gorgo,30,m,gorilla,3,25,20,yes,large,"0,33","0,33",no_cover,2,risk,medium
romain2021non,gorgo,30,m,gorilla,3,26,7,yes,small,"0,75","0,83",cover_left,3,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,3,27,17,yes,small,"0,5","0,33",cover_right,2,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,3,28,1,yes,large,1,1,no_cover,6,risk,small
romain2021non,gorgo,30,m,gorilla,4,1,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,none
romain2021non,gorgo,30,m,gorilla,4,2,20,yes,small,"0,33","0,33",no_cover,2,risk,large
romain2021non,gorgo,30,m,gorilla,4,3,21,no,medium,"0,25","0,17",cover_right,1,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,4,4,11,yes,large,"0,5","0,67",cover_left,2,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,4,5,16,yes,large,"0,5","0,5",no_cover,3,risk,large
romain2021non,gorgo,30,m,gorilla,4,6,8,yes,large,"0,83","0,83",no_cover,5,risk,large
romain2021non,gorgo,30,m,gorilla,4,7,14,yes,large,"0,5","0,5",cover_middle,2,ambiguous,large
romain2021non,gorgo,30,m,gorilla,4,8,15,yes,large,"0,25","0,5",cover_left,1,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,4,9,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,4,10,28,no,medium,0,0,no_cover,0,risk,large
romain2021non,gorgo,30,m,gorilla,4,11,12,yes,large,"0,67","0,67",no_cover,4,risk,medium
romain2021non,gorgo,30,m,gorilla,4,12,5,yes,small,1,"0,83",cover_right,4,ambiguous,large
romain2021non,gorgo,30,m,gorilla,4,13,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,4,14,3,no,medium,1,1,cover_middle,4,predictability_advantageous,small
romain2021non,gorgo,30,m,gorilla,4,15,23,no,medium,0,"0,17",cover_left,0,ambiguous,none
romain2021non,gorgo,30,m,gorilla,4,16,27,yes,small,0,0,cover_left,0,ambiguous,medium
romain2021non,gorgo,30,m,gorilla,4,17,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,small
romain2021non,gorgo,30,m,gorilla,4,18,13,yes,small,"0,75","0,5",cover_right,3,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,4,19,26,no,medium,0,0,cover_middle,0,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,4,20,2,yes,large,1,1,cover_right,4,ambiguous,medium
romain2021non,gorgo,30,m,gorilla,4,21,18,yes,large,"0,5","0,33",cover_middle,2,ambiguous,large
romain2021non,gorgo,30,m,gorilla,4,22,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,4,23,4,yes,large,1,1,cover_left,4,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,4,24,17,yes,large,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,4,25,1,yes,large,1,1,no_cover,6,risk,large
romain2021non,gorgo,30,m,gorilla,4,26,24,yes,small,"0,17","0,17",no_cover,1,risk,large
romain2021non,gorgo,30,m,gorilla,4,27,9,no,medium,1,"0,67",cover_right,4,ambiguous,small
romain2021non,gorgo,30,m,gorilla,4,28,19,no,medium,0,"0,33",cover_left,0,ambiguous,medium
romain2021non,gorgo,30,m,gorilla,5,1,16,yes,large,"0,5","0,5",no_cover,3,risk,none
romain2021non,gorgo,30,m,gorilla,5,2,26,yes,small,0,0,cover_middle,0,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,5,3,12,yes,large,"0,67","0,67",no_cover,4,risk,small
romain2021non,gorgo,30,m,gorilla,5,4,22,yes,small,"0,25","0,17",cover_middle,1,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,5,5,1,yes,large,1,1,no_cover,6,risk,small
romain2021non,gorgo,30,m,gorilla,5,6,23,no,medium,0,"0,17",cover_left,0,ambiguous,large
romain2021non,gorgo,30,m,gorilla,5,7,18,yes,large,"0,5","0,33",cover_middle,2,ambiguous,medium
romain2021non,gorgo,30,m,gorilla,5,8,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,large
romain2021non,gorgo,30,m,gorilla,5,9,11,yes,small,"0,5","0,67",cover_left,2,predictability_advantageous,large
romain2021non,gorgo,30,m,gorilla,5,10,9,no,medium,1,"0,67",cover_right,4,ambiguous,small
romain2021non,gorgo,30,m,gorilla,5,11,4,yes,large,1,1,cover_left,4,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,5,12,28,no,medium,0,0,no_cover,0,risk,large
romain2021non,gorgo,30,m,gorilla,5,13,3,yes,large,1,1,cover_middle,4,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,5,14,5,yes,large,1,"0,83",cover_right,4,ambiguous,large
romain2021non,gorgo,30,m,gorilla,5,15,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,none
romain2021non,gorgo,30,m,gorilla,5,16,27,yes,small,0,0,cover_left,0,ambiguous,large
romain2021non,gorgo,30,m,gorilla,5,17,13,yes,small,"0,75","0,5",cover_right,3,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,5,18,14,no,medium,"0,5","0,5",cover_middle,2,ambiguous,small
romain2021non,gorgo,30,m,gorilla,5,19,15,yes,large,"0,25","0,5",cover_left,1,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,5,20,17,yes,small,"0,5","0,33",cover_right,2,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,5,21,19,yes,small,0,"0,33",cover_left,0,ambiguous,small
romain2021non,gorgo,30,m,gorilla,5,22,25,no,medium,0,0,cover_right,0,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,5,23,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,5,24,2,yes,large,1,1,cover_right,4,ambiguous,large
romain2021non,gorgo,30,m,gorilla,5,25,24,no,medium,"0,17","0,17",no_cover,1,risk,large
romain2021non,gorgo,30,m,gorilla,5,26,20,yes,large,"0,33","0,33",no_cover,2,risk,medium
romain2021non,gorgo,30,m,gorilla,5,27,21,yes,small,"0,25","0,17",cover_right,1,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,5,28,8,yes,large,"0,83","0,83",no_cover,5,risk,small
romain2021non,gorgo,30,m,gorilla,6,1,6,yes,large,1,"0,83",cover_middle,3,predictability_advantageous,none
romain2021non,gorgo,30,m,gorilla,6,2,23,no,medium,0,"0,17",cover_left,0,ambiguous,large
romain2021non,gorgo,30,m,gorilla,6,3,12,yes,large,"0,67","0,67",no_cover,4,risk,medium
romain2021non,gorgo,30,m,gorilla,6,4,20,yes,small,"0,33","0,33",no_cover,2,risk,large
romain2021non,gorgo,30,m,gorilla,6,5,21,no,medium,"0,25","0,17",cover_right,1,predictability_disadvantageous,small
romain2021non,gorgo,30,m,gorilla,6,6,8,yes,large,"0,83","0,83",no_cover,5,risk,medium
romain2021non,gorgo,30,m,gorilla,6,7,5,no,medium,1,"0,83",cover_right,4,ambiguous,large
romain2021non,gorgo,30,m,gorilla,6,8,7,yes,large,"0,75","0,83",cover_left,3,predictability_advantageous,medium
romain2021non,gorgo,30,m,gorilla,6,9,10,yes,large,"0,5","0,67",cover_middle,2,ambiguous,large
romain2021non,gorgo,30,m,gorilla,6,10,25,yes,small,0,0,cover_right,0,predictability_disadvantageous,large
romain2021non,gorgo,30,m,gorilla,6,11,4,yes,large,1,1,cover_left,4,predictability_advantageous,small
