study_id,experiment,id,participant,age_in_years,sex,species,condition,number_trials,order,lop,num_levels,changes_direction,t1_planning,t1_success,order_condition,sum_planning_errors,sum_non_planning_errors,sum_nonplan_error_lev1,non_planning_errors_level1_t1
volter2014cognitive,4,6,fifi,18,f,chimpanzee,opaque,5,11,0,2,0,1,0,2.0,0.0,4.0,3.0,0.0
volter2014cognitive,4,11,fifi,18,f,chimpanzee,opaque,8,12,1,1,1,1,0,2.0,2.0,5.0,0.0,0.0
volter2014cognitive,4,23,fifi,18,f,chimpanzee,opaque,1,13,2,2,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,5,fifi,18,f,chimpanzee,opaque,1,14,0,2,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,9,fifi,18,f,chimpanzee,opaque,9,15,1,1,0,0,0,2.0,5.0,3.0,0.0,0.0
volter2014cognitive,4,1,fifi,18,f,chimpanzee,opaque,1,16,0,2,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,24,fifi,18,f,chimpanzee,opaque,10,17,2,2,1,0,0,2.0,4.0,5.0,0.0,0.0
volter2014cognitive,4,8,fifi,18,f,chimpanzee,opaque,6,18,0,2,0,0,0,2.0,0.0,5.0,4.0,1.0
volter2014cognitive,4,20,fifi,18,f,chimpanzee,opaque,1,19,2,1,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,16,fifi,18,f,chimpanzee,opaque,1,20,1,2,1,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,4,fifi,18,f,chimpanzee,opaque,6,21,0,2,0,1,0,2.0,0.0,5.0,3.0,0.0
volter2014cognitive,4,15,fifi,18,f,chimpanzee,opaque,1,22,1,2,0,1,1,2.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,17,fifi,18,f,chimpanzee,opaque,7,23,2,1,0,0,0,2.0,3.0,3.0,0.0,0.0
volter2014cognitive,4,3,fifi,18,f,chimpanzee,opaque,3,24,0,2,1,0,0,2.0,0.0,2.0,2.0,1.0
volter2014cognitive,4,11,fifi,18,f,chimpanzee,clear,1,1,1,1,1,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,24,fifi,18,f,chimpanzee,clear,2,2,2,2,1,0,0,3.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,7,fifi,18,f,chimpanzee,clear,2,3,0,2,1,0,0,3.0,0.0,1.0,1.0,1.0
volter2014cognitive,4,22,fifi,18,f,chimpanzee,clear,2,4,2,2,0,0,0,3.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,15,fifi,18,f,chimpanzee,clear,1,5,1,2,0,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,16,fifi,18,f,chimpanzee,clear,1,6,1,2,1,1,1,3.0,0.0,0.0,0.0,0.0
volter2014cognitive,4,17,fifi,18,f,chimpanzee,clear,4,7,2,1,0,0,0,3.0,1.0,2.0,0.0,0.0
volter2014cognitive,4,9,fifi,18,f,chimpanzee,clear,2,8,1,1,0,0,0,3.0,1.0,0.0,0.0,0.0
volter2014cognitive,4,13,fifi,18,f,chimpanzee,clear,1,9,1,2,1,1,1,3.0,0.0,0.0,0.0,0.0
